"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"armor_class/optic";"Optics";"Optiques";"Ottiche";"Optik";"Ópticas";"Оптика";"Оптика";"Optyka";"Ótica";"Optikler";"Optika";"Optics";"Optik";"อุปกรณ์เล็ง";"광학장비";"观\t瞄\t设\t备";"照準器";"觀\t瞄\t設\t備";;
"armor_class/optic_gun";"Gunner optics";"Optiques du tireur";"Ottica del Cannoniere";"Richtschützen-Zieleinrichtung";"Ópticas de artillero";"Оптика наводчика";"Оптика навідника";"Optyka strzelca";"Ótica do Artilheiro";"Nişancı optikleri";"Optika střelce";"Gunner optics";"Optik penembak";"ออปติกส์สำหรับพลปืน";"포수 광학장비";"炮\t手\t瞄\t准\t镜";"砲手照準器";"炮\t手\t觀\t瞄";;
"armor_class/commander_panoramic_sight";"Commander optics";"Optiques du commandant";"Ottiche Capocarro";"Kommandanten-Zieleinrichtung";"Ópticas del comandante";"Оптика командира";"Оптика командира";"Optyka dowódcy";"Ótica do Comandante";"Komutan optikleri";"Optika velitele";"Commander optics";"Optik komandan";"ออปติกส์สำหรับผู้บังคับบัญชา";"전차장 광학장비";"车\t长\t观\t瞄\t设\t备";"車長用照準器";"車\t長\t觀\t瞄";;
"armor_class/drive_turret_h";"Horizontal aiming drive";"Mécanisme de rotation";"Puntamento orizzontale";"Horizontaler Richtantrieb";"Mecanismo de puntería horizontal";"Привод горизонтального наведения";"Привід горизонтального наведення";"Mechanizm obrotowy wieży";"Acionamento horizontal da torre";"Yatay taret mekanizması";"Vodorovný posuv";"Horizontal aiming drive";"Penggerak bidik horizontal";"ระบบขับเคลื่อนการเล็งแนวนอน";"선회장치";"方\t向\t机";"砲塔旋回装置";"方\t向\t機";;
"armor_class/drive_turret_v";"Vertical aiming drive";"Mécanisme d'élévation";"Puntamento verticale";"Vertikaler Richtantrieb";"Mecanismo de puntería vertical";"Привод вертикального наведения";"Привід вертикального наведення";"Mechanizm podniesieniowy działa";"Acionamento vertical da torre";"Dikey taret mekanizması";"Svislý posun";"Vertical aiming drive";"Penggerak bidik vertikal";"ระบบขับเคลื่อนการเล็งแนวตั้ง";"고저장치";"高\t低\t机";"砲昇降装置";"高\t低\t機";;
"armor_class/cannon_breech";"Cannon breech";"Culasse";"Culatta del cannone";"Geschützverschluss";"Recámara del cañón";"Казённая часть орудия";"Казенна частина гармати";"Zamek działa";"Culatra de canhão";"Top kundağı";"Závěr děla";"Cannon breech";"Pangkal meriam";"ช่องปืนใหญ่";"약실";"炮\t闩";"砲閉鎖機";"炮\t閂";;
"armor_class/fuel_tank";"Fuel tank";"Réservoir de carburant";"Serbatoio";"Treibstofftank";"Tanque de combustible";"Топливный бак";"Паливний бак";"Zbiornik paliwa";"Tanque de combustível";"Yakıt tankı";"Palivová nádrž";"Fuel tank";"Tangki bahan bakar";"ถังเชื้อเพลิง";"연료탱크";"油\t箱";"燃料\tタンク";"油\t箱";;
"armor_class/fuel_tank_exterior";"Exterior fuel tank";"Réservoir de carburant externe";"Serbatoio di carburante esterno";"Äußerer Treibstofftank";"Tanque de combustible externo";"Внешний топливный бак";"Зовнішній паливний бак";"Zewnętrzny zbiornik paliwa";"Tanque de combustível externo";"Dış yakıt tankı";"Vnější palivová nádrž";"Exterior fuel tank";"Tangki bahan bakar eksterior";"ถังน้ำมันภายนอก";"외부 연료탱크";"外\t部\t油\t箱";"外部燃料\tタンク";"外\t部\t油\t箱";;
"armor_class/ammo";"Ammo";"Munitions";"Munizioni";"Munition";"Munición";"Боеприпасы";"Боєзапас";"Amunicja";"Munição";"Cephane";"Munice";"Ammo";"Amunisi";"กระสุน";"탄약";"弹\t药";"弾薬";"彈\t藥";;
"armor_class/ammo_charges";"Charges";"Charges";"Cariche";"Ladungen";"Cargas";"Заряды";"Заряди";"Ładunki";"Cargas";"Başlıklar";"Nálože";"Charges";"Peledak";"การจ่ายกระสุน";"장약";"发\t射\t药";"装填";"發\t射\t藥";;
"armor_class/radiator";"Radiator";"Radiateur";"Radiatore";"Kühler";"Radiador";"Радиатор";"Радіатор";"Chłodnica";"Radiador";"Radyatör";"Chladič";"Radiator";"Radiator";"หม้อน้ำ";"라디에이터";"散\t热\t器";"ラジエーター";"散\t熱\t器";;
"armor_class/radio_station";"Radio station";"Poste radio";"Stazione radio";"Funkausrüstung";"Puesto de radio";"Радиостанция";"Радіостанція";"Radiostacja";"Estação de rádio";"Telsiz";"Vysílačka";"Radio station";"Stasiun radio";"สถานีวิทยุ";"무전기";"电\t台";"無線";"電\t台";;
"armor_class/engine";"Engine";"Moteur";"Motore";"Motor";"Motor";"Двигатель";"Двигун";"Silnik";"Motor";"Motor";"Motor";"Engine";"Mesin";"เครื่องยนต์";"엔진";"发\t动\t机";"エンジン";"引\t擎";;
"armor_class/transmission";"Transmission";"Transmission";"Trasmissione";"Getriebe";"Transmisión";"Трансмиссия";"Трансмісія";"Przekładnia";"Transmissão";"Şanzıman";"Převodovka";"Transmission";"Transmisi";"ระบบส่งกำลัง";"변속기";"传\t动\t机\t构";"変速機";"傳\t動\t裝\t置";;
"armor_class/fire_control_system";"FCS";"Système de conduite de tir";"SAI";"FCS";"FCS";"СУО";"Система керування вогнем";"SKO";"Sistema de controlo de tiro";"AKS";"FCS";"FCS";"FCS";"FCS";"FCS";"火\t控\t系\t统";"FCS";"火\t控\t系\t統";;
"armor_class/desc/fire_control_system";"Provides for the operation of the module:
{partsList}";"Permet aux modules suivants de fonctionner:
{partsList}";"Permette l'operatività del modulo:
{partsList}";"Ermöglicht die Nutzung des Moduls:
{partsList}";"Permite el funcionamiento del módulo:
{partsList}";"Обеспечивает работу модулей:
{partsList}";"Забезпечує роботу модулів:
{partsList}";"Zapewnia funkcjonowania modułów:
{partsList}";"Fornece a operação do módulo:
{partsList}";"Modülün işlerini yapar: 
{partsList}";"Zajišťuje provoz modulu:
{partsList}";"Provides for the operation of the module:
{partsList}";"Menyediakan pengoperasian modul:
{partsList}";"Provides for the operation of the module:
{partsList}";"다음 모듈이 작동할 수 있게 합니다:
{partsList}";"火\t控\t系\t统\t损\t毁\t后，\t下\t列\t设\t备\t将\t无\t法\t正\t常\t运\t作：
{partsList}";"下記\tモジュールの\t操作が\t可能となります：\t
 {partsList}";"確\t保\t下\t列\t設\t備\t正\t常\t運\t作：
{partsList}";;
"armor_class/power_system";"Power system";"Système d'alimentation";"Sistema di alimentazione";"Energieversorgung";"Sistema de alimentación";"Электросистема";"Система живлення";"System zasilania";"Sistema de alimentação";"Güç sistemi";"Napájecí systém";"Power system";"Sistem daya";"ระบบพลังงาน";"동력 계통";"供\t电\t系\t统";"電力\tシステム";"供\t電\t系\t統";;
"armor_class/driver_controls";"Driver controls";"Commandes du pilote";"Controlli di guida";"Fahrersteuerung";"Controles del conductor";"Органы управления";"Система керування водія";"Układ sterowania kierowcy";"Controlos do piloto";"Sürüş kontrolleri";"Řídící prvky";"Driver controls";"Kontrol pengemudi";"การควบคุมของผู้ขับขี่";"조종 계통";"驾\t驶\t操\t纵\t装\t置";"操縦手の\t操作";"駕\t駛\t裝\t置";;
"armor_class/desc/driver_controls";"Controls and indicators of the battle vehicle movement control,
in case of failure block the possibility of movement until field repair.";"Les commandes et indicateurs permettant le contrôle du véhicule,
en cas de défaillance, rend le déplacement impossible jusqu'à ce qu'elles soient réparées.";"Controlli ed indicatori del veicolo da battaglia,
in caso di guasto, blocca la possibilità di muoversi fino a riparazioni ultimate.";"Bedienelemente und Anzeigen für die Bewegungssteuerung des Kampffahrzeugs,
blockieren im Falle eines Ausfalls die Möglichkeit der Bewegung bis zur Feldreparatur.";"Controles e indicadores del control de movimiento del vehículo de combate,
en caso de avería bloquean la posibilidad de movimiento hasta su reparación sobre el terreno.";"Органы управления и индикаторы управления движением боевой машины,
при выходе из строя блокируют возможность движения до проведения полевого ремонта.";"Органи керування та індикатори керування рухом бойової машини, при виході з ладу блокують можливість рухатись до проведення польового ремонту.";"Kontrolki i wskaźniki sterujące ruchem maszyny,
w wypadku awarii, blokuje możliwość poruszania się
aż do czasu naprawy.";"Controles e indicadores do movimento do veículo, em caso de falha trava o movimento até o reparo.";"Savaş aracı hareket kontrolü işaretçileri ve kontrol cihazları,
bloğun bozulması durumunda saha onarımı bitene kadar araç hareket edemez.";"Ovládací prvky řízení pohybu bojového vozidla,
v případě poruchy blokují možnost pohybu až do opravy v terénu.";"Controls and indicators of the battle vehicle movement control,
in case of failure block the possibility of movement until field repair.";"Kontrol dan indikator pengendalian pergerakan kendaraan tempur.
Jika terjadi kegagalan, akan memblokir kemungkinan pergerakan hingga mendapatkan perbaikan lapangan.";"Controls and indicators of the battle vehicle movement control,
in case of failure block the possibility of movement until field repair.";"장비의 이동 방향을 조종할 수 있게 하는 장비입니다.
이 모듈이 손상되었을 경우, 수리 전까지 이동할 수 없게 됩니다.";"包\t括\t控\t制\t载\t具\t行\t驶\t的\t操\t纵\t装\t置\t与\t仪\t表\t盘，
一\t旦\t遭\t到\t损\t毁，\t载\t具\t在\t修\t复\t工\t作\t完\t成\t前\t都\t将\t无\t法\t行\t动。";"戦闘車両の\t移動制御における\t操縦系統と\t方向指示器。\t
故障した\t場合、\t野戦修理が\t完了するまで\t移動不能になります。";"包\t括\t控\t制\t載\t具\t行\t駛\t的\t操\t縱\t裝\t置\t與\t儀\t錶\t板，
一\t旦\t遭\t到\t損\t毀，\t載\t具\t在\t修\t復\t工\t作\t完\t成\t前\t將\t無\t法\t行\t動。";;
"armor_class/autoloader";"Autoloader";"Chargeur automatique";"Caricatore automatico";"Autolader";"Cargador automático";"Автомат заряжания";"Автозавантажувач";"Automat ładujący";"Carregador automático";"Otomatik yükleyici";"Autonabíječ";"Autoloader";"Pengisi amunisi otomatis";"เครื่องบรรจุกระสุนอัตโนมัติ";"자동장전장치";"装\t弹\t机";"オートローダー";"自\t動\t裝\t彈\t機";;
"armor_class/desc/autoloader";"Used for mechanized loading of weapons. In the event of failure,
loading of the next projectile will not be available until field repair is carried out.";"Utilisé pour le chargement mécanisé de l'armement. En cas de défaillance,
le chargement du prochain projectile sera indisponible jusqu'à ce qu'il soit réparé.";"Usato per ricaricare meccanicamente le armi. In caso di guasto, il caricamento del prossimo colpo non sarà disponibile fino al termine delle riparazioni.";"Wird für das mechanische Laden von Waffen verwendet. Im Falle einer Störung,
kann das nächste Geschoss erst geladen werden, wenn die Feldreparatur durchgeführt wurde.";"Se utiliza para la carga mecanizada de armas. En caso de avería
la carga del siguiente proyectil no estará disponible hasta que se lleve a cabo la reparación sobre el terreno.";"Используется для механизированного заряжания вооружения. В случае выхода из строя
заряжание следующего снаряда будет недоступно до проведения полевого ремонта.";"Використовується для механізованого заряджання озброєння. В випадку виходу з ладу заряджання наступного снаряда буде недоступно до проведення польового ремонту.";"Używany do mechanicznego ładowania uzbrojenia. W wypadku
awarii, nie będzie możliwe załadowanie kolejnego pocisku aż
do przeprowadzenia naprawy polowej.";"Usado para recarregar mecanicamente armamentos. Em caso de falha, o carregamento do próximo projétil não será executado até o reparo.";"Silahların mekanik olarak doldurulmasını sağlar. Bozulması durumunda
bir sonraki mermi saha onarımı bitene kadar silaha doldurulamaz.";"Slouží k mechanizovanému nabíjení zbraně. V případě poruchy
nebude možné nabíjet další střely, dokud nebude provedena oprava v terénu.";"Used for mechanized loading of weapons. In the event of failure,
loading of the next projectile will not be available until field repair is carried out.";"Digunakan untuk pemuatan senjata secara mekanis. Jika terjadi kegagalan,
pemeliharaan proyektil berikutnya tidak akan tersedia hingga mendapatkan perbaikan lapangan.";"Used for mechanized loading of weapons. In the event of failure,
loading of the next projectile will not be available until field repair is carried out.";"탄을 자동으로 장전할 수 있게 하는 장치입니다.
이 모듈이 고장났을 경우, 수리 전까지 재장전을 할 수 없게 됩니다.";"负\t责\t装\t填\t弹\t药\t的\t机\t械\t结\t构。\t若\t该\t模\t块\t损\t毁，
在\t修\t复\t完\t成\t前\t火\t炮\t都\t将\t无\t法\t进\t行\t装\t填。";"武装の\t自動装填に\t使用します。\t故障した\t場合、\t野戦修理が\t完了するまで\t次弾を\t装填不能になります。";"負\t責\t裝\t填\t彈\t藥\t的\t機\t械\t結\t構。\t若\t該\t模\t塊\t損\t毀，
火\t炮\t將\t無\t法\t進\t行\t裝\t填，\t直\t至\t修\t復\t完\t畢。";;
"armor_class/electronic_equipment";"Electronic equipment";"Vétronique";"Sistema elettronico";"Elektronische Ausrüstung";"Equipo electrónico";"Радиоэлектронное оборудование";"Електронне обладнання";"Układ elektroniczny";"Equipamento eletrónico";"Elektronik ekipman";"Elektronická výbava";"Electronic equipment";"Peralatan elektronik";"อุปกรณ์อิเล็กทรอนิกส์";"전자 장비";"电\t子\t设\t备";"電子機器";"電\t子\t設\t備";;
"armor_class/desc/electronic_equipment";"A set of radio electronic equipment.
If a failure occurs, the operation of the electronic equipment is blocked.
{partsList}";"Un ensemble d'équipements électroniques et de radios.
En cas de défaillance, l'utilisation des équipements électroniques est impossible.
{partsList}";"Un set di equipaggiamento radio.
Se avviene un guasto, le operazioni del sistema elettronico viene blocato.
{partsList}";"Ein Satz von elektronischen Geräten für den Funkverkehr.
Bei einer Störung ist der Betrieb der elektronischen Ausrüstung blockiert.
{partsList}";"Un conjunto de equipos radioelectrónicos.
Si se produce un fallo, se bloquea el funcionamiento del equipo electrónico.
{partsList}";"Набор радиоэлектронного оборудования.
При выходе из строя блокируется работа радиоэлектронных устройств.
{partsList}";"Набір радіоелектронного обладнання. При виході з ладу блокується робота радіоелектронних приладів.
{partsList}";"Zestaw ekwipunku radiowego.
W przypadku awarii korzystanie z wyposażenia elektronicznego
jest niemożliwe.
{partsList}";"Um aparelho de rádio eletrônico.
Se houver falha, a operação do equipamento eletrônico é bloqueada.
{partsList}";"Radyo elektronik ekipmanlarından oluşan bir takım.
Bozulması halinde elektronik cihazlar kullanılamaz.
{partsList}";"Sada radioelektronických zařízení.
Pokud dojde k poruše, je provoz elektronického zařízení zablokován.
{partsList}";"A set of radio electronic equipment.
If a failure occurs, the operation of the electronic equipment is blocked.
{partsList}";"Set peralatan elektronik radio.
Jika terjadi kegagalan, pengoperasian peralatan elektronik akan diblokir.
{partsList}";"A set of radio electronic equipment.
If a failure occurs, the operation of the electronic equipment is blocked.
{partsList}";"각종 전자장비들이 배치되어 있습니다.
이 모듈이 손상되었을 경우, 각종 전자 장비들을 사용할 수 없게 됩니다.
{partsList}";"车\t载\t无\t线\t电\t通\t讯\t设\t备，\t损\t毁\t后\t车\t组\t将\t无\t法\t使\t用\t关\t联\t的\t电\t子\t设\t备：
{partsList}";"無線電子機器の\tセット。\t
故障した\t場合、\t電子機器の\t操作が\t不可になります。\t
{partsList}";"車\t載\t無\t線\t電\t通\t訊\t設\t備。
損\t毀\t後\t車\t組\t將\t無\t法\t使\t用\t關\t聯\t的\t電\t子\t設\t備：
{partsList}";;
