"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"help/explosion_damage";"Explosion Damage";"Dégâts d'Explosion";"Danni da Esplosione";"Explosionsschaden";"Daños por Explosión";"Урон при подрыве";"Пошкодження при підриві";"Uszkodzenia od eksplozji";"Danos por Explosão";"Patlama Hasarı";"Výbušné poškození";"Ζημιές από έκρηξη";"Damage Ledakan";"ความเสียหายระเบิด";"폭발 피해";"爆\t炸\t伤\t害";"爆発\tダメージ";"爆\t炸\t傷\t害";;
"damage";"Damage";"Dégâts";"Danni";"Schaden";"Daño";"Урон";"Пошкодження";"Uszkodzenie";"Dano";"Hasar";"Poškození";"Ζημιές";"Damage";"ความเสียหาย";"손상";"伤\t害";"損傷";"傷\t害";;
"flooding";"Flooding";"Inondation";"Allagamento";"Wassereinbruch";"Inundación";"Затопление";"Затоплення";"Zalanie";"Inundação";"Su Altında Bırakma";"Zaplavení";"Πλημμύρα";"Banjir";"น้ำท่วม";"침수";"进\t水";"浸水";"進\t水";;
"fire_chance";"Fire chance";"Probabilité d'incendie";"Possibilità d'incendio";"Brandgefahr";"Probabilidad de incendio";"Шанс пожара";"Шанс пожежі";"Prawdopodobieństwo pożaru";"Chance de incêndio";"Yangın ihtimali";"Pravděpodobnost požáru";"Πιθανότητα πυρκαγιάς";"Peluang tembak";"โอกาสติดไฟ";"화재 확률";"起\t火\t几\t率";"引火率";"起\t火\t機\t率";;
"help/header/tankMovement";"Movement and fire";"Mouvement et tir";"Movimento e fuoco";"Bewegen und Feuern";"Movimiento y fuego";"Движение и огонь";"Рух та вогонь";"Ruch i strzelanie";"Mover e disparar";"Hareket ve ateş";"Pohyb a střelba";"Κίνηση και φωτιά";"Gerakan dan tembakan";"การเคลื่อนที่และยิง";"이동 및 사격";"机\t动\t与\t开\t火";"移動＆発射";"機\t動\t與\t開\t火";;
"help/header/tankModules";"Destroy tank modules";"Détruisez les modules du char";"Distruggi i moduli del carro";"Zerstöre Panzermodule";"Destruye los módulos de los tanques";"Уничтожай модули танка";"Знищуй модулі танка";"Zniszcz moduły czołgu";"Destruir módulos de tanque";"Tank modüllerini yok et";"Znič moduly tanku";"Καταστρέψτε τις μονάδες του τανκ";"Hancurkan modul tank";"โมดูลรถถังที่ถูกทำลาย";"전차 부품 파괴";"摧\t毁\t坦\t克\t模\t块";"戦車\tモジュールを\t破壊する";"摧\t毀\t戰\t車\t模\t塊";;
"help/screenMiddle";"Screen centre";"Centre de l'écran";"Centro dello schermo";"Bildschirmmitte";"Centro de la pantalla";"Центр экрана";"Центр екрану";"Środek ekranu";"Centro da tela";"Ekran merkezi";"Střed displeje";"Κέντρο οθόνης";"Bagian tengah layar";"กลางหน้าจอ";"화면 중앙";"屏\t幕\t中\t央";"画面中央";"螢\t幕\t中\t央";;
"help/shotTarget";"Where the shell will hit";"Là où l'obus touchera";"Dove colpirà il proiettile";"Wo die Granate treffen wird";"Dónde impactará el proyectil";"Куда попадёт снаряд";"Куди потрапить снаряд";"Gdzie trafi pocisk";"Onde o projétil vai atingir";"Merminin isabet edeceği nokta";"Kam zasáhne střela";"Πού θα χτυπήσει το βλήμα";"Tempat selongsong akan menghantam sasaran";"ตำแหน่งที่ลูกปืนจะกระทบ";"포탄이 명중하는 지점";"炮\t弹\t命\t中\t位\t置";"砲弾が\t当たる\t場所";"炮\t彈\t命\t中\t位\t置";;
"help/penetrationProbability";"Armour penetration probability";"Probabilité de perforation du blindage";"Probabilità di penetrazione della corazza";"Panzerdurchschlagswahrscheinlichkeit";"Probabilidad de penetración del blindaje";"Вероятность пробития брони";"Імовірність пробиття броні";"Prawdopodobieństwo penetracji pancerza";"Probabilidade de penetração de blindagem";"Zırh delme olasılığı";"Pravděpodobnost průrazu pancíře";"Πιθανότητα διείσδυσης θωράκισης";"Probabilitas penetrasi armor";"โอกาสเจาะเกราะ";"장갑 관통 가능성";"击\t穿\t装\t甲\t概\t率";"装甲貫通確率";"擊\t穿\t裝\t甲\t概\t率";;
"help/penetrationHigh";"Will penetrate. Shoot here!";"Vous perforerez. Tirez ici!";"Riuscirai. Colpisci!";"Geht durch. Hier drauf schießen!";"Penetrará. ¡Dispara aquí!";"Пробьёшь. Стреляй сюда!";"Проб'єш. Стріляй сюди!";"Przebijesz się. Strzelaj!";"Você consegue. Atire aqui!";"Zırh delinebilir. Buraya ateş et!";"Prorazíš. Střílej sem!";"Θα διεισδύσει. Ρίξτε εδώ!";"Akan menembus. Tembak di sini!";"สามารถเจาะได้ ยิงตรงนี้เลย!";"이곳을 사격하십시오!";"可\t以\t击\t穿，\t向\t这\t里\t开\t火！";"いけるぞ。\tここを\t撃て！";"可\t以\t擊\t穿，\t向\t這\t裡\t開\t火！";;
"help/penetrationAverage";"You may not be able to penetrate";"Vous pourriez ne pas perforer.";"Potresti non riuscire a penetrare";"Geht vielleicht nicht durch";"Puede que no seas capaz de penetrar";"Можешь не пробить";"Можеш не пробити";"Możesz się nie przebić";"Você pode não ser capaz de penetrar";"Zırh delinemeyecek";"Nemusí dojít k proražení";"Μπορεί να μην καταφέρετε να τη διαπεράσετε";"Tembakanmu mungkin tidak bisa menembus";"คุณอาจจะเจาะไม่ทะลุ";"장갑을 관통하지 못할 수 있습니다";"炮\t弹\t不\t一\t定\t能\t击\t穿\t装\t甲";"貫通できないかもしれない。";"炮\t彈\t不\t一\t定\t能\t擊\t穿\t裝\t甲";;
"help/penetrationLow";"You can't get through.";"Perforation impossible.";"Non riuscirai a penetrare.";"Geht nicht durch.";"No puedes atravesar.";"Точно не пробьёшь";"Точно не проб'єш.";"Nie możesz się przebić.";"Você não pode penetrar.";"Delinemez";"Nemůžeš to prorazit.";"Δεν μπορείτε να τη διαπεράσετε.";"Kamu tidak bisa masuk.";"คุณไม่สามารถเจาะทะลุได้";"이곳은 관통할 수 없습니다.";"炮\t弹\t无\t法\t击\t穿\t装\t甲";"貫通は\t無理だ。";"炮\t彈\t無\t法\t擊\t穿\t裝\t甲";;
"help/gunMoveToCenter";"The gun always tends to the centre of the screen";"Le canon pointe toujours vers le centre de l'écran";"Il cannone punta sempre al centro dello schermo";"Die Kanone richtet sich immer zur Bildschirmmitte aus";"El cañón siempre tiende al centro de la pantalla";"Пушка всегда стремится к центру экрана";"Гармата завжди прагне центру екрану";"Broń zawsze ustawia się na środku ekranu";"O canhão sempre tende para o centro da tela";"Silah daima ekranın merkezine oturmaya çalışır";"Zbraň se vždy posune do středu obrazu";"Το όπλο τείνει πάντα προς το κέντρο της οθόνης";"Posisi senapan selalu cenderung berada di bagian tengah layar";"ปืนจะหันตามตำแหน่งกลางหน้าจอเสมอ";"주포는 항상 화면 중앙에 위치합니다.";"火\t炮\t总\t是\t会\t跟\t随\t屏\t幕\t中\t央\t的\t指\t向\t方\t位";"銃が\t常に\t画面中央に\t寄ります";"火\t炮\t會\t一\t直\t跟\t隨\t熒\t幕\t中\t央\t指\t向";;
"help/movementControl";"Movement control";"Contrôle des mouvements";"Comandi movimento";"Bewegungssteuerung";"Controles de movimiento";"Управление движением";"Керування рухом";"Sterowanie";"Controle de movimento";"Hareket kontrolü";"Ovládání pohybu";"Έλεγχος κίνησης";"Kontrol gerakan";"ควบคุมการเคลื่อนที่";"조종 제어";"移\t动\t控\t制";"移動の\tコントロール";"移\t動\t控\t制";;
"help/fuelTanks";"Fuel tanks";"Réservoirs de carburant";"Serbatoi";"Treibstofftanks";"Tanques de combustible";"Топливные баки";"Паливні баки";"Zbiorniki paliwa";"Tanques de combustível";"Yakıt tankı";"Palivové nádrže";"Δεξαμενές καυσίμων";"Tangki bahan bakar";"ถังเชื้อเพลิง";"연료 탱크";"油\t箱";"燃料\tタンク";"油\t箱";;
"help/ourZone";"The zone is captured by your team";"La zone est capturée par votre équipe";"La zona é stata catturata dalla tua squadra";"Das Zielgebiet wird durch dein Team erobert";"La zona es capturada por tu equipo";"Зона захвачена вашей командой";"Зона захоплена вашою командою";"Ta strefa należy do naszej drużyny";"A zona é capturada por sua equipe";"Bu alan takımın tarafından ele geçirildi";"Zóna je obsazená tvým týmem";"Η ομάδα σας κατέλαβε την περιοχή";"Zona direbut oleh timmu";"ทีมของคุณยึดพื้นที่นี้เอาไว้";"아군이 지역을 점령했습니다.";"我\t方\t已\t占\t领\t战\t区";"この\tゾーンはあなたの\tチームによって\t占領されています";"我\t方\t已\t佔\t領\t戰\t區";;
"help/enemyZone";"The zone is captured by enemy team";"La zone est capturée par l'équipe ennemie";"La zona é stata catturata dalla squadra nemica";"Das Zielgebiet wird durch das feindliche Team erobert";"La zona es capturada por el equipo enemigo";"Зона захвачена командой противника";"Зона захоплена командою противника";"Ta strefa należy do wrogiej drużyny";"A zona é capturada pelo time inimigo";"Bu alan düşman takımı tarafından ele geçirildi";"Zóna je obsazená nepřátelským týmem";"Η ομάδα του εχθρού κατέλαβε την περιοχή";"Zona direbut oleh tim musuh";"ทีมของศัตรูยึดพื้นที่นี้เอาไว้";"적군이 지역을 점령했습니다.";"战\t区\t被\t敌\t方\t占\t领";"この\tゾーンは\t敵\tチームによって\t占領されています";"戰\t區\t被\t敵\t方\t佔\t領";;
"help/neutralZone";"Neutral zone";"Zone neutre";"Zona neutra";"Neutrales Zielgebiet";"Zona neutral";"Нейтральная зона";"Нейтральна зона";"Strefa neutralna";"Zona neutra";"Tarafsız bölge";"Neutrální zóna";"Ουδέτερη ζώνη";"Zona netral";"พื้นที่เป็นกลาง";"중립 지역";"中\t立\t战\t区";"中立\tゾーン";"中\t立\t戰\t區";;
"help/captureAffectsScores";"A captured zone takes points away from the enemy team";"Une zone capturée retire des points à l'équipe ennemie";"Una zona catturata toglie punti alla squadra avversaria";"Ein erobertes Zielgebiet kostet das feindliche Team Punkte";"Una zona capturada resta puntos al equipo enemigo";"Захваченная зона отнимает очки у команды противника";"Захоплена зона забирає очки у команди противника";"Zajęty obszar powoduje utratę punktów przez drużynę przeciwną";"Uma zona capturada tira pontos do time inimigo";"Ele geçirilen bir bölge düşman takımının puanlarını azaltır.";"Obsazená oblast snižuje nepřátelům šance na vítězství";"Μια περιοχή που έχει καταληφθεί αφαιρεί πόντους από την ομάδα του εχθρού";"Zona yang direbut akan mengurangi poin milik tim musuh";"พื้นที่ที่ยึดไว้จะหักคะแนนจากทีมศัตรู";"지역을 점령하면 적이 점수를 잃게 됩니다";"每\t占\t领\t一\t个\t战\t区，\t敌\t方\t都\t会\t损\t失\t分\t数";"ゾーンを\t占領すると、\t敵\tチームから\tポイントを\t奪います";"每\t佔\t領\t一\t個\t戰\t區，\t敵\t方\t都\t會\t損\t失\t分\t數";;
"help/teamLoseByScore";"If a team runs out of points, it loses";"Si une équipe tombe à court de points, elle perd";"Se una squadra finisce i punti, perde";"Wenn ein Team keine Punkte mehr hat, verliert es";"Si un equipo se queda sin puntos, pierde";"Если у команды закончились очки, она проигрывает";"Якщо у команди закінчилися очки, вона програє";"Drużyna, która utraci wszystkie punkty, przegra";"Se uma equipe ficar sem pontos, ela perde";"Puanı biten takım mağlup olur";"Pokud týmu dojdou body, prohrává";"Εάν μια ομάδα ξεμείνει από πόντους, χάνει";"Tim akan kalah jika kehabisan poin";"หากคะแนนของทีมหมดลง ทีมจะพ่ายแพ้";"점수를 모두 잃으면, 패배합니다.";"分\t数\t耗\t尽\t的\t一\t方\t任\t务\t失\t败";"チームの\tポイントがなくなると、\t敗北となります";"分\t數\t耗\t盡\t的\t一\t方\t任\t務\t失\t敗";;
"help/enterZoneToCapture";"Stand in the boundaries of the zone to capture it";"Restez dans les limites de la zone pour la capturer";"Resta dentro i limiti della zona per catturarla";"Stelle Dich in die Grenzen der Zone, um sie zu erobern";"Sitúate en los límites de la zona para capturarla";"Встаньте в границы зоны, чтобы захватить ее";"Встаньте в межі зони, щоб захопити її";"Stój w obszarze strefy, aby ją przejąć";"Fique nos limites da zona para capturá-lo";"Alanı ele geçirmek için sınırlarının içinde kal";"Pro obsazení stůj ve vyznačených hranicích zóny";"Σταθείτε στα όρια της ζώνης για να την καταλάβετε";"Berdirilah di batas-batas zona untuk merebutnya";"ยืนอยู่ในขอบเขตพื้นที่เพื่อยึดครอง";"지역의 경계선 안에 있으면 지역을 점령할 수 있습니다.";"停\t留\t在\t战\t区\t内\t进\t行\t占\t领";"ゾーンの\t境界線に\t立つと\t占領できます";"停\t留\t在\t戰\t區\t內\t進\t行\t佔\t領";;
