"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"matching/SERVER_ERROR_PLAYER_BANNED";"Your account has been blocked.";"Votre compte a été bloqué.";"Il gioco non è stato attivato per il tuo account.";"Dein Konto wurde gesperrt.";"El juego no ha sido activado para su cuenta.";"Ваша учётная запись заблокирована.";"Ваш обліковий запис заблокований.";"Twoje konto zostało zablokowane.";"A sua conta foi bloqueada.";"Oyun hesabınız engellendi.";"귀하의 계정이 차단 되었습니다.";"账\t户\t被\t锁\t定。";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"你\t的\t帳\t號\t已\t經\t被\t凍\t結";;
"matching/SERVER_ERROR_BAD_REQUEST";"Request error.";"Demande erronée.";"Errore richiesta.";"Anfragefehler.";"Error en la solicitud.";"Ошибка выполнения запроса.";"Помилка виконання запиту.";"Błąd polecenia.";"Erro de pedido.";"İstek hatası.";"요청 오류";"错\t误\t的\t请\t求";"リクエストエラー。";"請\t求\t錯\t誤";;
"matching/SERVER_ERROR_ROOM_NOT_FOUND";"Session not found.";"Session introuvable.";"Sessione non trovata.";"Spielsitzung nicht gefunden.";"No se encuentra la sesión.";"Сессия не найдена.";"Сесію не знайдено.";"Nie odnaleziono pokoju.";"Sala não encontrada.";"Oturum bulunamadı.";"세션을 찾을 수 없습니다.";"找\t不\t到\t该\t游\t戏";"セッションが\t見つかりませんでした。";"找\t不\t到\t該\t遊\t戲";;
"matching/SERVER_ERROR_ROOM_OPERATION_DENIED";"Operation denied.";"Opération refusée.";"Operazione negata.";"Vorgang verweigert.";"Operación denegada.";"Недостаточно прав.";"Недостатньо прав.";"Operacja anulowana.";"Operação negada.";"İşlem reddedildi.";"작업이 거부되었습니다.";"操\t作\t无\t效";"操作が\t拒否されました。";"操\t作\t被\t拒\t絕";;
"matching/SERVER_ERROR_ROOM_MAX_OPS";"Maximum number of room operators reached.";"Nombre maximum d'opérateurs de salle atteint.";"Numero massimo di giocatori della sessione raggiunto.";"Maximale Anzahl der Kanal-Operatoren erreicht.";"Alcanzado el número máximo de los operadores de la sala.";"Лимит количества операторов превышен.";"Досягнуто максимальної кількості операторів в кімнаті.";"Osiągnięto maksymalną liczbę operatorów pokoi.";"Atingido o número máximo de operadores na sala.";"Maksimum oda kullanıcı sayısına ulaşıldı.";"방의 최대 인원수에 도달했습니다.";"已\t达\t频\t道\t管\t理\t员\t人\t数\t上\t限";"ルームオペレーターの\t最大数に\t到達しました。";"已\t經\t達\t到\t最\t大\t房\t間\t人\t數";;
"matching/SERVER_ERROR_ROOM_PASSWORD_MISMATCH";"Password mismatch.";"Mot de passe erroné.";"La password non corrisponde.";"Passwort stimmt nicht überein.";"Las contraseñas no coinciden.";"Неверный пароль.";"Невірний пароль.";"Nieprawidłowe hasło.";"Senha incompatível.";"Parolalar uyuşmuyor.";"비밀번호가 맞지 않습니다.";"密\t码\t不\t符";"パスワードが\t一致しません。";"密\t碼\t不\t符\t合";;
"matching/SERVER_ERROR_ROOM_FULL";"The session is full.";"La session est complète.";"La sessione è piena.";"Die Spielsitzung ist voll.";"La sesión está llena.";"Сессия заполнена.";"Кімната заповнена.";"Pokój jest pełny.";"Sala está cheia.";"Oturum dolu.";"세션이 꽉 찼습니다.";"游\t戏\t已\t满";"セッションは\t満員です。";"頻\t道\t已\t滿";;
"matching/SERVER_ERROR_ROOM_INVALID_SIZE";"Wrong session size.";"Taille de session incorrecte.";"Dimensioni della sessione sbagliata.";"Falsche Spielsitzungsgröße.";"Tamaño equivocado de la sesión.";"Размер сессии задан неверно.";"Розмір сесії заданий невірно.";"Zła wielkość pokoju.";"Tamanho da sala inválido.";"Yanlış oturum boyutu.";"세션 크기가 잘못되었습니다.";"人\t数\t设\t定\t有\t误";"セッションサイズが\t正しくありません。";"頻\t道\t人\t數\t錯\t誤";;
"matching/SERVER_ERROR_ROOM_BANNED";"You are banned in this session.";"Vous êtes banni de cette session.";"Sei stato espulso da questa sessione.";"Du wurdest von dieser Spielsitzung verbannt.";"Usted esta baneado en esta sesión.";"Вы в чёрном списке этой сессии.";"Ви в чорному списку цієї сесії.";"Zakazano Ci wstępu do tego pokoju.";"Estas banido desta sala.";"Bu oturumdan atıldınız.";"세션에서 강퇴당했습니다.";"已\t被\t禁\t止\t加\t入\t该\t游\t戏";"あなたはこの\tセッションから\tBANされました。";"你\t已\t被\t禁\t止\t加\t入\t該\t遊\t戲";;
"matching/SERVER_ERROR_ROOM_NOT_BANNED";"The player is not banned.";"Le joueur n'est pas banni.";"Il giocatore non è espulso.";"Der Spieler ist nicht verbannt.";"El jugador no está baneado.";"Игрок не находится в чёрном списке.";"Гравець не знаходиться в чорному списку.";"Gracz nie jest zablokowany.";"Jogador não está banido.";"Oyuncu yasaklı değil.";"플레이어가 차단되지 않았습니다.";"该\t玩\t家\t未\t被\t加\t入\t频\t道\t黑\t名\t单";"この\tプレイヤーは\tBANされていません。";"該\t玩\t家\t未\t被\t加\t入\t黑\t名\t單";;
"matching/SERVER_ERROR_ROOM_BLACKLIST_FULL";"Failed to add the player to the room blocklist.";"Impossible d'ajouter le joueur à la liste noire du salon.";"Impossibile aggiungere il giocatore alla blacklist della stanza.";"Fehler beim Hinzufügen des Spielers auf die Blockierliste des Kanals.";"Error al agregar al jugador a la lista negra de la sala.";"Невозможно добавить игрока в список заблокированных.";"Неможливо додати гравця в чорний список.";"Nie powiodło się dodanie gracza na czarną listę.";"Falha ao adicionar jogador na lista negra.";"Oyuncuyu kara listeye ekleme başarısız.";"플레이어를 차단목록에 추가하지 못했습니다.";"无\t法\t将\t该\t玩\t家\t添\t加\t至\t频\t道\t黑\t名\t单";"プレイヤーを\tルームの\tブラックリストに\t追加できませんでした。";"無\t法\t將\t該\t玩\t家\t添\t加\t至\t頻\t道\t黑\t名\t單";;
"matching/SERVER_ERROR_ROOM_ACCESS_DENIED";"You are not a member of the playroom.";"Vous n'êtes pas un membre de ce salon en jeu.";"Non sei un mebro della sala giochi.";"Du bist kein Teilnehmer dieser Spielsitzung.";"No eres miembro de la sala de juegos.";"Вы не находитесь в списке участников игрового лобби.";"Ви не є членом цієї ігрової кімнати.";"Nie jesteś członkiem pokoju.";"Você não é um membro da sala de jogo.";"Oyun odasının bir üyesi değilsiniz.";"전투방에 속해 있지 않습니다.";"无\t法\t加\t入\t该\t房\t间。";"プレイルームの\tメンバーではありません。";"無\t法\t加\t入\t該\t房\t間。";;
"matching/SERVER_ERROR_ALREADY_IN_ROOM";"You are already in the session.";"Vous êtes déjà dans la salle.";"Sei già nella sessione.";"Du befindest dich bereits in dieser Spielsitzung.";"Usted ya está en la sesión.";"Вы уже в сессии.";"Ви вже в сесії.";"Jesteś już w pokoju.";"Já estas dentro da sala";"Zaten bir oturumdasınız.";"이미 세션에 들어와 있습니다.";"已\t在\t该\t游\t戏\t中。";"あなたはすでに\tセッションに\t入っています。";"你\t已\t經\t在\t這\t個\t頻\t道\t內\t了";;
"matching/SERVER_ERROR_ALREADY_LOGGED";"You are already logged in from another device. If this wasn't you, please contact our support team.";"Vous vous êtes déjà connecté depuis un autre périphérique ou ordinateur. Si ce n'est pas vous, veuillez contacter notre équipe d'assistance.";"Hai già loggato da un'altro dispositivo. Se non sei stato tu, si prega di contattare il nostro team di supporto.";"Du bist bereits über ein anderes Gerät verbunden. Sollte es sich dabei nicht um dich handeln, wende dich bitte an den Kundendienst.";"Usted ya han iniciado sesión desde otro dispositivo. Si no ha sido usted, póngase en contacto con nuestro equipo de soporte.";"Был осуществлён вход в ваш аккаунт с другого устройства. Если это были не Вы, обратитесь в службу поддержки.";"Був здійснений вхід в ваш акаунт з іншого пристрою. Якщо це були не ви, зверніться в службу підтримки.";"Zalogowałeś się już z innego urządzenia. Jeśli nie byłeś to Ty, to prosimy o kontakt z naszym działem wsparcia.";"Já entrou no jogo a partir de outro aparelho. Se não foi você, por favor, entre em contacto com nossa equipa de suporte.";"Daha önce başka bir aygıttan giriş yaptınız. Eğer bu kişi siz değilseniz, lütfen destek ekibimizle iletişime geçin.";"이미 다른 장치에서 로그인했습니다. 다른 사람이 접속한 것 같다면 지원팀에 문의하시기 바랍니다.";"该\t账\t号\t已\t通\t过\t另\t一\t台\t设\t备\t登\t录。\t若\t担\t心\t账\t号\t安\t全\t问\t题，\t请\t联\t系\t客\t服\t团\t队。";"すでに\t別の\tデバイス\t上で\tログイン\t中です。\tこれがあなたでは\t無い\t場合は、\t当社\tサポートチームまでご\t連絡ください。";"你\t已\t經\t透\t過\t另\t一\t台\t設\t備\t登\t入，\t如\t果\t這\t不\t是\t你，\t請\t聯\t繫\t我\t們\t的\t支\t援\t團\t隊";;
"matching/SERVER_ERROR_MEMBER_NOT_FOUND";"Player not found.";"Joueur introuvable.";"Giocatore non trovato.";"Spieler nicht gefunden.";"Jugador no encontrado.";"Игрок не найден.";"Гравець не знайдений.";"Nie odnaleziono gracza.";"Jogador não encontrado.";"Oyuncu bulunamadı.";"플레이어를 찾을 수 없습니다.";"找\t不\t到\t该\t玩\t家。";"プレイヤーが\t見つかりませんでした。";"找\t不\t到\t玩\t家";;
"matching/SERVER_ERROR_REQUEST_REJECTED";"This operation rejected by the server.";"L'opération est rejetée par le serveur.";"Operazione rifiutata dal server.";"Vorgang vom Server zurückgewiesen.";"La operación ha sido rechazada por el servidor.";"Операция отклонена сервером.";"Операція відхилена сервером.";"Operacja odrzucona przez serwer.";"Operação rejeitada pelo servidor";"İşlem sunucu tarafından reddedildi.";"작업이 서버에 의해 거부되었습니다.";"服\t务\t器\t拒\t绝\t执\t行\t该\t操\t作。";"操作は\tサーバーにより\t拒否されました。";"伺\t服\t器\t拒\t絕\t執\t行\t該\t操\t作";;
"matching/SERVER_ERROR_ALREADY_IN_QUEUE";"You are already in the queue.";"Vous êtes déjà dans la file d'attente.";"Sei già in coda.";"Du bist bereits in der Warteschlange.";"Usted ya está en la cola.";"Вы уже в очереди.";"Ви вже в черзі.";"Jesteś już w kolejce.";"Já estas na fila.";"Zaten sıradasınız.";"이미 대기 중입니다.";"已\t在\t队\t列\t中。";"すでに\tキューに\t入っています。";"你\t已\t經\t在\t排\t隊\t序\t列\t中";;
"matching/SERVER_ERROR_NOT_IN_QUEUE";"You are not in the queue.";"Vous n'êtes pas dans la file d'attente.";"Non sei in coda.";"Du bist nicht in der Warteschlange.";"Usted no está en la cola.";"Вы не в очереди.";"Ви не в черзі.";"Nie jesteś w kolejce.";"Não estas na fila";"Sırada değilsiniz.";"대기열에 들어 있지 않습니다.";"尚\t未\t加\t入\t队\t列。";"あなたは\tキューに\t入っていません。";"你\t沒\t有\t在\t排\t隊\t序\t列\t中";;
"matching/SERVER_ERROR_MODE_CHANGED";"Game mode was changed.";"Le mode de jeu a été changé.";"La modalità di gioco è stata cambiata.";"Spielmodus wurde geändert.";"Se ha cambiado el modo de juego.";"Параметры игрового режима были изменены.";"Параметри ігрового режиму були змінені.";"Zmieniono tryb gry.";"Modo de jogo foi alterado.";"Oyun modu değiştirildi.";"게임 모드가 변경되었습니다.";"游\t戏\t模\t式\t已\t改\t变。";"ゲームモードが\t変更されました。";"遊\t戲\t模\t式\t已\t經\t變\t更";;
"matching/SERVER_ERROR_NOT_IN_ROOM";"Player not in the session.";"Le joueur n'est pas dans la session.";"Giocatore non nella sessione.";"Spieler ist nicht in der Spielsitzung.";"El jugador no está en la sesión.";"Игрок не найден в игровой сессии.";"Гравець не знайдений в ігровій сесії.";"Gracz nie jest w sesji rozgrywki.";"Jogador não está na sala.";"Oyuncu, oturumda değil.";"세션에 없는 플레이어입니다.";"玩\t家\t不\t在\t该\t游\t戏\t中。";"プレイヤーは\tセッションに\t入っていません。";"玩\t家\t不\t在\t頻\t道\t中";;
"matching/SERVER_ERROR_MISSION_NOT_FOUND";"Mission not found on game host.";"Mission introuvable sur l'hôte du jeu.";"Missione non trovata sull'host di gioco.";"Mission beim Sitzungsleiter nicht gefunden.";"La misión no se encuentra en host del juego.";"Миссия не найдена на игровом сервере.";"Місія не знайдена на ігровому сервері.";"Nie znaleziono hosta dla tej misji.";"Missão não encontrada no jogo do anfitrião.";"Görev, oyun sunucusunda bulunamadı.";"게임 호스트에서 임무를 찾을 수 없습니다.";"游\t戏\t主\t机\t无\t此\t任\t务。";"ゲームホストに\tミッションが\t見つかりませんでした。";"遊\t戲\t主\t機\t無\t此\t任\t務。";;
"matching/SERVER_ERROR_NO_FREE_HOSTS";"All battle servers are busy.";"Tous les serveurs sont occupés.";"Nessun host libero.";"Alle Schlacht-Server sind ausgelastet.";"No hay host libres.";"Нет доступных игровых серверов.";"Немає доступних ігрових серверів.";"Wszystkie serwery są zajęte. ";"Todos os servidores de batalha estão ocupados.";"Tüm savaş sunucuları meşgul.";"모든 서버가 포화상태입니다.";"所\t有\t战\t斗\t服\t务\t器\t皆\t处\t繁\t忙\t状\t态。";"全\tバトルサーバーが\tビジー\t状態です。";"所\t有\t服\t務\t器\t皆\t為\t繁\t忙\t狀\t態。";;
"matching/SERVER_ERROR_NOT_SQUAD_LEADER";"You must be a squad leader to perform the operation.";"Vous devez être chef d'escouade pour effectuer l'opération.";"È necessario essere un caposquadra per eseguire l'operazione.";"Du musst der Staffelführer sein, um diesen Vorgang ausführen zu können.";"Usted tiene que ser el líder del escuadrón para llevar a cabo la operación.";"Операция отклонена, так как вы не являетесь лидером отряда.";"Операція відхилена, оскільки ви не є лідером загону.";"Musisz być liderem oddziału, by wykonać operację.";"Precisas estar ser o líder do esquadrão para executar a operação.";"İşlemi gerçekleştirebilmek için takım lideri olmanız gerekiyor.";"작업을 수행하기 위해서 비행대장이 되어야 합니다.";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"この\t操作を\t実施するには\t部隊長である\t必要があります。";"你\t需\t要\t成\t為\t小\t隊\t隊\t長\t才\t能\t執\t行\t此\t操\t作";;
"matching/SERVER_ERROR_SQUAD_NOT_READY";"Some squad members are not ready.";"Certains membres de l'escouade ne sont pas prêts.";"Alcuni membri della squadra non sono pronti.";"Einige Staffelmitglieder sind noch nicht bereit.";"Algunos miembros del escuadrón no están listos.";"Некоторые члены отряда не готовы к бою.";"Деякі члени загону не готові до бою.";"Niektórzy członkowie oddziału nie są gotowi.";"Alguns membros do esquadrão não estão prontos.";"Bazı takım üyeleri hazır değil.";"편대원 중 일부가 아직 준비 중입니다.";"部\t分\t小\t队\t成\t员\t尚\t未\t准\t备\t就\t绪。";"一部分隊\tメンバーの\t準備がまだ\t出来ていません。";"部\t分\t小\t隊\t成\t員\t還\t沒\t有\t準\t備\t好";"COMMON FOR PLANES AND TANKS";
"matching/ALREADY_IN_SQUAD";"Player already in the squad";"Le joueur est déjà dans l'escouade";"Giocatore già nel plotone";"Spieler ist bereits in der Staffel";"El jugador ya está en el escuadrón";"Игрок уже находится в отряде";"Гравець вже знаходиться в загоні";"Gracz jest już w oddziale";"Jogador já na esquadrilha";"Oyuncu zaten takımda";"플레이어가 이미 편대에 있습니다.";"玩\t家\t已\t经\t是\t小\t队\t成\t员\t了";"すでに\t編隊に\t所属しています。";"玩\t家\t已\t經\t是\t小\t隊\t成\t員\t了";;
"matching/NOT_SQUAD_LEADER";"You must be a squad leader to perform the operation.";"Vous devez être chef d'escouade pour effectuer cette opération.";"Devi essere un caposquadra per eseguire l'operazione.";"Du musst der Staffelführer sein, um diesen Vorgang ausführen zu können.";"Usted tiene que ser el líder del escuadrón para llevar a cabo la operación.";"Операция отклонена, так как вы не являетесь лидером отряда.";"Операція відхилена, оскільки ви не є лідером загону.";"Musisz być dowódcą oddziału, aby wykonać operację.";"Precisas de ser o líder do esquadrão para executar a operação.";"İşlemi gerçekleştirebilmek için takım lideri olmanız gerekiyor.";"작업을 수행하기 위해서 편대장이 되어야 합니다.";"只\t有\t小\t队\t长\t才\t能\t执\t行\t该\t操\t作。";"この\t操作を\t行うには\t部隊長である\t必要があります。";"你\t需\t要\t成\t為\t小\t隊\t隊\t長\t才\t能\t執\t行\t此\t操\t作";;
"matching/NOT_SQUAD_MEMBER";"You must be a squad member to perform the operation.";"Vous devez être membre de l'escouade pour effectuer cette opération.";"Devi essere un membro del plotone per eseguire l'operazione.";"Du musst ein Staffelmitglied sein, um diesen Vorgang ausführen zu können.";"Usted tiene que ser miembro del escuadrón para llevar a cabo la operación.";"Операция отклонена, так как вы не являетесь членом отряда.";"Операція відхилена, так як ви не є членом загону.";"Musisz być członkiem oddziału, aby wykonać operację.";"Você tem de ser um membro do esquadrão para executar a operação.";"İşlemi gerçekleştirebilmek için takım üyesi olmanız gerekiyor.";"작업을 수행하기 위해서 편대원이 되어야 합니다.";"只\t有\t小\t队\t成\t员\t才\t能\t执\t行\t该\t操\t作。";"この\t操作を\t行うには\t部隊\tメンバーである\t必要があります。";"你\t需\t要\t成\t為\t小\t隊\t成\t員\t才\t能\t執\t行\t此\t操\t作";;
"matching/NO_SQUAD";"Squad does not exist";"L'escouade n'existe pas";"Il Plotone non esiste";"Diese Staffel existiert nicht.";"La escuadra no existe";"Отряд не существует";"Загону не існує";"Drużyna nie istnieje";"Esquadrão não existe";"Takım mevcut değil";"편대가 존재하지 않습니다.";"小\t队\t不\t存\t在";"分隊は\t存在しません";"小\t隊\t不\t存\t在";;
"matching/SQUAD_FULL";"Squad is full";"L'escouade est pleine";"Plotone al completo";"Die Staffel ist voll";"El escuadrón está completo";"Отряд полон";"Загін заповнено";"Oddział jest pełny";"Esquadrilha está cheia";"Takım dolu";"편대가 다 찼습니다.";"小\t队\t人\t数\t已\t满";"編隊は\t満員です。";"小\t隊\t人\t數\t已\t滿";;
"matching/SQUAD_NOT_INVITED";"Player doesn't have any invitations to the squad";"Le joueur n’a aucune invitation à l'escouade";"Il giocatore non ha nessun invito al plotone";"Der Spieler wurde nicht in die Staffel eingeladen";"El jugador no tiene ninguna invitación al escuadrón";"У игрока нет приглашения в отряд";"Гравець не має запрошення до загону";"Gracz nie otrzymał żadnych zaproszeń do oddziału";"Jogador não tem qualquer convites para a esquadrilha";"Oyuncu herhangi bir takım davetiyesine sahip değil";"플레이어가 편대 초대를 받지 않았습니다.";"玩\t家\t没\t有\t收\t到\t小\t队\t邀\t请";"部隊への\t招待はありません。";"玩\t家\t沒\t有\t收\t到\t小\t隊\t邀\t請";;
"matching/SQUAD_LEADER_OFFLINE";"Squad leader not in the game";"Le chef d'escouade n'est pas en jeu";"Il capo plotone non è in gioco";"Der Staffelführer ist offline.";"Líder de la escuadrilla no esta el juego";"Лидер отряда не в игре";"Лідер загону не в грі";"Lider drużyny nie jest obecny w grze";"Líder de Esquadrão não está no jogo";"Takım lideri oyunda değil";"편대 리더가 게임에 참여하지 않았습니다.";"小\t队\t长\t不\t在\t线";"分隊長がいません";"小\t隊\t隊\t長\t不\t在\t線\t上";;
"matching/SERVER_ERROR_MEMBER_OFFLINE";"Squad member logged out.";"Membre de l'escouade déconnecté.";"Membro del plotone disconnesso.";"Staffelmitglied hat sich ausgeloggt.";"Los miembros del escuadrón han salido de la sesión.";"Член отряда вышел из игры.";"Член загону вийшов з гри.";"Członek oddziału wylogował się.";"Membro do esquadrão desconectado.";"Takım üyesi çevrimdışı oldu.";"편대원이 로그아웃했습니다.";"小\t队\t成\t员\t已\t登\t出。";"分隊\tメンバーが\tログアウトしました。";"小\t隊\t成\t員\t已\t經\t登\t出";;
