"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"clan/clan_type/normal";"Squadron";"Escadron";"Squadriglia";"Kampfgruppe";"Escuadrón";"Полк";"Dywizjon";"Esquadrão";"Filo";"비행대";"正\t规\t联\t队";"部隊";"正\t規\t聯\t隊";;
"clan/clan_type/normal/tooltip";"• You can have up to 128 members in a squadron.
• There can be only one commander.
• The commander may appoint a deputy, but not more than one.
• The deputy has all the powers of the commander, but cannot disband the squadron, remove the commander or change the commander's rank.
• When the commander leaves the squadron, the deputy becomes the new commander.
• A commander cannot leave the squadron unless a deputy is appointed.";"Créer un escadron";"Crea una squadriglia";"Kampfgruppe aufstellen";"Crear un Escuadrón";"• Максимальное количество человек в полку - 128.
• Командир может быть только один.
• Командир может назначить себе заместителя, но не более, чем одного.
• Заместитель имеет все полномочия командира, но не может расформировать полк и не может удалить командира из полка или изменить его звание.
• При выходе командира из полка заместитель становится новым командиром.
• Командир не может покинуть полк, если не назначен заместитель.";"Utwórz Dywizjon";"Criar esquadrão";"• Filoda en fazla 128 üye olabilir.
• Filoda sadece bir komutan olabilir.
• Komutan, en fazla bir kişi olmak üzere vekil atayabilir.
• Yardımcı, komutanın tüm yetkilerine sahiptir ancak filoyu dağıtamaz, komutanı görevden alamaz ve komutanın rütbesini değiştiremez.
• Komutan filodan ayrıldığında vekil yeni komutan olur.
• Komutan, vekil atamadan filodan ayrılamaz.";"비행대 창설";"创\t建\t正\t规\t联\t队";"部隊を\t作成";"創\t建\t聯\t隊";;
"clan/clan_type/battalion";"Training squadron";"Escadron d'entrainement";"Squadriglia d'addestramento";"Trainings-Kampfgruppe";"Escuadrón de Entrenamiento";"Учебный полк";"Dywizjon Szkoleniowy";"Esquadrão de formação";"Eğitim filosu";"훈련 비행대";"见\t习\t联\t队";"訓練部隊";"實\t習\t聯\t隊";;
"clan/clan_type/battalion/tooltip";"• In the training squadron, only the roles of the commander, officers and privates are available. The role of the deputy is not available. The commander cannot transfer their role to anyone or leave the training squadron, and instead, can only disband it, or update it to a regular squadron with golden eagles.
• The training squadron has a composition limited to ten participants and twenty recruits awaiting consideration of applications.
• The training squadron has no description - only the name, tag and motto.
• The tag of the training squadron does not have the ability to change the style of the decorator.
• The training squadron can be upgraded to a regular squadron for golden eagles.";"Créer un escadron d'entrainement";"Crea una squadriglia d'addestramento";"Trainings-Kampfgruppe gründen";"Crear Escuadrón de Entrenamiento";"• В учебном полку доступны лишь роли командира, офицеров и рядовых, роль заместителя недоступна. Командир не может передать кому-либо свою роль или покинуть учебный полк, он может лишь распустить его. Или повысить статус до полка.
• Учебный полк имеет состав, ограниченный десятью участниками и двадцатью рекрутами, ожидающими рассмотрения заявок.
• Учебный полк не имеет описания - только название, тег и девиз.
• Тег учебного полка не имеет возможности изменения стиля декоратора.
• Учебному полку можно повысить статус до полка в меню редактирования за отдельную плату.";"Utwórz Dywizjon Szkoleniowy";"Criar esquadrão de formação";"• Eğitim filosunda yalnızca komutanın, subayların ve erlerin görevleri mevcuttur. Yardımcının görevi mevcut değildir. Komutan, görevini kimseye devredemez ve eğitim filosundan ayrılamaz. Bunun yerine filoyu dağıtabilir veya altın kartal kullanarak filoyu güncelleyip sıradan filoya dönüştürebilir.
• Eğitim filosunda en fazla on katılımcı ve başvuruların değerlendirilmesini bekleyen yirmi acemi yer alabilir.
• Eğitim filosunun açıklaması yoktur. Yalnızca adı, etiketi ve sloganı vardır.
• Eğitim filosunun etiketi, dekoratörün tarzını değiştiremez.
• Eğitim filosu, altın kartal karşılığında yükseltilerek sıradan filoya dönüştürülebilir.";"훈련 비행대 창설";"创\t建\t见\t习\t联\t队";"訓練部隊を\t作成します。";"創\t建\t實\t習\t聯\t隊";;
"clan/clan_name";"Squadron Name";"Nom de l'Escadron";"Nome della Squadriglia";"Name der Kampfgruppe";"Nombre del escuadrón";"Название полка";"Nazwa Dywizjonu";"Nome do esquadrão";"Filo Adı";"비행대 이름";"联\t队\t名\t称";"部隊の\t名称";"聯\t隊\t名\t稱";;
"clan/clan_tag";"Squadron Tag";"Tag de l'escadron";"Tag della Squadriglia";"Kürzel";"Etiqueta del escuadrón";"Тег полка";"Etykieta Dywizjonu";"Tag do esquadrão";"Filo Etiketi";"비행대 태그";"联\t队\t缩\t写";"部隊の\tタグ";"聯\t隊\t縮\t寫";;
"clan/clan_tag/short";"tag";"tag";"tag";"Kürzel";"etiqueta";"тег";"Etykieta";"tag";"etiket";"태그";"缩\t写";"タグ";"縮\t寫";"SINGLE SHORT WORD";
"clan/description_not_allowed";"Not available for this squadron type.";"Non disponible pour ce type d'escadron.";"Non disponibile per questo tipo di squadriglia.";"Für diesen Kampfgruppen-Typ nicht verfügbar.";"No está disponible para este tipo de escuadrón.";"Недоступно для этого типа полка.";"Niedostępne dla tego typu dywizjonu.";"Indisponível para este tipo de esquadrão.";"Bu filo türü için kullanılabilir değil.";"이 유형의 비행대에서는 사용할 수 없습니다.";"该\t联\t队\t类\t型\t不\t可\t用。";"この\t部隊の\tタイプは\t入手できません。";"目\t前\t聯\t隊\t類\t型\t無\t法\t使\t用";;
"clan/announcement_not_allowed";"Not available for this squadron type.";"Non disponible pour ce type d'escadron.";"Non disponibile per questo tipo di squadriglia.";"Für diesen Kampfgruppen-Typ nicht verfügbar.";"No está disponible para este tipo de escuadrón.";"Недоступно для этого типа полка.";"Niedostępne dla tego typu dywizjonu.";"Indisponível para este tipo de Esquadrão.";"Bu filo türü için kullanılabilir değil.";"이 유형의 비행대에서는 사용할 수 없습니다.";"对\t当\t前\t联\t队\t类\t型\t不\t可\t用。";"この\tタイプの\t部隊は\t編成できません";"目\t前\t聯\t隊\t類\t型\t無\t法\t使\t用";;
"clan/clan_tag_decoration";"Tag Borders";"Bordures du tag";"Margini della tag";"Einfassung";"Ribetes de la etiqueta";"Оформление тега";"Obramowanie Etykiety";"Bordas da Tag";"Etiket Çerçeveleri";"태그 테두리";"联\t队\t缩\t写\t修\t饰\t符";"タグの\tボーダー";"聯\t隊\t縮\t寫\t修\t飾\t符";;
"clan/clan_slogan";"Motto";"Devise";"Motto";"Motto";"Lema";"Девиз";"Motto";"Lema";"Slogan";"좌우명";"联\t队\t队\t训";"モットー";"宗\t旨";;
"clan/clan_description";"Description";"Description";"Descrizione";"Beschreibung";"Descripción";"Описание";"Opis";"Descrição";"Açıklama";"소개";"联\t队\t简\t介";"概要";"簡\t介";;
"clan/clan_upgrade";"Upgrade squadron";"Améliorer l'escadron";"Aggiornamento Squadriglia";"Kampfgruppe hochstufen";"Mejorar Escuadrón";"Улучшить полк";"Rozbuduj Dywizjon";"Atualizar o esquadrão";"Filoyu yükselt";"비행대 승격";"升\t级\t联\t队";"拡張された\t部隊";"聯\t隊\t升\t級";;
"clan/clan_upgrade/button";"Upgrade";"Amélioration";"Aggiornamento";"Hochstufen";"Mejorar";"Улучшить";"Rozbuduj";"Atualização";"Yükselt";"승격";"升\t级\t联\t队";"拡張";"升\t級";;
"clan/members_upgrade_button";"+{step} to members limit";"+{step} à la limite de membres";"+{step} al limite di membri";"+{step} auf die maximale Mitgliederzahl";"+{step} al límite de miembros";"+{step} к размеру полка";"Zwiększenie limitu członków o {step}";"+{step} para o limite de membros";"üye sınırına +{step} kaldı";"정원 {step}명 증가";"+{step} 成\t员\t上\t限";"+{step} メンバー\t条件制限";"+{step} 成\t員\t限\t制";;
"clan/members_upgrade_success";"Member limit increased successfully";"Limite de membres augmentée avec succès";"Limite di membri aumentato";"Die maximale Mitgliederzahl wurde erfolgreich angehoben";"Límite de miembros aumentado exitosamente";"Максимальное количество участников успешно увеличено";"Limit członków zwiększony";"Número limite de membros aumentado com sucesso";"Üye sınırı başarılı olarak arttırıldı";"정원을 올렸습니다.";"已\t成\t功\t提\t升\t成\t员\t上\t限";"メンバー\t上限値増加に\t成功";"已\t成\t功\t提\t升\t成\t員\t上\t限";;
"clan/clan_region";"Region";"Localisation";"Nazionalità";"Region";"Región";"Регион";"Region";"Região";"Kısım";"지역";"地\t区\t偏\t好";"地域";"地\t區";;
"clan/clan_announcement";"Announcement";"Description";"Annuncio";"Ankündigung";"Anuncio";"Анонс";"Ogłoszenie";"Descrição";"Duyuru";"공지";"联\t队\t公\t告";"お\t知らせ";"公\t告";;
"clan/clans_list";"Squadrons";"Escadrons";"Squadriglie";"Kampfgruppen";"Escuadrones";"Полки";"Dywizjony";"Esquadrões";"Filolar";"비행대";"联\t队\t列\t表";"部隊";"聯\t隊\t列\t表";;
"clan/my_clan";"My Squadron";"Mon Escadron";"La mia Squadriglia";"Meine Kampfgruppe";"Mi escuadrón";"Мой полк";"Mój Dywizjon";"O meu esquadrão";"Benim Filom";"소속 비행대";"我\t的\t联\t队";"所属する\t部隊";"我\t的\t聯\t隊";;
"clan/clans_search";"Squadrons search";"Recherche d'escadrons";"Ricerca Squadriglie";"Kampfgruppensuche";"Búsqueda de escuadrones";"Поиск полка";"Wyszukiwarka Dywizjonów";"Procura de Esquadrões";"Filo arama";"비행대 검색";"联\t队\t搜\t索";"部隊検索";"搜\t尋\t聯\t隊";;
"clan/clans_leaderboards";"Squadrons Leaderboards";"Classements des escadrons";"Classifiche Squadriglie";"Kampfgruppenranglisten";"Clasificación de escuadrones";"Таблицы рекордов полков";"Rankingi Dywizjonów";"Placar de Esquadrões";"Filolar Liderlik Tabloları";"비행대 순위표";"联\t队\t排\t行\t榜";"部隊\tランキング";"聯\t隊\t排\t行\t榜";;
"clan/new_clan_wnd_title";"Creating a Squadron";"Création d'un Escadron";"Creare una Squadriglia";"Eine Kampfgruppe aufstellen";"Creación de un escuadrón";"Создание полка";"Tworzenie Dywizjonu";"Criando um esquadrão";"Bir Filo Oluştur";"비행대 창설";"创\t建\t联\t队";"部隊の\t結成";"正\t在\t創\t建\t聯\t隊";;
"clan/newclan_type_req";"Main features of a training squadron:
- More affordable creation cost.
- Lower member capacity.
- Cannot have squadron description.
- Upgrade is possible at extra charge.
- Deputy role is unavailable.";"Principales caractéristiques de l'escadron d'entrainement:
- Coût de création plus abordable.
- Nombre de membres plus faible.
- Pas de description de l'escadron.
-Évolution vers un escadron classique possible moyennant supplément.
- Pas de député.";"Caratteristiche principali della Squadriglia d'addestramento:
- Costo per la creazione più conveniente.
- Minore capacità dei membri.
- Non si può avere una descrizione della squadriglia.
- Si può aggiornare con un supplemento.
- Il ruolo di vicecomandante non è disponibile.";"Hauptmerkmale von Trainings-Kampfgruppen:
- Günstiger in der Aufstellung.
- Geringere maximale Mitgliederzahl.
- Keine Beschreibung möglich.
- Hochstufung mit Eagles möglich.
- Keine Vizekommandanten.";"Principales características del Escuadrón de entrenamiento:
- Costo de creación más económico.
- Una menor capacidad de miembros.
- No permite tener una descripción del escuadrón.
- Es posible ascender el escuadrón a un costo adicional.
- El rol de Subcomandante no está disponible.";"Главные отличия учебного полка:
- Более низкая стоимость создания.
- Имеет меньшую вместимость.
- Не может иметь описание полка.
- Возможно улучшение за отдельную плату.
- Недоступна роль заместителя.";"Główne cechy dywizjonu szkoleniowego:
- Bardziej przystępna cena utworzenia
- Mniejsza liczba członków
- Nie może posiadać opisu
- Rozbudowa jest możliwa za dodatkową opłatą
- Rola zastępcy nie jest dostępna";"Principais características do esquadrão de formação: 
- Mais acessível o custo de criação. 
- Menor capacidade de membros. 
- Não tem direito a descrição do esquadrão.
- O upgrade é possível com um custo extra. 
- O cargo Vice está indisponível.";"Eğitim filosunun temel özellikleri:
- Daha düşük üretim maliyet.
- Daha az üye kapasitesi.
- Filo açıklamasının olmaması.
- Ücret karşılığı yükseltme fırsatı.
- Vekil rolünün bulunmaması.";"훈련 비행대의 주요 특징:
- 더 저렴한 가격으로 창설 가능합니다.
- 가입 가능한 회원수가 적습니다.
- 비행대 설명을 사용할 수 없습니다.
- 추가 비용을 지불하여 승격 가능합니다.
- 부대대장을 임명할 수 없습니다.";"见\t习\t联\t队\t的\t主\t要\t特\t征：
• 创\t建\t开\t销\t更\t为\t低\t廉
• 成\t员\t上\t限\t有\t所\t降\t低
• 无\t法\t添\t加\t联\t队\t简\t介
• 不\t设\t副\t指\t挥\t官
• 可\t支\t付\t费\t用\t升\t级\t为\t正\t规\t联\t队";"訓練部隊の\t主な\t機能:
- より\t手頃な\t価格の\t作成費用。\t
- より\t下の\tメンバーを\t受け\t入れる\t能力。\t
- 部隊の\t記述はできません。\t
- 拡張は\t追加料金で\t可能です。\t
- 副官の\t任務はできません。";"實\t習\t聯\t隊\t主\t要\t特\t點：
• 創\t建\t費\t用\t較\t低
• 成\t員\t上\t限\t較\t低
• 無\t法\t添\t加\t聯\t隊\t簡\t介
• 無\t法\t設\t立\t副\t指\t揮\t官
• 可\t以\t支\t付\t費\t用\t升\t級\t為\t正\t式\t聯\t隊";;
"clan/newclan_name_req";"The Squadron Name must be shorter than 32 characters and longer than 3. The name may contain letters, numbers, spaces, and underscores.";"Le nom d'escadron doit être inférieur à 32 caractères et à plus de 3. Le nom peut contenir des lettres, chiffres, espaces et caractères de soulignement.";"Il nome di Squadriglia deve essere inferiore ai 32 caratteri e maggiore di 3. Il nome può contenere lettere, numeri, spazi e caratteri di sottolineatura.";"Der Name der Kampfgruppe muss zwischen 3 und 32 Zeichen lang sein. Der Name darf Buchstaben, Zahlen, Leerzeichen und Unterstriche enthalten.";"El nombre del escuadrón debe tener entre 3 y 32 caracteres. El nombre puede contener letras, números, espacios y guiones.";"Имя полка должно быть не длиннее 32 символов и не короче 3. Может содержать цифры, буквы латинского алфавита, пробелы и нижнее подчёркивание.";"Nazwa Dywizjonu musi być krótsza niż 32 znaki i dłuższa niż 3. Nazwa może zawierać litery, cyfry, spacje oraz podkreślniki.";"O nome do esquadrão deve conter mais que 3 e menos que 32 caracteres. O nome pode conter letras, números, espaços e caracteres de sublinhado.";"Filo adı 3 karakterden daha uzun ve 32 karakterden daha kısa olmalıdır. Filo adı, harfler, sayılar, boşluklar ve alt çizgi içerebilir.";"비행대의 이름은 3자 이상 32자 이하여야 하며, 이름에는 문자, 숫자, 띄어쓰기, ""_""등을 사용할 수 있습니다.";"联\t队\t名\t称\t限\t定 3 - 32 个\t字\t符，\t可\t使\t用\t字\t母、\t数\t字、\t空\t格\t和\t下\t划\t线。";"部隊名は\t半角 3 文字～ 32 文字以下である\t必要があります。\t英数字、\t空白、\tアンダーバーを\t使用できます。";"聯\t隊\t名\t稱\t限\t定 3 - 32 個\t字\t元，\t可\t使\t用\t英\t文\t字\t母、\t數\t字、\t空\t格\t和\t底\t線";;
"clan/newclan_tag_req/battalion";"The Squadron Tag must be shorter than {tagLengthLimit} characters and longer than 1. It can only contain letters and numbers.";"Le tag de l'escadron doit être compris entre 2 et {tagLengthLimit} caractères composés exclusivement de lettres et de chiffres.";"La Tag Squadriglia deve essere più corta di {tagLengthLimit} simboli e più lunga di 1. Può contenere solo lettere e numeri.";"Das Kampfgruppen-Kürzel muss kürzer als {tagLengthLimit} und länger als ein Zeichen sein. Nur Buchstaben und Zahlen sind zulässig.";"La etiqueta del escuadrón debe tener entre 1 y {tagLengthLimit} caracteres. Sólo puede contener letras y números.";"Тег полка должен быть не длиннее {tagLengthLimit} символов и не короче 1 символа. Может состоять из цифр и букв латинского алфавита.";"Etykieta Dywizjonu musi być krótsza niż {tagLengthLimit} znaków oraz dłuższa niż 1 znak. Może zawierać wyłącznie litery i cyfry.";"A Tag do esquadrão deve ser menor que {tagLengthLimit} caracteres e maior que 1. Ela só pode conter letras e números.";"Filo Etiketi 1 karakterden uzun, {tagLengthLimit} karakterden kısa olmalıdır. Sadece sayılar ve rakamlardan oluşabilir.";"비행대의 태그는 {tagLengthLimit}자 미만 1자 이상이어야 합니다. 숫자 또는 문자를 포함할 수 있습니다.";"联\t队\t缩\t写\t限\t定 1 - {tagLengthLimit} 个\t字\t符，\t只\t能\t使\t用\t字\t母\t和\t数\t字。";"部隊\tタグは {tagLengthLimit} 文字より\t短く、\t1文字より\t長くしなければなりません。\tそれは\t文字と\t数字のみを\t含めることができます。";"聯\t隊\t縮\t寫\t限\t定 1 - {tagLengthLimit} 個\t字\t元，\t只\t能\t使\t用\t英\t文\t字\t母\t和\t數\t字";;
"clan/newclan_tag_req/normal";"The Squadron Tag must be shorter than {tagLengthLimit} characters and longer than 1. It can only contain letters and numbers. You can select a formatting style for your tag.";"Le tag de l'escadron doit être compris entre 2 et {tagLengthLimit} caractères composés exclusivement de lettres et de chiffres. Vous pouvez choisir un format prédéfini pour votre tag.";"La Tag Squadriglia deve essere più corta di {tagLengthLimit} simboli e più lunga di 1. Può contenere solo lettere e numeri. Puoi scegliere uno stile per la tua Tag.";"Das Kampfgruppen-Kürzel muss kürzer als {tagLengthLimit} und länger als ein Zeichen sein. Nur Buchstaben und Zahlen sind zulässig. Du kannst den Stil deines Kampfgruppen-Kürzels wählen.";"La etiqueta del escuadrón debe tener entre 1 y {tagLengthLimit} caracteres. Sólo puede contener letras y números. Puedes seleccionar un estilo de formato para la etiqueta.";"Тег полка должен быть не длиннее {tagLengthLimit} символов и не короче 1 символа. Может состоять из цифр и букв латинского алфавита. Для тега можно выбрать вариант оформления.";"Etykieta Dywizjonu musi być krótsza niż {tagLengthLimit} znaków oraz dłuższa niż 1 znak. Może zawierać wyłącznie litery i cyfry. Można wybrać styl formatowania etykiety.";"A Tag do Esquadrão deve ser menor do que {tagLengthLimit} e maior do que 1 caractere. Ela só pode conter letras e números. Você pode selecionar um estilo de formatação para sua Tag.";"Filo Etiketi 1 karakterden uzun, {tagLengthLimit} karakterden kısa olmalıdır. Sadece sayılar ve rakamlardan oluşabilir. Etiketiniz için bir biçimlendirme stili seçebilirsiniz.";"비행대 태그에는 문자와 숫자만 사용할 수 있으며 1자 이상 {tagLengthLimit}자 이하여야 합니다. 태그의 스타일은 변경이 가능합니다.";"联\t队\t缩\t写\t限\t定 1 - {tagLengthLimit} 个\t字\t符，\t只\t能\t使\t用\t字\t母\t和\t数\t字。\t你\t还\t可\t以\t为\t该\t缩\t写\t选\t择\t修\t饰\t符。";"部隊\tタグは {tagLengthLimit} 文字より\t短く、\t1文字より\t長くしなければなりません。\tそれは\t文字と\t数字のみを\t含めることができます。\tまた、\tタグの\t書式を\t選択することができます。";"聯\t隊\t縮\t寫\t限\t定 1 - {tagLengthLimit} 個\t字\t元，\t只\t能\t使\t用\t英\t文\t字\t母\t和\t數\t字，\t你\t還\t可\t以\t為\t該\t縮\t寫\t選\t擇\t修\t飾\t符";;
"clan/newclan_slogan_req";"The Squadron Motto must be shorter than 100 characters.";"La devise de l'escadron doit être inférieure à 100 caractères.";"Il motto della Squadriglia deve essere inferiore a 100 caratteri.";"Das Motto der Kampfgruppe kann bis zu 100 Zeichen lang sein.";"El lema del escuadrón debe ser inferior a 100 caracteres.";"Девиз полка должен быть не длиннее 100 символов.";"Motto Dywizjonu musi być krótsze niż 100 znaków.";"O lema do esquadrão deve conter menos que 100 caracteres.";"Filo sloganı 100 karakterden kısa olmalıdır.";"비행대 좌우명은 100자 이내로 적어야 합니다.";"联\t队\t队\t训\t不\t得\t超\t过 100 个\t字\t符。";"部隊\tモットーは 100 文字以下にする\t必要があります。.";"聯\t隊\t宗\t旨\t不\t得\t超\t過 100 個\t字\t元";;
"clan/newclan_description_req";"The Squadron Description must be shorter than 512 symbols.";"La description de l'escadron doit être inférieure à 512 symboles.";"La descrizione della Squadriglia deve essere inferiore ai 512 caratteri.";"Die Beschreibung der Kampfgruppe kann bis zu 512 Zeichen lang sein.";"La descripción del escuadrón debe ser inferior a 512 caracteres.";"Описание полка должно быть не длиннее 512 символов.";"Opis Dywizjonu musi być krótszy niż 512 znaków.";"A descrição do esquadrão deve conter menos que 512 símbolos.";"Filo açıklaması 512 karakterden kısa olmalıdır.";"비행대 소개는 512자 이하여야 합니다.";"联\t队\t简\t介\t不\t得\t超\t过 512 个\t字\t符。";"部隊説明は 512 文字以下に\t収めてください。";"聯\t隊\t簡\t介\t不\t得\t超\t過 512 個\t字\t元";;
"clan/newclan_announcement_req";"The Squadron Announcement must be shorter than 512 symbols.";"La description de l'escadron ne peut excéder 512 caractères.";"L'annuncio di Squadriglia deve contenere meno di 512 caratteri.";"Die Kampfgruppen-Ankündigung muss kürzer als 512 Zeichen sein.";"El Anuncio del Escuadrón debe tener menos de 512 símbolos.";"Анонс должен быть не длиннее 512 символов.";"Ogłoszenie Dywizjonu musi być krótsze niż 512 znaków.";"A descrição do Esquadrão deve conter menos que 512 símbolos.";"Filo Bildirisi 512 sembolden daha kısa olmalıdır.";"비행대 공지는 반드시 512자보다 짧아야 합니다.";"联\t队\t公\t告\t不\t得\t超\t过 512 个\t字\t符。";"部隊の\t説明は\t512文字以内にしてください";"聯\t隊\t公\t告\t不\t得\t超\t過 512 個\t字\t元";;
"clan/newclan_region_req";"Region must be shorter than 64 symbols.";"La localisation ne doit pas dépasser 63 caractères.";"La Regione deve essere più corta di 64 simboli.";"Die Beschreibung der Region, in der die Kampfgruppe aktiv ist, darf 64 Zeichen lang sein.";"La Región debe tener menos de 64 símbolos.";"Регион должен быть не длиннее 64 символов.";"Nazwa regionu musi być krótsza niż 64 znaki.";"Região deve ser mais curta que 64 símbolos";"Bu kısım 64 karakterden kısa olmalıdır.";"지역명은 64자 이내여야 합니다.";"地\t区\t偏\t好\t不\t得\t超\t过 64 个\t字\t符。";"地域は\t64文字以内にしてください";"地\t區\t不\t得\t超\t過 64 個\t字\t元";;
"clan/clan_can_change_region_in";"(you can change region after {time})";"(Vous pouvez changer la région après {time})";"(puoi cambiare regione tra {time})";"(die Region kann nach {time} geändert werden)";"(Puedes cambiar de región después de {time})";"(вы сможете сменить регион после {time})";"(możesz zmienić region za {time})";"(você pode alterar a região depois de {time})";"(bölgeyi {time} sonrası değiştirebilirsiniz)";"(지역 변경 종료까지 {time})";"（可\t在 {time} 后\t更\t改\t地\t区\t偏\t好）";"(地域を {time} に\t変更できます)";"(你\t可\t以\t變\t更\t地\t區\t在 {time} 之\t後)";;
