"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"type/battleship";"Battleship";"Cuirassé";"Corazzata";"Schlachtschiff";"Acorazado";"Линкор";"Лінкор";"Pancernik";"Couraçado";"Zırhlı";"Bitevní loď";"Θωρηκτό";"Kapal Tempur";"เรือประจัญบาน";"전함";"战\t列\t舰";"戦艦";"戰\t列\t艦";;
"type/submarine";"Submarine";"Sous-marin";"Sommergibile";"U-Boot";"Submarino";"Подводная лодка";"Підводний човен";"Okręt podwodny";"Submarino";"Denizaltı";"Ponorka";"Υποβρύχιο";"Kapal Selam";"เรือดำน้ำ";"잠수함";"潜\t艇";"潜水艦";"潛\t艇";;
"type/carrier";"Carrier";"Porte-avions";"Portaerei";"Flugzeugträger";"Portaaviones";"Авианосец";"Авіаносець";"Lotniskowiec";"Porta-aviões";"Uçak Gemisi";"Letadlová loď";"Μεταφορικό";"Kapal Induk";"เรือบรรทุก";"항공모함";"航\t空\t母\t舰";"軽空母";"航\t空\t母\t艦";;
"type/lcvp";"Landing craft";"Barge de débarquement";"Nave da sbarco";"Landungsboot";"Lancha de desembarco";"Десантное судно";"Десантне судно";"Barka desantowa";"Lancha de desembarque";"Çıkarma Gemisi";"Vyloďovací plavidlo";"Αποβατικό";"Kapal Pendarat";"เรือระบายพล";"상륙정";"登\t陆\t艇";"上陸用舟艇";"登\t陸\t艇";;
"type/cargoShip";"Cargo ship";"Cargo";"Nave da trasporto";"Frachtschiff";"Buque de carga";"Грузовой корабль";"Вантажний корабель";"Transportowiec";"Cargueiro";"Kargo Gemisi";"Nákladní loď";"Φορτηγό πλοίο";"Kapal Barang";"เรือลำเลียง";"수송선";"货\t船";"貨物船";"貨\t船";;
"type/fishboat";"Boat";"Bateau";"Imbarcazione";"Boot";"Barco";"Лодка";"Човен";"Łódź";"Barco";"Bot";"Člun";"Καΐκι";"Perahu";"เรือ";"보트";"小\t型\t舰\t艇";"ボート";"船";;
"type/lightTank";"Light tank";"Char léger";"Carro leggero";"Leichter Panzer";"Tanque ligero";"Лёгкий танк";"Легкий танк";"Czołg lekki";"Tanque leve";"Hafif tank";"Lehký tank";"Ελαφρύ τανκ";"Tank Ringan";"รถถังเบา";"경전차";"轻\t型\t坦\t克";"軽戦車";"輕\t型\t戰\t車";;
"type/mediumTank";"Medium tank";"Char moyen";"Carro Medio";"Mittlerer Panzer";"Tanque medio";"Средний танк";"Середній танк";"Czołg średni";"Tanque médio";"Orta tank";"Střední tank";"Μεσαίο τανκ";"Tank Medium";"รถถังกลาง";"중형전차";"中\t型\t坦\t克";"中戦車";"中\t型\t戰\t車";;
"type/heavyTank";"Heavy tank";"Char lourd";"Carro super-pesante";"Schwerer Panzer";"Tanque pesado";"Тяжёлый танк";"Важкий танк";"Czołg ciężki";"Tanque pesado";"Ağır tank";"Těžký tank";"Βαρύ τανκ";"Tank Berat";"รถถังหนัก";"중전차";"重\t型\t坦\t克";"重戦車";"重\t型\t戰\t車";;
"type/tankDestroyer";"SPG";"Canon automoteur";"Semovente";"Selbstfahrlafette";"SPG";"САУ";"САУ";"Działo samobieżne";"OAP";"KMT";"Samohybné dělo";"SPG";"SPG";"ปืนใหญ่อัตตาจร";"자주포";"自\t行\t火\t炮";"自走砲";"自\t走\t炮";;
"type/spaa";"SPAA";"AA auto-moteur";"Antiaerea";"Flugabwehrfahrzeug";"AAA";"ЗСУ";"ЗСУ";"Samobieżne Działo Plot.";"AAAP";"Uçaksavar";"Protiletadlové vozidlo";"SPAA";"SPAA";"SPAA";"자주대공포";"自\t行\t防\t空\t炮";"自走式対空砲";"自\t走\t防\t空\t炮";;
"dummy_plane";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";;
"germ_20mmx4_flak38_noground";"AAA";"Antiaérien";"AA";"Flugabwehr";"AAA";"ПВО";"ППО";"Artyleria przeciwlotnicza";"AAA";"Uçaksavar";"PVO";"AAA";"AAA";"AAA";"대공포";"防\t空\t炮";"対空砲";"防\t空\t炮";;
"germ_37mm_flak43_noground";"AAA";"Antiaérien";"AA";"Flugabwehr";"AAA";"ПВО";"ППО";"Artyleria przeciwlotnicza";"AAA";"Uçaksavar";"PVO";"AAA";"AAA";"AAA";"대공포";"防\t空\t炮";"対空砲";"防\t空\t炮";;
"germ_88mm_flak36_noground";"AAA";"Antiaérien";"AA";"Flugabwehr";"AAA";"ПВО";"ППО";"Artyleria przeciwlotnicza";"AAA";"Uçaksavar";"PVO";"AAA";"AAA";"AAA";"대공포";"防\t空\t炮";"対空砲";"防\t空\t炮";;
"germ_sdkfz71_20mm";"AAA";"Antiaérien";"AA";"Flugabwehr";"AAA";"ПВО";"ППО";"Artyleria przeciwlotnicza";"AAA";"Uçaksavar";"PVO";"AAA";"AAA";"AAA";"대공포";"防\t空\t炮";"対空砲";"防\t空\t炮";;
"us_m16_truck";"AAA";"Antiaérien";"AA";"Flugabwehr";"AAA";"ПВО";"ППО";"Artyleria przeciwlotnicza";"AAA";"Uçaksavar";"PVO";"AAA";"AAA";"AAA";"대공포";"防\t空\t炮";"対空砲";"防\t空\t炮";;
"uk_bunker";"Pillbox";"Casemate";"Casamatta";"Bunker";"Fortín";"ДОТ";"ДОТ";"Bunkier";"Pillbox";"Korugan";"Bunkr";"Πολυβολείο";"Pillbox";"รังปืน";"특화점";"碉\t堡";"トーチカ";"地\t堡";;
"uk_bunker_light";"Light Pillbox";"Casemate légère";"Casamatta leggera";"Leichter Bunker";"Fortín Ligero";"Лёгкий ДОТ";"Легкий ДОТ";"Lekki Bunkier";"Pillbox Leve";"Hafif Korugan";"Lehký bunkr";"Ελαφρύ πολυβολείο";"Pillbox Ringan";"รังปืนเบา";"소형 특화점";"小\t碉\t堡";"軽\tトーチカ";"小\t型\t碉\t堡";;
"ussr_122mm_m30";"Artillery";"Artillerie";"Artiglieria";"Artillerie";"Artillería";"Артиллерия";"Артилерія";"Artyleria";"Artilharia";"Topçu";"Dělostřelectvo";"Πυροβολικό";"Artileri";"ปืนใหญ่";"야포";"火\t炮";"砲兵隊";"火\t炮";;
"ussr_152mm_d1";"Artillery";"Artillerie";"Artiglieria";"Artillerie";"Artillería";"Артиллерия";"Артилерія";"Artyleria";"Artilharia";"Topçu";"Dělostřelectvo";"Πυροβολικό";"Artileri";"ปืนใหญ่";"야포";"火\t炮";"砲兵隊";"火\t炮";;
"ussr_quest_large_art_noground";"Howitzer";"Obusier";"Obice";"Haubitze";"Obús";"Гаубица";"Гаубиця";"Haubica";"Obus";"Obüs";"Houfnice";"Οβιδοβόλο";"Howitzer";"ปืนใหญ่วิถีโค้ง";"곡사포";"榴\t弹\t炮";"榴弾砲";"榴\t彈\t炮";;
"germ_opelBlitz_tent";"Vehicle";"Véhicule";"Veicolo";"Fahrzeug";"Vehículo";"Автотранспорт";"Транспорт";"Pojazd";"Veículo";"Araç";"Vozidlo";"Όχημα";"Kendaraan";"พาหนะ";"차량";"载\t具";"車両";"載\t具";;
"germ_sdKfz_222_light";"Light AC";"Voiture blindée légère";"Autoblindo Leggera";"Leichter Panzerspähwagen";"Vehículo Blindado Ligero";"Лёгкий БА";"Легкий БА";"Lekki samochód pancerny";"CB Leve";"Hafif ZA";"Lehké vozidlo";"Ελαφρά θωρακισμένο όχημα";"AC Ringan";"พาหนะหุ้มเกราะเบา";"경장갑차";"轻\t型\t装\t甲\t车";"軽装甲車";"輕\t型\t裝\t甲\t車";;
"germ_sdKfz_222";"Light AC";"Blindé léger";"Autoblindo Leggera";"Leichter Panzerspähwagen";"AC Ligero";"Лёгкий БА";"Легкий БА";"Lekki samochód pancerny";"AC ligeiro";"Hafif ZA";"Lehké vozidlo";"Ελαφρά θωρακισμένο όχημα";"AC Ringan";"พาหนะหุ้มเกราะเบา";"경장갑차";"轻\t型\t装\t甲\t车";"軽装甲車";"輕\t型\t裝\t甲\t車";;
"germ_pzIIf";"Light tank";"Char léger";"Carro leggero";"Leichter Panzer";"Tanque ligero";"Лёгкий танк";"Легкий танк";"Czołg lekki";"Tanque Leve";"Hafif tank";"Lehký tank";"Ελαφρύ τανκ";"Tank Ringan";"รถถังเบา";"경전차";"轻\t型\t坦\t克";"軽戦車";"輕\t型\t戰\t車";;
"us_m5a1_stuart6";"Light tank";"Char léger";"Carro leggero";"Leichter Panzer";"Tanque ligero";"Лёгкий танк";"Легкий танк";"Czołg lekki";"Tanque Leve";"Hafif tank";"Lehký tank";"Ελαφρύ τανκ";"Tank Ringan";"รถถังเบา";"경전차";"轻\t型\t坦\t克";"軽戦車";"輕\t型\t戰\t車";;
"us_cargo_truck";"Vehicle";"Véhicule";"Veicolo";"Fahrzeug";"Vehículo";"Автотранспорт";"Транспорт";"Pojazd";"Veículo";"Araç";"Vozidlo";"Όχημα";"Kendaraan";"พาหนะ";"차량";"载\t具";"車両";"載\t具";;
"us_m8_greyhound";"Armoured Car";"Voiture blindée";"Autoblindo";"Panzerwagen";"Vehículo Blindado";"Бронеавтомобиль";"Бронеавтомобіль";"Samochód Pancerny";"Carro Blindado";"Zırhlı Araç";"Obrněné vozidlo";"Τεθωρακισμένο αυτοκίνητο";"Mobil Lapis Baja";"พาหนะหุ้มเกราะ";"장갑차";"装\t甲\t车";"装甲車";"裝\t甲\t車";;
"uss_pt_109";"Patrol boat";"Bateau de patrouille";"Pattugliatore";"Patrouillenboot";"Barco patrulla";"Дозорное судно";"Патрульний човен";"Patrolowiec";"Navio patrulha";"Devriye Botu";"Hlídkový člun";"Σκάφος περιπολίας";"Perahu Patroli";"เรือตรวจการณ์";"초계정";"巡\t逻\t艇";"哨戒艇";"巡\t邏\t艇";;
"uss_dd_sims";"Destroyer";"Destroyer";"Cacciatorpediniere";"Zerstörer";"Destructor";"Эсминец";"Есмінець";"Niszczyciel";"Contratorpedeiro";"Muhrip";"Torpédoborec";"Αντιτορπιλικό";"Kapal Perusak";"เรือพิฆาต";"구축함";"驱\t逐\t舰";"駆逐艦";"驅\t逐\t艦";;
"germ_dd_z28";"Destroyer";"Destroyer";"Cacciatorpediniere";"Zerstörer";"Destructor";"Эсминец";"Есмінець";"Niszczyciel";"Contratorpedeiro";"Muhrip";"Torpédoborec";"Αντιτορπιλικό";"Kapal perusak";"เรือพิฆาต";"구축함";"驱\t逐\t舰";"駆逐艦";"驅\t逐\t艦";;
"cargo_ship_small";"Light cargo ship";"Cargo léger";"Nave da trasporto leggera";"Leichtes Frachtschiff";"Buque de carga ligero";"Лёгкий грузовой корабль";"Легке вантажне судно";"Lekki transportowiec";"Cargueiro ligeiro";"Hafif Kargo Gemisi";"Lehká nákladní loď";"Ελαφρύ φορτηγό πλοίο";"Kapal barang ringan";"เรือลำเลียงเบา";"소형 화물선";"小\t型\t货\t船";"軽貨物船";"輕\t型\t貨\t船";;
"barrage_balloon_b_unit";"balloon";"ballon de barrage";"pallone";"Sperrballon";"globo";"Аэростат";"аеростат";"balon";"balão";"balon";"Balón";"μπαλόνι";"balon";"บอลลูน";"방공기구";"防\t空\t气\t球";"気球";"防\t空\t氣\t球";;
"air_cbt_p_38k";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";;
"air_cbt_yak_3t";"Yak-3t";"Yak-3T";"Yak-3t";"Yak-3T";"Yak-3t";"Як-3Т";"Як-3Т";"Jak-3T";"Yak-3t";"Yak-3t";"Jak-3T";"Yak-3t";"Yak-3t";"Yak-3t";"Yak-3T";"雅\t克\t-3T";"Yak-3t";"雅\t克\t-3T";;
"air_cbt_fw_190c";"FW 190 C";"FW 190 C";"FW 190 C";"Fw 190 C";"FW 190 C";"FW 190 C";"Fw 190 C";"FW 190 C";"FW 190 C";"FW 190 C";"FW 190 C";"FW 190 C";"FW 190 C";"FW 190 C";"Fw 190 C";"Fw 190 C";"FW 190 C";"FW 190 C";;
"ussr_t_34_1941_tutorial";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"Т-34 (1941)";"Т-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 (1941)";"T-34 1941 型";"T-34 (1941)";"T-34 (1941)";;
"sb2c_4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";;
"sb2c_4_killstreak";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";"SB2C-4";;
"fw-190c";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"FW 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";"Fw 190 C";;
"b-17g";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";"B-17G-60-VE";;
"b-17g_prem";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆B-17G-60-VE┆";"┆\tB-17G-60-VE\t┆";"┆B-17G-60-VE┆";"┆\tB-17G-60-VE\t┆";;
"b_24d";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";"B-24D-25-CO";;
"i-15_1934";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"И-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 (WR)";"I-15 WR";"I-15 WR";;
"i-15_1934_tutor";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"И-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 WR";"I-15 (WR)";"I-15 WR";"I-15 WR";;
"he51c1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";;
"he51c1_tutor";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";"He 51 C-1";;
"p-51c-10-nt";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";"P-51C-10";;
"p-51h-5_na";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";"P-51H-5-NA";;
"la-5_type37_early";"La-5";"La-5";"La-5";"La-5";"La-5";"Ла-5";"Ла-5";"Ła-5";"La-5";"La-5";"La-5";"La-5";"La-5";"La-5";"La-5";"拉\t-5";"La-5";"拉\t-5";;
"yak-3t";"Yak-3T";"Yak-3T";"Yak-3T";"Yak-3T";"Yak-3T";"Як-3Т";"Як-3Т";"Jak-3T";"Yak-3T";"Yak-3T";"Jak-3T";"Yak-3T";"Yak-3T";"Yak-3T";"Yak-3T";"雅\t克\t-3T";"Yak-3T";"雅\t克\t-3T";;
"f3f-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";;
"f3f-2_tutor";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";"F3F-2";;
"p-38k";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";"P-38K";;
"do_335a_1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";;
"do_335a_1_killstreak";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";"Do 335 A-1";;
"il_28sh_killstreak";"IL-28Sh";"IL-28Sh";"IL-28Sh";"IL-28Sh";"IL-28Sh";"Ил-28Ш";"Іл-28Ш";"Ił-28Sz";"IL-28Sh";"IL-28Sh";"IL-28Š";"IL-28Sh";"IL-28Sh";"IL-28Sh";"IL-28Sh";"伊\t尔\t-28Sh";"IL-28Sh";"伊\t爾\t-28Sh";;
"canberra_bimk6_killstreak";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B.Mk.6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"Canberra B Mk 6";"캔버라 B Mk 6";"堪\t培\t拉 B Mk 6";"キャンベラ B Mk 6";"坎\t培\t拉 B Mk 6";;
"so_4050_vautour_2a_killstreak";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 Vautour IIA";"S.O.4050 보투르 IIA";"SO.4050 IIA";"S.O.4050 ボートゥール IIA";"SO.4050 禿\t鷹 IIA";;
"mig_15_killstreak";"MiG-15bis";"MiG-15bis";"MiG-15bis";"MiG-15bis";"MiG-15bis";"МиГ-15бис";"МіГ-15біс";"MiG-15bis";"MiG-15bis";"MiG-15bis";"MiG-15bis";"MiG-15bis";"MiG-15bis";"MiG-15bis";"MiG-15bis";"米\t格\t-15bis";"MiG-15bis";"米\t格\t-15bis";;
"me_262c_2b_killstreak";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";"Me 262 C-2b";;
"meteor_fmk8_killstreak";"Meteor F Mk 8 G.41K";"Meteor F. Mk 8 G.41K";"Meteor F. Mk.8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk.8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"Meteor F Mk 8 G.41K";"미티어 F Mk.8 G.41K";"流\t星\t F Mk 8 (G.41K)";"ミーティア F Mk 8 G.41K";"流\t星\t F Mk 8 G.41K";;
"fw_190a_1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";;
"fw_190a_1_killstreak";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"FW 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";"Fw 190 A-1";;
"il_4";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"Ил-4";"Іл-4";"Ił-4";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"伊\t尔\t-4";"IL-4";"伊\t爾\t-4";;
"il_4_killstreak";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"Ил-4";"Іл-4";"Ił-4";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"IL-4";"伊\t尔\t-4";"IL-4";"伊\t爾\t-4";;
"he_111h_6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";"He 111 H-6";;
