"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>"
"MF_doneDestr";"You have destroyed the dam";"Vous avez détruit le barrage";"Hai distrutto la diga.";"Du hast den Damm zerstört.";"Has destruido la presa";"Вы разрушили дамбу";"Ви знищили дамбу";"Zniszczyłeś tamę.";"Destruiste a barragem";"Barajı imha ettin";"댐을 파괴했습니다.";"你\t摧\t毁\t了\t大\t坝";"ダムを\t破壊しました";"你\t摧\t毀\t了\t水\t壩"
"MF_hostageDie";"You eliminated the hostages";"Vous avez éliminé les otages";"Hai ucciso gli ostaggi";"Du hast die Geiseln getötet.";"Has matado a los rehenes";"Вы уничтожили заложников";"Ви вбили заручників";"Wyeliminowałeś zakładników";"Matas-te os reféns";"Rehineleri öldürdün";"인질을 사살했습니다";"你\t误\t杀\t了\t人\t质";"人質を\t殺害してしまいました";"你\t誤\t殺\t了\t人\t質"
"MF_ally_kill";"Friendly fire will not be tolerated";"Les tirs alliés ne seront pas tolérés.";"Il fuoco amico non sarà tollerato.";"Teambeschuss wird nicht toleriert";"No se tolerará el fuego amigo";"Стрельба по союзникам недопустима";"Стрільба по союзникам неприпустима";"Bratobójczy ogień nie będzie tolerowany";"Fogo amigo não será tolerado";"Dost ateşine tolerans gösterilmeyecek";"아군을 사격해서는 안 됩니다.";"你\t误\t伤\t了\t队\t友";"味方機への\t誤射は\t許されません";"你\t誤\t傷\t了\t隊\t友"
"MF_stopConvoy";"You failed to stop the convoy";"Vous avez échoué à arrêter le convoi";"Non hai fermato il convoglio.";"Du hast es nicht geschafft, den Konvoi aufzuhalten.";"No has logrado detener al convoy";"Вам не удалось остановить конвой";"Вам не вдалося зупинити конвой";"Nie udało Ci się zatrzymać konwoju.";"Não conseguis-te parar o comboio";"Konvoyu durdurmayı başaramadın";"수송대를 저지하지 못했습니다.";"拦\t截\t护\t航\t队\t行\t动\t失\t败";"敵の\t護衛輸送団を\t阻止出来ませんでした";"攔\t截\t護\t航\t隊\t行\t動\t失\t敗"
"MF_catamaranKilled";"You destroyed the catamaran with hostages still on board";"Vous avez détruit le catamaran avec des otages encore à bord";"Hai distrutto il catamarano con gli ostaggi ancora a bordo.";"Du hast den Katamaran zerstört, während die Geiseln noch an Bord waren.";"Has destruido el catamarán todavía con rehenes a bordo.";"Вы уничтожили катамаран с заложниками на борту";"Ви знищили катамаран із заручниками на борту";"Zniszczyłeś katamaran z zakładnikami na pokładzie.";"Destruíste o catamarã com reféns a bordo";"Katamaranı içindeki rehinelerle birlikte imha ettin";"인질들이 타고 있는 쌍동선을 파괴하였습니다.";"人\t质\t还\t未\t救\t出，\t你\t就\t摧\t毁\t了\t双\t体\t船";"まだ\t人質が\t乗っている\t双胴船を\t撃破しました";"人\t質\t還\t未\t救\t出，\t你\t就\t摧\t毀\t了\t雙\t體\t船"
"MF_Base_Destroyed2";"You failed to protect the base";"Vous n'avez pas réussi à protéger la base";"Non hai protetto la base.";"Du hast es nicht geschafft die Basis zu verteidigen.";"No has logrado proteger la base";"Вы не смогли защитить базу";"Ви не змогли захистити базу";"Nie udało Ci się obronić bazy";"Falhaste em proteger a base";"Üssü korumayı başaramadın";"기지 방어에 실패했습니다.";"未\t能\t保\t护\t好\t基\t地";"基地の\t防衛に\t失敗しました";"未\t能\t保\t護\t好\t基\t地"
"MF_bombers_reach_tgt";"Too many enemy bombers have reached their targets";"Trop d'ennemis bombardiers ont atteint leurs cibles";"Troppi bombardieri nemici hanno raggiunto i loro bersagli.";"Zu viele der feindlichen Bomber haben ihre Ziele erreicht.";"Demasiados bombarderos enemigos han alcanzado sus objetivos";"Слишком много бомбардировщиков достигло своих целей";"Занадто багато бомбардувальників досягло своїх цілей";"Zbyt wiele wrogich bombowców dotarło do celu.";"Muitos bombardeiros inimigos atingiram os seus alvos";"Çok fazla düşman bombardıman uçağı hedefine ulaştı";"너무 많은 수의 적 폭격기가 목적지에 도달했습니다.";"已\t有\t太\t多\t敌\t方\t轰\t炸\t机\t抵\t达\t了\t目\t标\t位\t置";"多数の\t敵爆撃機が\tターゲットに\t到達しました";"已\t有\t太\t多\t敵\t方\t轟\t炸\t機\t抵\t達\t了\t目\t標\t位\t置"
"MF_bombers_escaped";"The bombers escaped";"Les bombardiers se sont sauvés";"I bombardieri sono fuggiti.";"Die Bomber sind entkommen.";"Los bombarderos han escapado.";"Бомбардировщики смогли оторваться";"Бомбардувальники змогли відірватися";"Bombowce uciekły.";"Os bombardeiros escaparam";"Bombardıman uçakları kaçtı";"폭격기들이 빠져나갔습니다.";"轰\t炸\t机\t逃\t掉\t了";"爆撃機は\t逃亡しました";"轟\t炸\t機\t逃\t掉\t了"
"MF_ijn_destroyed";"Imperial Japanese Navy's 1st Air Fleet carrier was totally destroyed";"Le transporteur de la première flotte aérienne de la Marine Impériale Japonaise a été totalement détruit";"La 1° portaerei della flotta Imperiale Giapponese è stata totalmente distrutta.";"Der Flugzeugräger der 1. Trägerflotte der Kaiserlich Japanischen Marine wurde völlig zerstört.";"El portaaviones de la Primera Flota Aérea de la Armada Imperial Japonesa fue totalmente destruido";"Авианосец Первого императорского флота Японии был полностью уничтожен";"Авіаносець Першого імператорського флоту Японії був повністю знищений";"Lotniskowiec Pierwszej Floty Powietrznej Cesarskiej Japońskiej Marynarki Wojennej został całkowicie zniszczony";"1º porta-aviões da Marinha Imperial Japonesa foi totalmente destruído";"Birinci Japon İmparatorluk Donanma Filosu Uçak gemisi tamamen yok edildi";"일본 해군 제1항모전단이 모두 격침되었습니다.";"日\t本\t帝\t国\t海\t军\t第\t一\t航\t空\t舰\t队\t全\t军\t覆\t没";"大日本帝国海軍の\t第一航空艦隊の\t空母は\t破壊されました";"日\t本\t帝\t國\t海\t軍\t一\t航\t戰\t全\t軍\t覆\t沒"
"MF_bombers_die";"Too many bombers have been shot down";"Trop de bombardiers ont été descendus";"Troppi bombardieri sono stati abbattuti.";"Es wurden zu viele Bomber abgeschossen.";"Demasiados bombarderos han sido derribados";"Слишком много бомбардировщиков было сбито";"Занадто багато бомбардувальників було збито";"Zestrzelono zbyt wiele bombowców.";"Muitos bombardeiros foram abatidos";"Çok sayıda düşman bombardıman uçağı düşürüldü";"너무 많은 폭격기가 격추당했습니다.";"已\t有\t太\t多\t轰\t炸\t机\t被\t击\t落";"爆撃機の\t大多数を\t撃墜されたようです";"已\t有\t太\t多\t轟\t炸\t機\t被\t擊\t落"
"MF_yorktown_died";"You failed to protect Yorktown from enemy attacks";"Vous avez échoué dans la protection du Yorktown";"Non hai protetto la Yorktown dagli attacchi nemici.";"Du hast es nicht geschafft, die Yorktown vor feindlichen Angriffen zu beschützen.";"No has logrado proteger al Yorktown de los ataques enemigos";"Вы не смогли защитить ""Йорктаун"" от вражеских атак";"Ви не змогли захистити ""Йорктаун"" від ворожих атак";"Nie udało ci się obronić lotniskowca Yorktown przed wrogiem";"Falhou em proteger o Yorktown de ataques inimigos";"Yorktown'u düşman saldırılarından korumayı başaramadın";"요크타운을 적의 공격으로부터 보호하지 못했습니다.";"未\t能\t保\t护\t好\t“约\t克\t城”\t号";"ヨークタウンを\t敵の\t攻撃から\t守れませんでした";"未\t能\t保\t護\t好 約\t克\t城 號"
"MF_hornet_died";"You failed to protect Hornet from enemy attacks";"Vous avez échoué dans la protection du Hornet";"Non hai protetto la Hornet dagli attacchi nemici.";"Du hast es nicht geschafft, die Hornet vor feindlichen Angriffen zu beschützen.";"No has logrado proteger al Hornet de los ataques enemigos";"Вы не смогли защитить ""Хорнет"" от вражеских атак";"Ви не змогли захистити ""Хорнет"" від ворожих атак";"Nie udało ci się obronić lotniskowca Hornet przed wrogiem";"Falhou em proteger a Hornet de ataques inimigos";"Hornet'i düşman saldırılarından korumada başarısız oldun";"호넷을 적의 공격으로부터 보호하지 못했습니다.";"未\t能\t保\t护\t好\t“大\t黄\t蜂”\t号";"ホーネットを\t敵の\t攻撃から\t守れませんでした";"未\t能\t保\t護\t好 大\t黃\t蜂 號"
"MF_enterprise_died";"You failed to protect Enterprise from enemy attacks";"Vous avez échoué dans la protection de l'Enterprise";"Non hai protetto la Enterprise dagli attacchi nemici.";"Du hast es nicht geschafft, die Enterprise vor feindlichen Angriffen zu beschützen.";"No has logrado proteger al Enterprise de los ataques enemigos";"Вы не смогли защитить ""Энтерпрайз"" от вражеских атак";"Ви не змогли захистити ""Ентерпрайз"" від ворожих атак";"Nie udało ci się obronić lotniskowca Enterprise przed wrogiem.";"Falhaste em proteger a Enterprise dos ataques inimigos";"Enterprise'ı düşman saldırılarından korumada başarısız oldun";"엔터프라이즈를 적의 공격으로부터 보호하지 못했습니다.";"未\t能\t保\t护\t好\t“企\t业”\t号";"エンタープライズを\t敵の\t攻撃から\t守れませんでした";"未\t能\t保\t護\t好 企\t業 號"
"MF_shokaku_died";"You failed to protect Shōkaku from enemy attacks";"Vous avez échoué dans la protection du Shokaku des attaques ennemis";"Non sei stato in grado di proteggere la Shōkaku dagli attacchi nemici";"Du hast es nicht geschafft, die Shōkaku vor feindlichen Angriffen zu beschützen.";"No has logrado proteger al Shōkaku de los ataques enemigos";"Вы не смогли защитить ""Сёкаку"" от вражеских атак";"Ви не змогли захистити ""Сьокаку"" від ворожих атак";"Nie udało ci się obronić Shōkaku przed wrogiem.";"Falhou em proteger Shokaku de ataques inimigos";"Shōkaku'yu düşman saldırılarından korumada başarısız oldun";"쇼카쿠를 적의 공격으로부터 보호하지 못했습니다.";"未\t能\t保\t护\t好\t“翔\t鹤”\t号";"翔鶴を\t敵の\t攻撃から\t守れませんでした";"未\t能\t保\t護\t好 翔\t鶴 號"
"MF_bombers_alive";"You failed to destroy enough enemy bombers";"Vous n'avez pas réussi à détruire suffisamment de bombardiers ennemis";"Non sei stato in grado di distruggere un numero sufficiente di bombardieri nemici";"Du hast es nicht geschafft, genügend feindliche Bomber zu zerstören.";"No has logrado destruir suficientes bombarderos enemigos";"Вы не смогли уничтожить достаточное количество вражеских бомбардировщиков";"Ви не змогли знищити достатню кількість ворожих бомбардувальників";"Nie udało ci się zniszczyć dostatecznej liczby wrogich bombowców.";"Não conseguiste destruir bombardeiros inimigos suficientes";"Yeterli sayıda bombardıman uçağı imha etmeyi başaramadın";"적 폭격기를 충분히 격추하는 데 실패하였습니다.";"未\t能\t摧\t毁\t足\t够\t多\t敌\t方\t轰\t炸\t机";"敵の\t爆撃機を\t十分に\t撃破しきれませんでした";"未\t能\t摧\t毀\t足\t夠\t多\t敵\t方\t轟\t炸\t機"
"MF_bombing_fail";"Bombing was unsuccessful.";"Le bombardement a été un échec.";"Il bombardamento non ha avuto successo";"Der Bombenangriff war erfolglos.";"El bombardeo no tuvo éxito.";"Бомбардировка прошла неудачно.";"Бомбардування пройшло невдало.";"Bombardowanie nie powiodło się.";"O bombardeamento foi mal sucedido.";"Bombardıman başarısız.";"폭격에 실패했습니다.";"轰\t炸\t失\t败";"爆撃は\t失敗しました";"轟\t炸\t失\t敗"
"MF_assault_fail";"Attack was unsuccessful.";"L'attaque a été un échec.";"L'attacco non ha avuto successo.";"Der Angriff war erfolglos.";"El ataque no tuvo éxito.";"Атака прошла неудачно.";"Атака пройшла невдало.";"Atak się nie powiódł.";"O ataque foi mal sucedido.";"Saldırı başarısız.";"공격에 실패했습니다.";"攻\t击\t失\t败";"攻撃は\t失敗しました";"攻\t擊\t失\t敗"
