"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"hotkeys/submarine_depth_rangeDec";"Increase depth";"Augmenter la profondeur";"Aumenta profondità";"Tiefe erhöhen";"Aumentar profundidad";"Увеличить глубину";"Збільшити глибину";"Zwiększ głębokość";"Aumentar profundidade";"Derinliği arttır";"Ponořit";"Αύξηση βάθους";"Tingkatkan kedalaman";"เพิ่มความลึก";"심도 상승";"增\t加\t深\t度";"深度を\t深める";"提\t高\t深\t度";;
"hotkeys/submarine_depth_rangeInc";"Decrease depth";"Diminuer la profondeur";"Diminuisci profondità";"Tiefe verringern";"Disminuir profundidad";"Уменьшить глубину";"Зменшити глибину";"Zmniejsz głębokość";"Reduzir profundidade";"Derinliği azalt";"Vynořit";"Μείωση βάθους";"Kurangi kedalaman";"ลดความลึก";"심도 하강";"减\t少\t深\t度";"深度を\t低める";"降\t低\t深\t度";;
"hotkeys/ID_DIVING_LOCK";"Submarine dive";"Plongée en sous-marin";"Immersione Sommergibile";"Tauchen";"Inmersión submarina";"Погружение";"Занурення підводного човна";"Zanurzenie okrętu podwodnego";"Submergir submarino";"Denizaltı dalışı";"Ponor ponorky";"Κατάδυση υποβρυχίου";"Penyelaman kapal selam";"เรือดำน้ำลงใต้ผิวน้ำ";"잠수함 잠수";"潜\t艇\t下\t潜";"潜水艦降下";"潛\t艇\t下\t潛";;
"hotkeys/ID_SUBMARINE_WEAPON_ROCKETS";"Rockets";"Roquettes";"Razzi";"Raketen";"Cohetes";"Пуск ракет";"Ракети";"Rakiety";"Foguetes";"Roketler";"Rakety";"Ρουκέτες";"Roket";"จรวด";"로켓";"火\t箭\t弹";"ロケット";"火\t箭";;
"hotkeys/ID_SUBMARINE_WEAPON_TORPEDOES";"Launch torpedoes";"Lancer les torpilles";"Lancio siluri";"Torpedos abfeuern";"Lanzar torpedos";"Пуск торпед";"Пуск торпед";"Wystrzel torpedy";"Lançar torpedos";"Torpidoları ateşle";"Vypustit torpéda";"Εκτόξευση τορπιλών";"Luncurkan torpedo";"ยิงตอร์ปิโด";"어뢰 발사";"发\t射\t鱼\t雷";"魚雷発射";"發\t射\t魚\t雷";;
"hotkeys/ID_SUBMARINE_ACOUSTIC_COUNTERMEASURES";"Noisemakers";"Bruiteurs";"Generatore di rumori";"Täuschkörper";"Señuelos";"Акустическая система помех";"Акустична система перешкод";"Wabiki dźwiękowe";"Criadores de ruído";"Gürültü çıkarıcılar";"Zvukové rušičky";"Μηχανισμοί παραγωγής θορύβου";"Noisemaker";"เป้าลวงเสียง";"디코이";"水\t声\t诱\t饵";"ノイズメーカー";"噪\t音\t製\t造\t者";;
"hotkeys/ID_SUBMARINE_ACTION_BAR_ITEM_11";"Repair";"Réparations";"Riparazione";"Reparieren";"Reparar";"Ремонт";"Відремонтувати";"Naprawa";"Reparar";"Onarım";"Opravit";"Επισκευή";"Perbaiki";"ซ่อม";"수리";"维\t修";"修理";"修\t理";;
"controls/ailerons";"Roll axis";"Axe de roulis";"Asse rollio";"Roll-Achse";"Eje de alabeo";"Ось крена";"Вісь крену";"Oś przechylenia";"Eixo de rolagem";"Yatış Ekseni";"Osa klonění";"Άξονας διατοιχισμού";"Sumbu guling";"เอนซ้ายขวา";"롤 축";"滚\t转\t轴";"ロール\t軸";"翻\t滾\t縱\t軸";;
"controls/elevator";"Pitch axis";"Axe de tangage (profondeur)";"Asse beccheggio";"Nick-Achse";"Eje de cabeceo";"Ось тангажа";"Вісь тангажу";"Oś pochylenia";"Eixo pitch";"Yunuslama ekseni";"Osa klopení";"Άξονας πρόνευσης";"Sumbu anggul";"เชิดหัวขึ้นลง";"피치 축";"俯\t仰\t轴";"ピッチ\t軸";"俯\t仰\t橫\t軸";;
"controls/rudder";"Yaw axis";"Axe de lacet (dérive)";"Asse imbardata";"Gier-Achse";"Eje de guiñada";"Ось рыскания";"Вісь рискання";"Oś odchylenia";"Eixo yaw";"Yalpa ekseni";"Osa bočení";"Άξονας εκτροπής";"Sumbu oleng";"ส่ายซ้ายขวา";"요 축";"偏\t航\t轴";"ヨー\t軸";"偏\t擺\t垂\t軸";;
"hotkeys/ID_LOCK_TARGET";"Lock Target";"Verrouiller une cible";"Aggancia bersaglio";"Ziel aufschalten";"Fijar Objetivo";"Выделение цели";"Виділення цілі";"Namierz cel";"Bloquear Alvo";"Hedefi Kilitle";"Zaměřit cíl";"Κλείδωμα στόχου";"Kunci Target";"ล็อกเป้าหมาย";"목표 선택";"锁\t定\t目\t标";"標的を\tロック";"鎖\t定\t目\t標";;
"hotkeys/ID_BOMBS";"Drop bomb";"Larguer une bombe";"Sgancia bomba";"Bombe abwerfen";"Soltar bomba";"Сброс бомбы";"Скидання бомби";"Zrzuć bombę";"Lançar bomba";"Bomba at";"Odhodit pumu";"Πτώση βόμβας";"Jatuhkan bom";"ทิ้งระเบิด";"폭탄 투하";"投\t放\t炸\t弹";"爆弾投下";"投\t擲\t炸\t彈";;
"hotkeys/ID_RELOAD_GUNS";"Reload guns";"Recharger les armes";"Ricarica armi";"Waffen nachladen";"Recargar armas";"Перезарядить оружие";"Перезарядити зброю";"Przeładowanie";"Recarregar armas";"Silahları doldur";"Nabít zbraně";"Επαναγέμιση όπλων";"Isi ulang senapan";"เติมกระสุนปืน";"무장 재보급";"重\t新\t装\t填";"再装填";"重\t新\t裝\t填\t武\t器";;
"hotkeys/ID_ROCKETS";"Fire rocket";"Tirer une roquette";"Spara razzo";"Rakete abfeuern";"Disparar cohete";"Пуск ракеты";"Пуск ракети";"Wystrzel rakietę";"Disparar foguete";"Roket ateşle";"Vystřelit raketu";"Εκτόξευση πυραύλου";"Tembakkan roket";"ยิงจรวด";"로켓 발사";"发\t射\t火\t箭\t弹";"ロケット\t弾発射";"發\t射\t火\t箭";;
"hotkeys/ID_FLAPS_UP";"Flaps Up";"Monter les volets";"Flaps su";"Klappen einfahren";"Flaps Arriba";"Убрать закрылки";"Прибрати закрилки";"Klapy w górę";"Flaps levantados";"Flaplar Yukarı";"Klapky nahoru";"Πτερύγια καμπυλότητας πάνω";"Sirip Sayap Naik";"ยกชายปีก";"플랩 올림";"收\t起\t襟\t翼";"フラップ\t上げ";"收\t起\t襟\t翼";;
"hotkeys/ID_TACTICAL_MAP";"Tactical Map";"Carte tactique";"Mappa tattica";"Taktische Karte";"Mapa táctico";"Тактическая карта";"Тактична карта";"Mapa taktyczna";"Mapa tático";"Taktiksel Harita";"Taktická mapa";"Χάρτης τακτικής";"Peta Taktis";"แผนที่กลยุทธ์";"전술 지도";"作\t战\t地\t图";"戦術\tマップ";"戰\t術\t地\t圖";;
"hotkeys/ID_SHOW_VOICE_MESSAGE_LIST";"Radio messages for team";"Messages radio pour l'équipe";"Messaggi radio per la squadra";"Zeige Liste der Team-Funknachrichten";"Mensajes de radio para equipo";"Радиосообщения команде";"Радіоповідомлення команді";"Komunikaty dla drużyny";"Mensagens de rádio para a equipa";"Takım için telsiz mesajları";"Rádiové zprávy pro spojence";"Μηνύματα ασυρμάτου για την ομάδα";"Pesan radio untuk tim";"ข้อความวิทยุสำหรับทีม";"아군에 대한 라디오 메시지";"向\t友\t军\t发\t送\t无\t线\t电\t消\t息";"チームへの\tラジオメッセージ";"團\t隊\t無\t線\t電\t訊\t息";;
"hotkeys/ID_ZOOM_TOGGLE";"Zoom Camera";"Zoom de la caméra";"Zoom";"Zoomansicht";"Zoom de la cámara";"Приблизиться";"Камера наближення";"Przybliż widok";"Aproximar câmara";"Kamerayı Yakınlaştır";"Přiblížit pohled";"Ζουμ κάμερας";"Zoom Kamera";"ซูมกล้อง";"시야 확대/축소";"缩\t放\t视\t角";"カメラを\tズーム";"鏡\t頭\t縮\t放";;
"hotkeys/ID_CAMERA_NEUTRAL";"Free camera activation";"Activation de la caméra libre";"Attivazione telecamera libera";"Freie-Kamera-Aktivierung";"Activación de la cámara libre";"Активация свободной камеры";"Активація вільної камери";"Aktywacja kamery swobodnej";"Ativação da câmara livre";"Serbest kamera etkinleştirme";"Aktivace volné kamery";"Ενεργοποίηση ελεύθερης κάμερας";"Aktivasi kamera gratis";"เปิดใช้กล้องอิสระ";"자유 시점 활성화";"激\t活\t自\t由\t视\t角";"フリー カメラを\t有効化";"自\t由\t鏡\t頭\t啟\t動";;
"hotkeys/ID_CAMERA_VIEW_BACK";"Look back";"Regarder en arrière";"Guarda dietro";"Nach hinten sehen";"Vista hacia atrás";"Посмотреть назад";"Озирнутися";"Spójrz w tył";"Olhar para trás";"Geriye bak";"Pohled dozadu";"Κοίτα πίσω";"Lihat ke belakang";"ดูข้างหลัง";"뒤쪽 보기";"后\t视";"振り\t返る";"向\t後\t看";;
"hotkeys/ID_TOGGLE_TARGET_TRACKING";"Target tracking";"Suivi de cible";"Tracciamento bersaglio";"Zielverfolgung";"Seguimiento de objetivo";"Сопровождение цели";"Супровід цілі";"Śledzenie celu";"Seguir alvo";"Hedef takibi";"Sledování cíle";"Παρακολούθηση στόχου";"Pelacakan target";"ติดตามเป้าหมาย";"목표 추적";"目\t标\t跟\t踪";"標的追跡";"目\t標\t追\t蹤";;
"hotkeys/ID_FIRE_MGUNS";"Small-calibre guns";"Mitrailleuses";"Mitragliatrici";"Kleinkalibrige Bewaffnung";"Armas de calibre pequeño";"Мелкокалиберное вооружение";"Малокаліберне озброєння";"Broń małego kalibru";"Armas de baixo calibre";"Küçük kalibre silahlar";"Střelba z kulometů";"Όπλα μικρού διαμετρήματος";"Senapan kaliber kecil";"ปืนลำกล้องเล็ก";"기관총 발사";"小\t口\t径\t武\t器\t开\t火";"機関銃";"小\t口\t徑\t砲\t管";;
"hotkeys/ID_FIRE_CANNONS";"Large-calibre guns";"Canons";"Cannoni";"Großkalibrige Bewaffnung";"Armas de gran calibre";"Крупнокалиберное вооружение";"Крупнокаліберне озброєння";"Broń dużego kalibru";"Armas de alto calibre";"Büyük kalibre silahlar";"Střelba z kanónů";"Όπλα μεγάλου διαμετρήματος";"Senapan kaliber besar";"ปืนลำกล้องใหญ่";"기관포 발사";"大\t口\t径\t武\t器\t开\t火";"機関砲";"大\t口\t徑\t砲\t管";;
"hotkeys/ID_CAMERA_TPS";"External View";"Vue externe";"Visuale esterna";"Außenansicht";"Vista Externa";"Вид снаружи";"Вид ззовні";"Widok z zewnątrz";"Visão Externa";"Dış Görünüm";"Vnější pohled";"Εξωτερική προβολή";"Tampilan Eksternal";"มุมมองภายนอก";"외부 조망";"第\t三\t人\t称\t视\t角";"三人称視点";"第\t三\t人\t稱\t視\t角";;
"hotkeys/ID_CAMERA_VIRTUAL_FPS";"Virtual Cockpit";"Cockpit virtuel";"Abitacolo virtuale";"Virtuelles Cockpit";"Cabina virtual";"Виртуальная кабина";"Віртуальна кабіна";"Wirtualny kokpit";"Cockpit virtual";"Sanal Kokpit";"Virtuální kokpit";"Εικονικό πιλοτήριο";"Kokpit Virtual";"ห้องนักบินจำลอง";"가상 조종석";"虚\t拟\t驾\t驶\t舱\t视\t角";"バーチャルコックピット";"虛\t擬\t駕\t駛\t艙\t視\t角";;
"hotkeys/ID_WHEEL_BRAKE";"Wheel brake";"Frein à roue";"Freno";"Radbremse";"Freno de rueda";"Тормоз";"Гальма";"Hamulce kół";"Travão da roda";"Tekerlek freni";"Brzdy kol";"Φρένο τροχού";"Rem roda";"เบรกล้อ";"바퀴 제동";"机\t轮\t制\t动";"車輪\tブレーキ";"機\t輪\t煞\t車";;
"hotkeys/ID_CAMERA_GUNNER";"Gunner View";"Vue du tireur";"Visuale mitragliere";"Schützenansicht";"Vista de artillero";"Стрелок";"За стрільця";"Tryb strzelca";"Visão do artilheiro";"Nişancı Görünümü";"Pohled střelce";"Προβολή πυροβολητή";"Sudut Pandang Penembak";"มุมมองพลปืน";"사수 시점";"机\t枪\t手\t视\t角";"銃手視点";"槍\t炮\t手\t視\t角";;
"hotkeys/ID_CAMERA_BOMBVIEW";"Bomber View";"Vue du bombardier";"Visuale bombardiere";"Bombenschützenansicht";"Vista de Bombardero";"Бомбовый прицел";"Бомбовий приціл";"Tryb celowniczego";"Visão de bombardeiro";"Bombardıman Görünümü";"Pohled bombometčíka";"Προβολή βομβαρδιστικού";"Sudut Pandang Pengebom";"มุมมองทิ้งระเบิด";"폭격수 시점";"投\t弹\t手\t视\t角";"爆撃手視点";"投\t彈\t手\t視\t角";;
"hotkeys/ID_FLIGHTMENU";"Menu";"Menu";"Menu";"Menü";"Menú";"Меню";"Меню";"Menu";"Menu";"Menü";"Nabídka";"Μενού";"Menu";"เมนู";"메뉴";"菜\t单";"メニュー";"選\t單";;
"hotkeys/ID_PLANE_MOUSE_AIM_HEADER";"Aiming";"Visée";"Puntamento";"Zielen";"Apuntar";"Прицеливание";"Прицілювання";"Celowanie";"Apontar";"Nişan";"Míření";"Στόχευση";"Membidik";"การเล็ง";"조준 관련 조작";"瞄\t准";"照準";"瞄\t準";;
"msg/bombview_camera_disabled";"Bombview camera disabled";"Caméra ""vue de bombe"" désactivée";"Telecamera a inseguimento bomba disattivata";"Bomben-Verfolgungsansicht deaktiviert";"Cámara de vista de bomba deshabilitada";"Бомбовый прицел недоступен";"Бомбовий приціл недоступний";"Tryb widoku bomby wyłączony";"Câmara de visão da bomba desativada";"Bombardıman görünüm kamerası devre dışı";"Pohled bombometčíka vypnut";"Η κάμερα Bombview απενεργοποιήθηκε";"Kamera tampilan bom dinonaktifkan";"ปิดใช้งานกล้องทิ้งระเบิด";"폭격수 시점 비활성화";"关\t闭\t投\t弹\t手\t视\t角";"爆撃\tビューカメラ 無効";"炸\t彈\t視\t角\t鏡\t頭\t停\t用";;
"controls/help/crosshairs";"Your crosshair shows where your bullets will hit";"Vos viseurs montrent où vos balles frapperont";"Il mirino indica dove colpiranno i proiettili";"Dein Fadenkreuz zeigt dir an, wo deine Geschosse einschlagen werden";"El punto de mira te muestra donde van a impactar las balas";"Прицел показывает, куда полетят ваши пули и снаряды";"Приціл показує, куди полетять ваші кулі";"Celownik pokazuje gdzie trafią twoje pociski";"A mira mostra onde as balas vão acertar";"Nişangahınız mermilerinizin nereye isabet edeceğini gösterir";"Záměrný kříž ukazuje místo dopadu tvých střel";"Το σταυρόνημα σας δείχνει πού θα χτυπήσουν οι σφαίρες σας";"Garis bidik menunjukkan di mana peluru akan menghantam sasaran";"ศูนย์เล็งของคุณแสดงตำแหน่งที่กระสุนจะกระทบ";"조준점은 당신의 총알이 어디를 맞힐 것인지 보여줍니다.";"准\t星\t指\t示\t弹\t丸\t出\t膛\t方\t向";"あなたの\t照準器は\t弾が\t命中する\t場所を\t示しています";"你\t的\t十\t字\t瞄\t準\t顯\t示\t彈\t藥\t將\t會\t擊\t中\t的\t位\t置";;
"controls/help/target_leading";"The crosshair's leading indicator shows where you need to shoot to hit your target";"L'indicateur de viseur principal indique où vous devez tirer pour toucher votre cible";"Il marcatore indica il punto dove devi sparare per colpire il tuo bersaglio";"Die Vorhaltemarkierung zeigt dir an, wohin du feuern musst um dein Ziel zu treffen";"El indicador guía del punto de mira te muestra donde tienes que disparar para acertar a tu objetivo";"Упреждение показывает, куда надо целиться, чтобы попасть во врага";"Випередження показує, куди потрібно цілитись, щоб попасти у ворога";"Wskaźnik celowania pokazuje gdzie powinieneś strzelać, aby trafić przeciwnika";"O indicador de previsão da mira de mostra onde é necessário disparar para atingir o alvo";"Artı işaretine ait avans göstergesi hedefi vurmak için nereye ateş etmeniz gerektiğini gösterir";"Ukazatel předsazení ti ukáže, kam musíš střílet, abys zasáhl cíl";"Ο δείκτης σημαδιού του σταυρονήματος δείχνει πού πρέπει να πυροβολήσετε για να πετύχετε τον στόχο σας";"Indikator utama garis bidik menunjukkan di mana kamu harus menembak untuk menghantam target";"ตัวนำของศูนย์เล็งช่วยแสดงตำแหน่งที่คุณต้องยิงเพื่อให้กระทบเป้าหมาย";"조준점 예측 표지는 당신이 표적을 맞히기 위해 어디를 쏴야 하는지 보여줍니다.";"提\t前\t量\t指\t示\t图\t标\t显\t示\t了\t命\t中\t目\t标\t需\t要\t补\t偿\t的\t修\t正\t值";"照準の\tリード\t表示は、\tターゲットに\t命中させるのに\t撃つべき\t場所を\t示しています";"十\t字\t準\t心\t的\t預\t判\t指\t示\t器\t會\t顯\t示\t可\t擊\t中\t目\t標\t的\t射\t擊\t區\t域";;
"controls/help/ID_LOCK_TARGET_0";"Lock on the enemy plane to see a leading marker for enemy aircraft";"Verrouiller sur l'avion ennemi pour voir un marqueur principal";"Aggancia un aereo nemico per vedere il marcatore bersaglio";"Schalte ein feindliches Flugzeug auf, um die entsprechende Vorhaltemarkierung sichtbar werden zu lassen";"Selecciona un avión enemigo para poder ver la marca guía del avión enemigo";"Выделите вражеский самолёт, чтобы увидеть упреждение";"Виділіть ворожий літак, щоб побачити маркер випередження";"Zaznacz wrogi samolot aby zobaczyć celownik wskazujący trajektorię lotu nieprzyjaciela";"Selecionar o avião inimigo para ver o marcador de previsão para o avião inimigo";"Hedef işaretleyicisini görebilmek için düşman uçaklarına kilitlenin";"Označte nepřátelské letadlo, aby se pro něj zobrazil ukazatel předsazení";"Κλειδώστε το εχθρικό αεροπλάνο για να δείτε έναν δείκτη σημαδιού για το εχθρικό αεροσκάφος";"Kunci pesawat musuh untuk melihat penanda arah pesawat musuh";"ล็อกเป้าเครื่องบินศัตรูเพื่อดูสัญลักษณ์ตัวนำของเครื่องบินข้าศึก";"적기를 선택하면 예측 표지를 볼 수 있습니다.";"锁\t定\t目\t标，\t观\t察\t提\t前\t量\t指\t示\t圈";"ターゲットに\tロックオンして、\t相手航空機の\tリードアングルを\t確認します。";"鎖\t定\t敵\t機\t查\t看\t敵\t機\t的\t提\t前\t量\t指\t示\t圈";;
"controls/help/tank_stowage_area";"Stowage area";"Zone d'arrimage";"Catasta di munizioni";"Stauraum";"Zona de almacenamiento";"Боеукладка";"Боєукладка";"Przedział załadunkowy";"Área de acondicionamento/estiva";"İstif alanı";"Úložný prostor";"Χώρος αποθήκευσης";"Area penyimpanan";"พื้นที่จัดเก็บ";"탄약고";"弹\t药\t架";"弾薬庫";"彈\t藥\t架";;
"controls/help/tank_diesel_engine";"Engine";"Moteur";"Motore";"Motor";"Motor";"Двигатель";"Двигун";"Silnik";"Motor";"Motor";"Motor";"Κινητήρας";"Mesin";"เครื่องยนต์";"엔진";"发\t动\t机";"エンジン";"引\t擎";;
