"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"t2_arcade_destroy_all_airplanes";"Destroy all enemy aircraft";"Détruisez tous les avions ennemis";"Distruggi tutti gli aerei nemici";"Zerstöre alle feindlichen Flugzeuge";"Destruye todos los aviones enemigos";"Уничтожьте все самолёты противника";"Знищте всі ворожі літаки";"Zniszcz wszystkie wrogie samoloty";"Abater todas as aeronaves inimigas";"Tüm düşman uçaklarını düşürün";"Znič všechna nepřátelská letadla";"Καταστρέψτε όλα τα εχθρικά αεροσκάφη";"Hancurkan semua pesawat musuh";"ทำลายอากาศยานศัตรูทั้งหมด";"모든 적기를 격추하라";"摧\t毁\t所\t有\t敌\t机";"敵の\t全航空機を\t撃墜せよ";"摧\t毀\t所\t有\t敵\t方\t戰\t機";;
"t1_arcade_destroy_all_land_units";"Destroy all ground targets";"Détruisez toutes les cibles au sol";"Distruggi tutti i mezzi terrestri";"Zerstöre alle Bodenziele";"Destruye todos los objetivos terrestres";"Уничтожьте все наземные цели";"Знищте всі наземні цілі";"Zniszcz wszystkie cele naziemne";"Abater todos os alvos terrestres";"Tüm kara hedeflerini yok edin";"Znič všechny pozemní cíle";"Καταστρέψτε όλους τους επίγειους στόχους";"Hancurkan semua target darat";"ทำลายเป้าหมายภาคพื้นดินทั้งหมด";"모든 지상 목표물을 파괴하라";"摧\t毁\t所\t有\t地\t面\t单\t位";"全地上目標を\t破壊せよ";"摧\t毀\t所\t有\t地\t面\t目\t標";;
"t2_arcade_destroy_all_land_units";"Destroy all ground targets";"Détruisez toutes les cibles au sol";"Distruggi tutti i mezzi terrestri";"Zerstöre alle Bodenziele";"Destruye todos los objetivos terrestres";"Уничтожьте все наземные цели";"Знищте всі наземні цілі";"Zniszcz wszystkie cele naziemne";"Abater todos os alvos terrestres";"Tüm kara hedeflerini yok edin";"Znič všechny pozemní cíle";"Καταστρέψτε όλους τους επίγειους στόχους";"Hancurkan semua target darat";"ทำลายเป้าหมายภาคพื้นดินทั้งหมด";"모든 지상 목표물을 파괴하라";"摧\t毁\t所\t有\t地\t面\t单\t位";"全地上目標を\t破壊せよ";"摧\t毀\t所\t有\t地\t面\t目\t標";;
"t1_destroy_all_bomb_areas";"Destroy all bomb targets";"Détruisez toutes les bases ennemies";"Distruggi tutte le basi nemiche";"Zerstöre alle Bombenziele";"Destruye todos los objetivos de bombas";"Уничтожьте все цели для бомбардировки";"Знищте всі бомбардувальні цілі";"Zniszcz wszystkie cele nalotu bombowego";"Destruir todos os alvos de bombardeamento";"Bombardıman hedeflerinin tümünü imha edin";"Znič všechny nepřátelské základny";"Καταστρέψτε όλους τους στόχους βομβαρδισμών";"Hancurkan semua target bom";"ทำลายเป้าหมายทิ้งระเบิดทั้งหมด";"모든 폭격 목표물을 파괴하라";"摧\t毁\t所\t有\t轰\t炸\t目\t标";"全爆撃目標を\t破壊せよ";"摧\t毀\t所\t有\t轟\t炸\t目\t標";;
"t2_destroy_all_bomb_areas";"Destroy all bomb targets";"Détruisez toutes les bases ennemies";"Distruggi tutte le basi nemiche";"Zerstöre alle Bombenziele";"Destruye todos los objetivos de bombas";"Уничтожьте все цели для бомбардировки";"Знищте всі бомбардувальні цілі";"Zniszcz wszystkie cele nalotu bombowego";"Destruir todos os alvos de bombardeamento";"Bombardıman hedeflerinin tümünü imha edin";"Znič všechny nepřátelské základny";"Καταστρέψτε όλους τους στόχους βομβαρδισμών";"Hancurkan semua target bom";"ทำลายเป้าหมายทิ้งระเบิดทั้งหมด";"모든 폭격 목표물을 파괴하라";"摧\t毁\t所\t有\t轰\t炸\t目\t标";"全爆撃目標を\t破壊せよ";"摧\t毀\t所\t有\t轟\t炸\t目\t標";;
"avg_Dom_objective";"Capture and maintain superiority over the points ╸,╹,╺";"Capturez et maintenez la supériorité sur les points ╸,╹,╺";"Cattura e mantieni la superiorità sui punti ╸,╹,╺";"Erobere und Halte die Vorherrschaft über die Zielgebiete ╸,╹,╺";"Captura y mantén la superioridad sobre los puntos ╸,╹,╺";"Захватите и удержите превосходство по точкам ╸,╹,╺";"Захопіть та утримуйте перевагу над точками ╸,╹,╺";"Zajmij punkty ╸,╹,╺ i utrzymaj nad nimi przewagę";"Capturar e manter a superioridade sobre os pontos ╸,╹,╺";"Noktaları ele geçir ve üstünlüğü sağla ╸,╹,╺";"Obsaď a udrž oblasti ╸,╹,╺";"Καταλάβετε και διατηρήστε την υπεροχή σας στα σημεία ╸,╹,╺";"Rebut dan pertahankan dominasi atas titik ╸, ╹, ╺";"ยึดและรักษาการครอบครองเหนือตำแหน่ง ╸,╹,╺";"╸,╹,╺ 지점을 점령하고 우세를 유지하라";"占\t领\t并\t守\t住\t战\t区 ╸,╹,╺";"ゾーン ╸,╹,╺ を\t占領して\t優勢を\t維持せよ";"佔\t領\t並\t守\t住\t戰\t區 ╸,╹,╺";;
"avg_Conq_objective";"Capture and keep hold of the point ╸";"Capturez et tenez le point ╸";"Cattura e mantieni il punto ╸";"Erobere und Halte das Zielgebiet ╸";"Capta y mantén el punto ╸";"Захватить и удержать под контролем точку ╸";"Захопіть та утримайте точку ╸";"Przejmij i utrzymaj punkt ╸";"Capturar e manter o controlo do ponto ╸";"Noktayı ele geçir ve elde tut ╸";"Obsaď a udrž oblast ╸";"Καταλάβετε και κρατήστε το σημείο ╸";"Rebut dan pertahankan titik ╸";"ยึดและรักษาตำแหน่ง ╸";"╸ 지점을 점령하고 사수하라";"占\t领\t并\t守\t住\t战\t区 ╸";"ゾーン ╸ を\t占領して\t維持せよ";"佔\t領\t並\t守\t住\t戰\t區 ╸";;
"avg_Bttl_objective_01";"Capture the enemy point <color=@teamRedColor>╶</color>";"Capturez le point ennemi <color=@teamRedColor> ╶</color>";"Cattura il punto nemico <color=@teamRedColor>╶</color>";"Erobere das feindliche Zielgebiet <color=@teamRedColor>╶</color>";"Captura el punto enemigo <color=@teamRedColor>╶</color>";"Захватите вражескую точку <color=@teamRedColor>╶</color>";"Захопіть ворожу точку <color=@teamRedColor>╶</color>";"Zajmij wrogi punkt <color=@teamRedColor>╶</color>";"Capturar o ponto inimigo <color=@teamRedColor>╶</color>";"Düşman noktasını ele geçir <color=@teamRedColor>╶</color>";"Obsaď nepřátelskou oblast <color=@teamRedColor>╶</color>";"Καταλάβετε το εχθρικό σημείο <color=@teamRedColor>╶</color>";"Rebut titik musuh <color=@teamRedColor>╶</color>";"ยึดตำแหน่งของศัตรู <color=@teamRedColor>╶</color>";"적의 지점(<color=@teamRedColor>╶</color>) 을(를) 점령하라";"攻\t占\t敌\t方\t战\t区 <color=@teamRedColor>\t╶\t</color>";"敵の\tゾーン <color=@teamRedColor>╶</color> を\t占領せよ";"攻\t占\t敵\t方\t戰\t區 <color=@teamRedColor>\t╶\t</color>";;
"avg_Bttl_objective_02";"Prevent the capture of the allied point <color=@teamBlueColor>╶</color>";"Évitez la capture des points alliés <color=@teamBlueColor> ╶</color>";"Impedisci la cattura del punto alleato <color=@teamBlueColor>╶</color>";"Verhindere die Eroberung des verbündeten Gebiets <color=@teamBlueColor>╶</color>";"Evitar la captura del punto aliado <color=@teamBlueColor>╶</color>";"Не допустите захвата союзной точки <color=@teamBlueColor>╶</color>";"Не допустіть захвату союзної точки <color=@teamBlueColor>╶</color>";"Nie pozwól wrogowi zająć sojuszniczego punktu
<color=@teamBlueColor>╶</color>";"Impedir a captura do ponto aliado <color=@teamBlueColor>╶</color>";"Müttefik noktasının ele geçirilmesini önle <color=@teamBlueColor>╶</color>";"Zabraň obsazení spojenecké oblasti <color=@teamBlueColor>╶</color>";"Αποτρέψτε την κατάληψη του συμμαχικού σημείου <color=@teamBlueColor>╶</color>";"Cegah perebutan titik sekutu <color=@teamBlueColor>╶</color>";"ป้องกันไม่ให้ตำแหน่งของฝ่ายเดียวกันถูกยึด <color=@teamBlueColor>╶</color>";"아군 지점(<color=@teamBlueColor>╶</color>)이(가) 점령되지 않게 하라";"防\t守\t己\t方\t战\t区 <color=@teamBlueColor>\t╶\t</color>";"味方の\tゾーン <color=@teamBlueColor>╶</color> を\t防衛せよ";"防\t守\t己\t方\t戰\t區 <color=@teamBlueColor>\t╶\t</color>";;
"avn_ntdm_objective_01";"Destroy all ships of the enemy fleet";"Détruire tous les navires de la flotte ennemie";"Distruggi tutte le navi della flotta nemica";"Zerstöre alle Schiffe der gegnerischen Flotte";"Destruye todos los barcos de la flota enemiga";"Уничтожьте все корабли вражеского флота";"Знищте всі кораблі ворожого флоту";"Zniszcz wrogą flotę";"Afundar todos os navios da frota inimiga";"Düşman donanmasındaki tüm gemileri batırın";"Znič všechna plavidla flotily nepřítele";"Καταστρέψτε όλα τα πλοία του εχθρικού στόλου";"Hancurkan semua kapal armada musuh";"ทำลายเรือทั้งหมดในกองเรือศัตรู";"지역의 적 함대를 격파하라";"击\t沉\t所\t有\t敌\t方\t舰\t艇";"敵艦隊の\t艦船をすべて\t撃滅せよ";"摧\t毀\t敵\t方\t艦\t隊\t的\t所\t有\t船\t艦";;
"t1_ny_gift_ctf_objective";"Bring presents to your New Year tree.";"Apportez des cadeaux à votre arbre du Nouvel An.";"Porta i regali al tuo albero di Capodanno.";"Bring die Geschenke zu deinem Neujahrsbaum.";"Trae regalos a tu árbol de Año Nuevo.";"Принесите подарки к своей ёлке.";"Принесіть подарунки до своєї новорічної ялинки.";"Zanieś prezenty pod naszą Choinkę.";"Levar presentes para a árvore de Ano Novo.";"Yılbaşı ağacınıza hediyeleri getirin.";"Přines dárky pod svůj vánoční strom.";"Φέρτε δώρα στο πρωτοχρονιάτικο δέντρο σας.";"Bawa hadiah ke pohon Tahun Barumu.";"เอาของขวัญไปที่ต้นปีใหม่ของคุณ";"자신의 신년 트리에 선물을 가져오십시오.";"将\t礼\t物\t带\t回\t我\t方\t新\t年\t树\t下。";"プレゼントを\t自軍の\t新年の\tツリーへ\t運べ。";"將\t禮\t物\t帶\t回\t我\t方\t新\t年\t樹。";;
"t2_ny_gift_ctf_objective";"Bring presents to your New Year tree.";"Apportez des cadeaux à votre arbre du Nouvel An.";"Porta i regali al tuo albero di Capodanno.";"Bring die Geschenke zu deinem Neujahrsbaum.";"Trae regalos a tu árbol de Año Nuevo.";"Принесите подарки к своей ёлке.";"Принесіть подарунки до своєї новорічної ялинки.";"Zanieś prezenty pod naszą Choinkę.";"Levar presentes para a árvore de Ano Novo.";"Yılbaşı ağacınıza hediyeleri getirin.";"Přines dárky pod svůj vánoční strom.";"Φέρτε δώρα στο πρωτοχρονιάτικο δέντρο σας.";"Bawa hadiah ke pohon Tahun Barumu.";"เอาของขวัญไปที่ต้นปีใหม่ของคุณ";"자신의 신년 트리에 선물을 가져오십시오.";"将\t礼\t物\t带\t回\t我\t方\t新\t年\t树\t下。";"プレゼントを\t自軍の\t新年の\tツリーへ\t運べ。";"將\t禮\t物\t帶\t回\t我\t方\t新\t年\t樹。";;
"br_last_man_standing";"Be the last player remaining in the battle";"Vous devez être le dernier joueur en bataille";"Sii l'ultimo giocatore a rimanere in battaglia";"Sei der letzte überlebende Spieler der Schlacht";"Sé el último jugador que quede en batalla";"Останьтесь последним живым игроком в бою";"Останній гравець в бою";"Pozostań ostatnim graczem pozostałym w bitwie";"Ser o último jogador restante na batalha";"Savaşta kalan son oyuncu olun";"Buď poslední žijící hráč v bitvě";"Be the last player remaining in the battle";"Pemain terakhir yang tersisa dalam pertempuran";"Be the last player remaining in the battle";"전투에서 마지막까지 살아남아라";"奋\t战\t至\t最\t后\t一\t刻，\t你\t就\t是\t最\t终\t赢\t家";"ただ\t一人の\t生き\t残りとなれ";"奮\t戰\t至\t最\t後\t一\t刻，\t你\t就\t是\t最\t終\t贏\t家";;
