"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"lb/log_time";"The time after the battle";"Temps après la bataille";"Tempo dopo la battaglia";"Die Zeit nach der Schlacht";"El tiempo después de la batalla";"Время после боя";"Час після битви";"Czas po bitwie";"O tempo após a batalha";"Savaştan sonraki süre";"Čas po bitvě";"Ο χρόνος μετά τη μάχη";"Waktu setelah pertempuran";"เวลาเมื่อจบการต่อสู้";"전투 후 흐른 시간";"距\t离\t战\t斗\t发\t生\t时\t间";"バトル\t後の\t時間";"距\t離\t戰\t鬥\t發\t生\t時\t間";;
"lb/hint/ships/score";"Each victory brings 10 rating points. Every 20,000 damage score from battles results in 1 additional rating point.";"Chaque victoire rapporte 10 points de classement. Tous les 20 000 points de dégâts en bataille donnent droit à 1 point de classement supplémentaire.";"Ciascuna vittoria assegna 10 punti classifica. Ogni 20.000 punti danno nelle battaglie conferisce 1 punto aggiuntivo.";"Jeder Sieg bringt 10 Wertungspunkte. Pro 20.000 Schadenspunkte aus Kämpfen gibt es 1 zusätzlichen Wertungspunkt.";"Cada victoria aporta 10 puntos de clasificación. Cada 20,000 puntos de daño de las batallas supone 1 punto de clasificación adicional.";"Каждая победа приносит 10 очков рейтинга. Каждые 20000 очков за повреждения из боя приносят дополнительно 1 очко рейтинга.";"Кожна перемога дає 10 рейтингових очок. Кожних 20 000 бойових очок шкоди дають 1 додаткове рейтингове очко.";"Każde zwycięstwo daje 10 punktów rankingowych. Każde 20 000 uszkodzeń zadanych w bitwach daje 1 dodatkowy punkt rankingowy.";"Cada vitória dá 10 pontos de classificação. Cada 20 000 pontos de dano em batalha dão 1 ponto de classificação adicional.";"Her bir zafer 10 puan getirir. Savaşlarda elde edilen her 20,000 hasar skoru ekstra 1 puan getirir.";"Každé vítězství přináší 10 bodů hodnocení. Každých 20 000 bodů poškození přináší 1 bod hodnocení navíc.";"Κάθε νίκη δίνει 10 πόντους αξιολόγησης. Κάθε φορά που συγκεντρώνετε 20.000 πόντους ζημιάς από μάχες θα παίρνετε 1 επιπλέον πόντο αξιολόγησης.";"Setiap kemenangan akan menghasilkan 10 poin rating. Setiap 20.000 skor damage dari pertempuran akan memberikan 1 poin rating tambahan.";"ทุกครั้งที่ชนะจะได้ 10 คะแนนประเมิน ทุก 20,000 ความเสียหายที่ทำได้ระหว่างการต่อสู้จะเพิ่มให้อีก 1 คะแนนประเมิน";"승리할 때 마다 레이팅 포인트가 10점 주어지며 20,000의 피해량을 기록할 때 마다 1의 레이팅 점수가 추가로 주어집니다.";"每\t赢\t得 1 场\t战\t斗\t可\t获\t得 10 点\t评\t分\t点\t数，\t在\t战\t斗\t中\t每\t造\t成 20000 点\t伤\t害\t都\t将\t额\t外\t获\t得 1 点\t评\t分\t点\t数。";"勝利するごとに\tレーティングポイントが\t10点加算されます。\tバトル\t結果の\tダメージポイント\t20,000点ごとに、\tレーティングポイントが\t1点追加されます。";"每\t贏\t得 1 場\t戰\t鬥\t可\t獲\t得 10 點\t評\t分\t點\t數，\t在\t戰\t鬥\t中\t每\t造\t成 20000 點\t傷\t害\t都\t將\t額\t外\t獲\t得 1 點\t評\t分\t點\t數。";;
"lb/hint/tanks/score";"Each victory brings 10 rating points. Every 100 total score from battles results in 1 additional rating point.";"Chaque victoire rapporte 10 points de classement. Chaque tranche de 100 points obtenus lors des batailles rapporte 1 point de classement supplémentaire.";"Ciascuna vittoria assegna 10 punti classifica. Ogni 100 punti totali nelle battaglie conferiscono 1 punto aggiuntivo.";"Jeder Sieg bringt 10 Wertungspunkte. Jede 100 Gesamtpunktzahl aus Kämpfen ergibt 1 zusätzlichen Wertungspunkt.";"Cada victoria aporta 10 puntos de clasificación. Cada 100 puntos totales de las batallas se obtiene 1 punto de clasificación adicional.";"Каждая победа приносит 10 очков рейтинга. Каждые 100 очков общего счета из боя приносят дополнительно 1 очко рейтинга.";"Кожна перемога дає 10 рейтингових очок. Кожні 100 бойових очок дають 1 додаткове рейтингове очко.";"Każde zwycięstwo daje 10 punktów rankingowych. Każde 100 punktów w bitwie daje 1 dodatkowy punkt rankingowy.";"Cada vitória dá 10 pontos de classificação. Cada 100 pontos de dano em batalhas dão 1 ponto de classificação adicional.";"Her bir zafer 10 puan getirir. Savaşlarda elde edilen her 100 toplam skor, ekstra 1 puan getirir.";"Každé vítězství přináší 10 bodů hodnocení. Každých 100 bodů dosaženého skóre bodů poškození přináší 1 bod hodnocení navíc.";"Κάθε νίκη δίνει 10 πόντους αξιολόγησης. Κάθε φορά που συγκεντρώνετε συνολικά 100 πόντους από μάχες θα παίρνετε 1 επιπλέον πόντο αξιολόγησης.";"Setiap kemenangan akan menghasilkan 10 poin rating. Setiap 100 total skor dari pertempuran akan memberikan 1 poin rating tambahan.";"ทุกครั้งที่ชนะจะได้ 10 คะแนนประเมิน ทุก 100 คะแนนรวมที่ได้รับระหว่างการต่อสู้จะเพิ่มให้อีก 1 คะแนนประเมิน";"승리할 때 마다 레이팅 포인트가 10점 주어지며 100점을 기록할 때 마다 1의 레이팅 점수가 추가로 주어집니다.";"每\t赢\t得 1 场\t战\t斗\t可\t获\t得 10 点\t评\t分\t点\t数，\t在\t战\t斗\t中\t每\t获\t得 100 分\t都\t将\t额\t外\t获\t得 1 点\t评\t分\t点\t数。";"勝利するごとに\tレーティングポイントが\t10点加算されます。\tバトル\t結果の\t合計\tスコア\t100点ごとに、\tレーティングポイントが\t1点追加されます。";"每\t贏\t得 1 場\t戰\t鬥\t可\t獲\t得 10 點\t評\t分\t點\t數，\t在\t戰\t鬥\t中\t每\t獲\t得 100 分\t都\t將\t額\t外\t獲\t得 1 點\t評\t分\t點\t數。";;
"lb/hint/overall/score";"Each victory brings 10 rating points. Every 1200 Silver Lions earned brings 1 additional rating point.";"Chaque victoire rapporte 10 points de classement. Tous les 1 200 Silver Lions gagnés rapportent 1 point de classement supplémentaire.";"Ciascuna vittoria conferisce 10 punti classifica. Ogni 1200 Leoni Argentati si ottiene 1 punto classifica aggiuntivo.";"Jeder Sieg bringt 10 Wertungspunkte. Jede 1200 verdienten Silver Lions bringen 1 zusätzlichen Wertungspunkt.";"Cada victoria aporta 10 puntos de clasificación. Por cada 1200 Leones de Plata se obtiene 1 punto de clasificación adicional.";"Каждая победа приносит 10 очков рейтинга. Каждые 1200 заработанных серебряных львов приносят дополнительно 1 очко рейтинга.";"Кожна перемога дає 10 рейтингових очок. Кожних 1200 Срібних левів дають 1 додаткове рейтингове очко.";"Każde zwycięstwo daje 10 punktów rankingowych. Każde 1200 Srebrnych Lwów daje 1 dodatkowy punkt rankingowy.";"Cada vitória dá 10 pontos de classificação. Cada 1200 Silver Lions dão 1 ponto de classificação adicional.";"Her bir zafer 10 puan getirir. Savaşlarda elde edilen her 1200 Gümüş Aslan, ekstra 1 puan getirir.";"Každé vítězství přináší 10 bodů hodnocení. Každých 1200 Stříbrných lvů přináší 1 bod hodnocení navíc.";"Κάθε νίκη δίνει 10 πόντους αξιολόγησης. Κάθε φορά που κερδίζετε 1.200 Ασημένια Λιοντάρια θα παίρνετε 1 επιπλέον πόντο αξιολόγησης.";"Setiap kemenangan akan menghasilkan 10 poin rating. Setiap 1.200 Singa Perak akan memberikan 1 poin rating tambahan.";"ทุกครั้งที่ชนะจะได้ 10 คะแนนประเมิน ทุก 1200 สิงโตเงินที่ได้รับจะเพิ่มให้อีก 1 คะแนนประเมิน";"승리할 때 마다 레이팅 포인트가 10점 주어지며, 1200 실버 라이온을 얻을 때 마다 1의 레이팅 점수가 추가로 주어집니다.";"每\t赢\t得 1 场\t战\t斗\t可\t获\t得 10 点\t评\t分\t点\t数，\t在\t战\t斗\t中\t每\t获\t得 1200 银\t狮\t都\t将\t额\t外\t获\t得 1 点\t评\t分\t点\t数。";"勝利するごとに\tレーティングポイントが\t10点加算されます。\t1200\tシルバーライオンを\t獲得するごとに、\tレーティングポイントが\t1点追加されます。";"每\t贏\t得 1 場\t戰\t鬥\t可\t獲\t得 10 點\t評\t分\t點\t數，\t在\t戰\t鬥\t中\t每\t獲\t得 1200 銀\t獅\t都\t將\t額\t外\t獲\t得 1 點\t評\t分\t點\t數。";;
"lb/seasonRewards";"Season Awards";"Récompense de la saison";"Riconoscimenti Stagionali";"Saison-Auszeichnungen";"Premios de Temporada";"Награды сезона";"Сезонні нагороди";"Nagordy Sezonowe";"Prémios da Temporada";"Sezon Ödülleri";"Sezónní odměny";"Βραβεία Σεζόν";"Penghargaan Musim";"รางวัลซีซัน";"시즌 보상";"赛\t季\t奖\t励";"シーズンアワード";"賽\t季\t獎\t勵";;
"lb/seasonRewards/desc";"Leaderboard rewards will be received at the end of the leaderboard season automatically. Each subsequent reward level includes all previous levels, e.g. the top 30% of players will also receive awards for the top 50% and for participation.";"Les récompenses du classement seront automatiquement reçues à la fin de la saison du classement. Chaque niveau de récompense suivant inclut tous les niveaux précédents, par ex. les 30 % des meilleurs joueurs recevront également des récompenses pour les 50 % des meilleurs joueurs et pour leur participation.";"Le ricompense della classifica saranno ricevute al termine della stagione automaticamente. Ciascuna ricompensa di livello successivo include tutte quelle precedenti, esempio. i migliori 30% dei giocatori riceveranno anche i premi dei migliori 50% e per la partecipazione.";"Die Belohnungen für die Rangliste werden am Ende der Saison der Rangliste automatisch vergeben. Jede nachfolgende Belohnungsstufe umfasst alle vorherigen Stufen, d. h. die besten 30 % der Spieler erhalten auch Auszeichnungen für die besten 50 % und für die Teilnahme.";"Las recompensas de la clasificación se recibirán al final de la temporada de clasificación automáticamente. Cada nivel de recompensa posterior incluye todos los niveles anteriores, por ejemplo, el 30% de los mejores jugadores también recibirá recompensas por el 50% de los mejores y por participación.";"Награды таблицы рейтинга будут получены в конце сезона рекордов автоматически. Каждый последующий уровень наград включает в себя все предыдущие уровни, например топ 30% игроков так же получают награды за топ 50% и за участие.";"Нагороди таблиці рекордів будуть автоматично надіслані наприкінці відповідного сезону таблиці рекордів. Кожен наступний рівень нагород включає всі попередні, наприклад, 30% найкращих гравців отримають також нагороди за потрапляння в 50% найкращих гравців і за участь.";"Nagrody będą przyznawane automatycznie na koniec sezonu rankingowego. Każdy kolejny poziom nagród obejmuje wszystkie poprzednie poziomy, np. 30% najlepszych graczy otrzyma również nagrody za 50% najlepszych i za udział.";"As recompensas das Classificações serão recebidas automaticamente no fim da temporada. Cada subsequente nível de recompensas inclui todos os níveis anteriores, ou seja, os melhores 30% de jogadores também recebem prémios pelos melhores 50% e pela participação.";"Liderlik tablosu ödülleri, sezon sonunda otomatik olarak verilecektir. Her yeni bir ödül aşaması, önceki seviyenin bütün ödüllerini içerir. Örneğin ilk %30'da yer alan bir oyuncu, aynı ilk %50 ödüllerini de alacaktır.";"Odměny za umístění v žebříčku obdržíte na konci sezóny automaticky. Každá následující úroveň odměn zahrnuje všechny předchozí úrovně, např. 30 % nejlepších hráčů obdrží také odměny za 50 % nejlepších a za účast.";"Οι ανταμοιβές του πίνακα κατάταξης θα λαμβάνονται αυτόματα στο τέλος της περιόδου κατάταξης. Κάθε επόμενο επίπεδο ανταμοιβής περιλαμβάνει όλα τα προηγούμενα επίπεδα, π.χ. το top 30% των παικτών θα λαμβάνει επίσης βραβεία για το top 50% και για τη συμμετοχή.";"Imbalan papan peringkat akan diberikan pada akhir musim papan peringkat secara otomatis. Setiap level imbalan berikutnya akan mencakup semua level sebelumnya, misalnya 30% pemain teratas juga akan menerima penghargaan yang diberikan untuk 50% pemain teratas dan untuk partisipasi.";"จะได้รับรางวัลกระดานผู้นำโดยอัตโนมัติเมื่อสิ้นสุดซีซันกระดานผู้นำ เลเวลรางวัลแต่ละระดับจะให้รางวัลของเลเวลที่ต่ำกว่าด้วย เช่น ผู้เล่น 30% บนก็จะได้รับรางวัลสำหรับ 50% บน และรางวัลสำหรับการเข้าร่วมด้วย";"순위표 보상은 각 순위표의 시즌이 종료된 뒤에 자동으로 주어집니다. 각 보상 레벨에는 이전 보상이 모두 포함된 채로 수여됩니다. 예를 들어, 상위 30%의 플레이어는 상위 50% 보상은 물론 참가 보상까지 받을 수 있습니다.";"排\t名\t奖\t励\t将\t在\t每\t期\t排\t行\t榜\t截\t止\t后\t自\t动\t发\t放。\t玩\t家\t解\t锁\t更\t高\t的\t奖\t励\t等\t级\t后\t可\t兼\t获\t先\t前\t等\t级\t的\t奖\t励：\t比\t如\t排\t名\t前 30% 的\t玩\t家\t在\t获\t得\t对\t应\t等\t级\t排\t名\t奖\t励\t的\t同\t时，\t还\t可\t获\t得\t排\t名\t前 50% 的\t奖\t励\t以\t及\t参\t与\t奖。";"リーダーボード\t報酬は、\tリーダーボードシーズン\t終了時に\t自動的に\t付与されます。\t各報酬\tレベルには、\tそれより\t下位の\tレベル\t報酬がすべて\t含まれています。\t例えば、\t上位\t30%に\t入った\tプレイヤーは、\t同時に\t上位\t50%プレイヤー\t向けの\t報酬および\t参加報酬も\t受け\t取ることができます。";"排\t名\t獎\t勵\t將\t在\t每\t期\t排\t行\t榜\t截\t止\t後\t自\t動\t發\t放。 玩\t家\t解\t鎖\t更\t高\t的\t獎\t勵\t等\t級\t後\t可\t兼\t獲\t先\t前\t等\t級\t的\t獎\t勵：\t例\t如\t排\t名\t前 30% 的\t玩\t家\t在\t獲\t得\t對\t應\t等\t級\t排\t名\t獎\t勵\t的\t同\t時，\t還\t可\t獲\t得\t排\t名\t前 50% 的\t獎\t勵\t以\t及\t參\t與\t獎。";;
"lb/condition/topN";"Top {value}";"Top {value}";"I Migliori {value}";"Top {value}";"Top {value}";"Лучшие {value}";"Топ-{value}";"Pierwsza {value}";"Top {value}";"En iyi {value}";"Nejvýše {value}";"Top {value}";"{value} teratas";"{value} อันดับบน";"상위 {value}";"前 {value}";"トップ{value}";"前 {value}";;
"lb/condition/any";"For participation";"Pour avoir participé";"Per la partecipazione";"Für die Teilnahme";"Por participación";"За участие";"За участь";"Za udział";"Pela participação";"Katılım için";"Za účast";"Για συμμετοχή";"Untuk partisipasi";"สำหรับการเข้าร่วม";"참가 보상";"参\t加\t活\t动";"参加する";"參\t加\t活\t動";;
"lb/rewardHeader";"Your results in the past season of Leaderboard:";"Vos résultats lors de la dernière saison de classement:";"I tuoi risultati nella classifica della stagione precedente:";"Deine Ergebnisse in der vergangenen Saison der Rangliste:";"Tus resultados en la última temporada de Clasificación:";"Ваши результаты в прошедшем сезоне рейтинговых боев:";"Ваші результати в Таблиці рекордів попереднього сезону:";"Twoje wyniki w poprzednim sezonie:";"Resultados na temporada anterior nas Classificações:";"Önceki sezonun liderlik tablosundaki yeriniz:";"Tvoje výsledky v uplynulé sezóně žebříčku:";"Τα αποτελέσματά σας στην προηγούμενη σεζόν του Πίνακα κατάταξης:";"Hasilmu di Papan Peringkat musim yang lalu:";"ผลลัพธ์ของคุณในกระดานผู้นำซีซันที่ผ่านมา:";"이전 시즌의 결과:";"上\t一\t赛\t季\t排\t行\t榜\t玩\t家\t名\t次：";"リーダーボードの\t過去の\tシーズンにおける\t成績：";"上\t一\t賽\t季\t排\t行\t榜\t玩\t家\t名\t次：";;
"lb/rewardHeader/place";"You are ranked {place} place.";"Vous êtes classé à la {place}ème place.";"Ti sei posizionato al {place} posto.";"Du bist auf dem {place} Rang.";"Estás clasificado {place} lugar.";"Вы заняли {place} место.";"Ви посіли {place} місце.";"Zajmujesz {place} miejsce w rankingu.";"Ficaste em {place}.º lugar.";"{place}. sırayı aldınız.";"Jste umístěni na {place} místě.";"Η κατάταξή σας είναι στη(ν) {place} θέση.";"Kamu mendapat peringkat {place}.";"คุณเป็นอันดับที่ {place}";"{place}위를 차지하셨습니다.";"您\t位\t于\t第 {place} 名。";"{place}位に\tランクインしました。";"您\t位\t於\t第 {place} 名。";;
"lb/rewardHeader/tillPercent";"You're in the top {tillPercent} of players.";"Vous êtes dans le top {tillPercent} des joueurs.";"Sei tra i migliori {tillPercent} dei giocatori.";"Du bist unter den besten {tillPercent} der Spieler.";"Estás en el {tillPercent} de los mejores jugadores.";"Вы вошли в {tillPercent} лучших игроков.";"Ви потрапили в число {tillPercent} найкращих гравців.";"Jesteś w top {tillPercent} graczy.";"Ficaste no top {tillPercent} de jogadores.";"Oyuncular arasında ilk {tillPercent} içindesiniz.";"Patříte k nejlepším {tillPercent} hráčů.";"Είσαι στο top {tillPercent} των παικτών.";"Kamu termasuk dalam {tillPercent} pemain teratas.";"คุณอยู่ในกลุ่มผู้เล่น {tillPercent} อันดับบน";"당신은 상위 {tillPercent} 입니다.";"您\t在\t排\t行\t榜\t中\t的\t百\t分\t位\t处\t于\t前 {tillPercent}";"あなたは\tトップ{tillPercent}プレイヤーです。";"您\t在\t排\t行\t榜\t中\t的\t百\t分\t位\t處\t於\t前 {tillPercent}";;
"lb/rewardHeader/placeAndPercent";"You are ranked {place} place and in the top {tillPercent} of players.";"Vous êtes classé à la {place}ème place et dans le top {tillPercent} des joueurs.";"Ti sei posizionato al {place} posto e tra i migliori {tillPercent} dei giocatori.";"Du bist auf dem {place} Rang und unter den besten {tillPercent} der Spieler.";"Estás clasificado en {place} lugar y en el {tillPercent} de los mejores jugadores.";"Вы заняли {place} место и вошли в {tillPercent} лучших игроков.";"Ви посіли {place} місце й потрапили в число {tillPercent} найкращих гравців.";"Zajmujesz {place} miejsce w rankingu i jesteś w czołówce {tillPercent} graczy.";"Ficaste em {place}.º lugar e no top {tillPercent} de jogadores.";"{place}. sırada yer aldınız ve ilk {tillPercent} içindesiniz.";"Jste umístěni na {place} místě a v nejlepších {tillPercent} hráčů.";"Η κατάταξή σας είναι στη(ν) {place} θέση και στο top {tillPercent} των παικτών.";"Kamu mendapat peringkat {place} dan termasuk dalam {tillPercent} pemain teratas.";"คุณเป็นอันดับที่ {place} และอยู่ในกลุ่มผู้เล่น {tillPercent} อันดับบน";"당신은 상위 {tillPercent} 중 {place}위를 차지하셨습니다.";"您\t排\t名\t第 {place} ，\t位\t于\t排\t行\t榜\t前 {tillPercent}";"{place}位に\tランクインし、\tトップ{tillPercent}プレイヤーになりました。";"您\t排\t名\t第 {place} ，\t位\t於\t排\t行\t榜\t前 {tillPercent}";;
"lb/seasonStartTime";"Next season in {time}";"Prochaine saison dans {time}";"Prossima stagione tra {time}";"Nächste Saison in {time}";"Siguiente temporada en {time}";"Следующий сезон через {time}";"Наступний сезон почнеться через {time}";"Następny sezon za {time}";"Próxima temporada dentro de {time}";"Bir sonraki sezon {time}";"Příští sezóna v {time}";"Η νέα σεζόν αρχίζει σε {time}";"Musim berikutnya dalam {time}";"ซีซันถัดไปใน {time}";"{time} 후 다음 시즌 진행";"距\t离\t下\t一\t赛\t季\t还\t有 {time}";"次の\tシーズンまで{time}";"距\t離\t下\t一\t賽\t季\t還\t有 {time}";;
"lb/seasonEndTime";"{time} to finish";"{time} pour terminer";"{time} al termine";"{time} bis zum Abschluss";"{time} para acabar";"До завершения {time}";"{time} до завершення";"{time} do zakończenia";"{time} para acabar";"Bitmesine kalan süre: {time}";"{time} do konce";"{time} για να τελειώσει";"{time} untuk menyelesaikan";"{time} จนจบซีซัน";"남은 시간: {time}";"本\t赛\t季\t还\t有 {time}";"あと{time}で\t終了";"本\t賽\t季\t還\t有 {time}";;
"lb/seasonFinished";"Season's over";"La saison est terminée";"La stagione è terminata";"Die Saison ist vorbei";"La temporada ha terminado";"Сезон завершен";"Сезон завершився";"Koniec sezonu";"A temporada chegou ao fim";"Sezon bitti";"Sezóna skončila";"Η σεζόν τελείωσε";"Musim berakhir";"ซีซันสิ้นสุดแล้ว";"시즌이 종료되었습니다";"赛\t季\t已\t截\t止";"シーズンは\t終了しました";"賽\t季\t已\t截\t止";;
"lb/needMoreBattlesForLeaderboad";"You need {countText} more {count=battle/battles} to get on the leaderboard.";"Vous avez besoin de {countText} {count=bataille/batailles} supplémentaires pour figurer dans le classement.";"Devi avere altre {countText} {count=battaglia/battaglie} per entrare in classifica.";"Du brauchst {countText} mehr {count=battle/battles}, um in die Bestenliste zu kommen.";"Necesitas {countText} más {count=batalla/batallas} para entrar en la clasificación.";"Для попадания в таблицу рекордов вам нужно провести еще {countText} {count=бой/боя/боёв}.";"Вам потрібно провести ще {countText} {count=битву/битви/битв}, щоби потрапити в таблицю рекордів.";"Potrzebujesz {countText} {count=bitwę/bitwy/bitew} więcej, aby znaleźć się w tabeli liderów.";"Precisa de mais {countText} {count=batalha/batalhas} para entrar nas classificações.";"Liderlik tablosunda yer almak için {countText} tane daha {count=savaşa/savaşa} ihtiyacınız var.";"Abyste se dostali do žebříčku, potřebujete {countText} více {count=bitvu/bitvy/bitev}.";"Χρειάζεστε {countText} ακόμη {count=μάχη/μάχες} για να μπείτε στον πίνακα κατάταξης.";"Kamu membutuhkan {countText} lebih banyak {count=pertempuran} untuk naik ke papan peringkat.";"คุณต้องการอีก {countText} {count=การต่อสู้}เพื่อเข้าร่วมกระดานผู้นำ";"순위표에 들기 위해서는 {countText} {count=회}의 전투를 더 치러야 합니다.";"需\t要\t再\t完\t成 {countText} {count=\t场}\t战\t斗\t才\t能\t参\t与\t排\t名。";"リーダーボードに\t乗るまで、\tあと{countText}{count=回}バトルを\t行う\t必要があります。";"需\t要\t再\t完\t成 {countText} {count=\t場}\t戰\t鬥\t才\t能\t參\t與\t排\t名。";;
"lb/bestBattles";"Best Battles";"Meilleures Batailles";"Battaglie Migliori";"Beste Gefechte";"Mejores Batallas";"Лучшие бои";"Найкращі битви";"Najlepsze Bitwy";"Melhores batalhas";"En İyi Çarpışmalar";"Nejlepší bitvy";"Καλύτερες μάχες";"Pertempuran Terbaik";"การต่อสู้ที่ดีที่สุด";"최고의 전투";"最\t佳\t战\t斗";"ベストバトル";"最\t佳\t戰\t鬥";;
