"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"i_ball/name";"Incendiary bullet";"Balle incendiaire";"Proiettile incendiario";"Brandgeschoss";"Bala incendiaria";"Зажигательная пуля";"Запальна куля";"Pocisk Zapalający";"Bala incendiária";"Yanıcı mermi";"Zápalný náboj";"Εμπρηστική σφαίρα";"Peluru Incendiary";"กระสุนเพลิง";"소이탄";"燃\t烧\t弹";"焼夷弾";"燃\t燒\t彈";;
"i_ball/name/short";"I";"I";"I";"I";"I";"З";"З";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";;
"ap_ball/name";"Armor-piercing bullet";"Balle anti-blindage";"Proiettile perforante";"Panzerbrechendes Geschoss";"Bala perforante de armadura";"Бронебойная пуля";"Бронебійна куля";"Pocisk przeciwpancerny";"Bala perfurante";"Zırh delici mermi";"Průbojný náboj";"Διατρητική σφαίρα";"Peluru Armor-Piercing";"กระสุนเจาะเกราะ";"철갑탄";"穿\t甲\t弹";"徹甲弾";"穿\t甲\t彈";;
"ap_ball/name/short";"AP";"AP";"AP";"AP";"AP";"Б";"Б";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";;
"ap_t_ball/name";"Armor-piercing tracer bullet";"Balle traçante anti-blindage";"Proiettile tracciante perforante";"Panzerbrechendes Geschoss mit Leuchtspur";"Bala trazadora perforante de armadura";"Бронебойная трассирующая пуля";"Бронебійна трасуюча куля";"Pocisk przeciwpancerno-smugowy";"Bala perfurante tracejante";"Zırh delici izli mermi";"průbojná trasovací";"Τροχιοδεικτική διατρητική σφαίρα";"Peluru Armor-Piercing Tracer";"กระสุนเจาะเกราะส่องวิถี";"철갑예광탄";"穿\t甲\t曳\t光\t弹";"徹甲曳光弾";"穿\t甲\t曳\t光\t彈";;
"ap_t_ball/name/short";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"БТ";"БТ";"AP-T";"AP-T";"AP-T";"APT";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"徹甲曳光弾";"AP-T";;
"ap_i_ball/name";"Armor-piercing incendiary bullet";"Balle incendiaire anti-blindage";"Proiettile incendiario perforante";"Panzerbrechendes Brandgeschoss";"Bala incendiaria perforante de armadura";"Бронебойно-зажигательная пуля";"Бронебійно-запальна куля";"Pocisk przeciwpancerno-zapalający";"Bala perfurante incendiária";"Zırh delici yanıcı mermi";"průbojná zápalná";"Εμπρηστική διατρητική σφαίρα";"Peluru Armor-Piercing Incendiary";"กระสุนเพลิงเจาะเกราะ";"철갑소이탄";"穿\t甲\t燃\t烧\t弹";"徹甲焼夷弾";"穿\t甲\t燃\t燒\t彈";;
"ap_i_ball/name/short";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"БЗ";"БЗ";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"API";"AP-I";"API";;
"ap_i_t_ball/name";"Armor-piercing incendiary tracer bullet";"Balle incendiaire traçante anti-blindage";"Proiettile perforante incendiario tracciante";"Panzerbrechendex Brandgeschoss mit Leuchtspur";"Bala trazadora incendiaria perforante de armadura";"Бронебойно-зажигательная трассирующая пуля";"Бронебійно-запальна трасуюча куля";"Pocisk przeciwpancerno-zapalająco-smugowy";"Bala incendiária perfurante tracejante";"Zırh delici yanıcı izli mermi";"průbojná zápalná trasovací";"Εμπρηστική τροχιοδεικτική διατρητική σφαίρα";"Peluru Armor-Piercing Incendiary Tracer";"กระสุนเพลิงเจาะเกราะส่องวิถี";"철갑소이예광탄";"穿\t甲\t燃\t烧\t曳\t光\t弹";"徹甲焼夷曳光弾";"穿\t甲\t燃\t燒\t曳\t光\t彈";;
"ap_i_t_ball/name/short";"API-T";"API-T";"API-T";"API-T";"API-T";"БЗТ";"БЗТ";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"apcr_i_ball_bs41/name";"Armor-piercing incendiary bullet (cermet core)";"Balle anti-blindage incendiaire (noyau cermet)";"Proiettile incendiario perforante (nucleo in cermet)";"Panzerbrechende Brandmunition mit Hartkern (Cermet)";"Bala incendiaria perforante de armadura (núcleo de cermet)";"Бронебойно-зажигательная пуля (металлокерамический сердечник)";"Бронебійно-запальна куля (металокерамічний сердечник)";"Pocisk przeciwpancerno-zapalający (rdzeń z cermetu)";"Armor-piercing incendiary bullet (cermet core)";"Zırh delici yanıcı mermi (sermet çekirdek)";"průbojná zápalná (s cermetovým jádrem)";"Εμπρηστική διατρητική σφαίρα (πυρήνας κεραμομετάλλου)";"Peluru Armor-Piercing Incendiary (cermet core)";"กระสุนเพลิงเจาะเกราะ (แกนเซอร์เม็ท)";"철갑소이탄 (서멧 탄심)";"穿\t甲\t燃\t烧\t弹 (金\t属\t陶\t瓷\t核\t心)";"徹甲焼夷弾(サーメットコア)";"穿\t甲\t燃\t燒\t彈 (金\t屬\t陶\t瓷\t核\t心)";;
"apcr_i_ball_bs41/name/short";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"БС-41";"БС-41";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"API(c)";"AP-I(c)";"API(c)";;
"apcr_i_ball/name";"Armor-piercing incendiary bullet (cermet core)";"Balle incendiaire anti-blindage (noyau cermet)";"Proiettile incendiario perforante (nucleo in cermet)";"Panzerbrechende Brandmunition mit Hartkern (Cermet)";"Bala incendiaria perforante de armadura (núcleo de cermet)";"Бронебойно-зажигательная пуля (металлокерамический сердечник)";"Бронебійно-запальна куля (металокерамічний сердечник)";"Pocisk przeciwpancerno-zapalający (rdzeń z cermetu)";"Bala incendiária perfurante (núcleo cermet)";"Zırh delici yanıcı mermi (sermet çekirdek)";"průbojná zápalná (s cermetovým jádrem)";"Εμπρηστική διατρητική σφαίρα (πυρήνας κεραμομετάλλου)";"Peluru Armor-Piercing Incendiary (cermet core)";"กระสุนเพลิงเจาะเกราะ (แกนเซอร์เม็ท)";"철갑소이탄 (서멧 탄심)";"穿\t甲\t燃\t烧\t弹 (金\t属\t陶\t瓷\t核\t心)";"徹甲焼夷弾(サーメットコア)";"穿\t甲\t燃\t燒\t彈\t（金\t屬\t陶\t瓷\t核\t心）";;
"apcr_i_ball/name/short";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"БЗ(МКС)";"БЗ(МКС)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"AP-I(c)";"API(c)";"AP-I(c)";"API(c)";;
"he_ball/name";"Adjustment incendiary bullet";"Balle incendiaire de repérage";"Proiettile incendiario di regolazione";"Explosivmunition mit Aufschlagzünder";"Bala incendiaria de ajuste";"Пристрелочно-зажигательная пуля";"Пристрілювально-запальна куля";"Pocisk zapalający z czepcem";"Bala incendiária de impacto";"Zaman ayarlı yanıcı mermi";"stavitelná zápalná";"Ρυθμιζόμενη εμπρηστική σφαίρα";"Peluru Adjustment Incendiary";"กระสุนเพลิงแบบปรับหัวกระสุน";"조정소이탄";"试\t射\t燃\t烧\t弹";"着発焼夷弾(調整済)";"試\t射\t燃\t燒\t彈";;
"he_ball/name/short";"AI";"AI";"AI";"AI";"AI";"ПЗ";"ПЗ";"AI";"AI";"AI";"AI";"AI";"AI";"AI";"AI";"AI";"AI";"AI";;
"he_i_ball/name";"Immediate-action incendiary bullet";"Balle incendiaire explosive";"Proiettile incendiario ad azione immediata";"Explosivmunition mit Brandsatz und Aufschlagzünder";"Bala incendiaria de acción inmediata";"Пуля мгновенного действия зажигательная";"Куля миттєвої дії запальна";"Pocisk natychmiastowo działający zapalający";"Bala incendiária de ação imediata";"Ani yangın çıkarıcı mermi";"okamžitá zápalná";"Εμπρηστική σφαίρα άμεσης δράσης";"Peluru Immediate-Action Incendiary";"กระสุนเพลิงแบบส่งผลทันที";"즉각발화소이탄";"指\t示\t瞬\t间\t燃\t烧\t弹";"即時着発焼夷弾";"指\t示\t瞬\t間\t燃\t燒\t彈";;
"he_i_ball/name/short";"IAI";"IAI";"IAI";"IAI";"IAI";"МДЗ";"МДЗ";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";;
"he_i_fuse_ball/name";"High-explosive incendiary bullet";"Balle explosive incendiaire";"Proiettile esplodente incendiario";"Hochexplosive Brandgranate";"Bala alto-explosivo incendiaria";"Пуля фугасно-зажигательная";"Куля фугасно-запальна";"High-explosive incendiary bullet";"High-explosive incendiary bullet";"High-explosive incendiary bullet";"výbušný zápalný náboj";"Εμπρηστική σφαίρα υψηλής εκρηκτικότητας";"Peluru High-Explosive Incendiary";"กระสุนเพลิงหัวระเบิดแรงสูง";"고폭소이탄";"高\t爆\t燃\t烧\t弹";"HEI\t弾";"高\t爆\t燃\t燒\t彈";;
"he_i_fuse_ball/name/short";"HE-I";"HE-I";"HE-I";"HE-I";"HE-I";"ФЗ";"ФЗ";"HE-I";"HE-I";"HE-I";"HE-I";"HE-I";"HE-I";"HE-I";"HE-I";"HEI";"HE-I";"HEI";;
"he_frag_t_ball/name";"High-explosive fragmentation tracer bullet";"Balle explosive traçante à fragmentation";"Proiettile esplodente a frammentazione tracciante";"Hochexplosive Splittergranate mit Leuchtspur";"Bala alto-explosivo de fragmentación trazadora";"Пуля осколочно-фугасная трассирующая";"Куля осколково-фугасна трасуюча";"Pocisk burząco-odłamkowo-smugowy";"High-explosive fragmentation tracer bullet";"High-explosive fragmentation tracer bullet";"tříštivý trasovací náboj";"Τροχιοδεικτική σφαίρα υψηλής εκρηκτικότητας θραυσμάτων";"Peluru High-Explosive Fragmentation Tracer";"กระสุนระเบิดแรงสูงสะเก็ดระเบิดแบบส่องวิถี";"고폭파편예광탄";"高\t爆\t破\t片\t曳\t光\t弹";"HEFT\t弾";"高\t爆\t破\t片\t曳\t光\t彈";;
"he_frag_t_ball/name/short";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"ОФТ";"ОФТ";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";"HEF-T";;
"i_t_ball/name";"Incendiary tracer bullet";"Balle traçante incendiaire";"Proiettile tracciante Incediario";"Brandmunition mit Leuchtspur";"Bala incendiaria trazadora";"Зажигательная трассирующая пуля";"Запальна трасуюча куля";"Pocisk zapalająco-smugowy";"Bala tracejante incendiária";"Yanıcı izli mermi";"zápalná trasovací";"Εμπρηστική τροχιοδεικτική σφαίρα";"Peluru Incendiary Tracer";"กระสุนเพลิงส่องวิถี";"소이예광탄";"燃\t烧\t曳\t光\t弹";"焼夷曳光弾";"燃\t燒\t曳\t光\t彈";;
"i_t_ball/name/short";"IT";"IT";"IT";"IT";"IT";"ЗТ";"ЗТ";"IT";"IT";"IT";"IT";"IT";"IT";"IT";"IT";"I-T";"IT";"I-T";;
"i_ball_M1/name";"M1 Incendiary bullet";"Balle incendiaire M1";"Proiettile incendiario M1";"M1 Patrone, Brandmunition";"Bala incendiaria M1";"Зажигательная пуля М1";"Запальна куля М1";"Pocisk Zapalający M1";"Bala incendiária M1";"M1 Yanıcı mermi";"zápalná M1";"Εμπρηστική σφαίρα M1";"Peluru M1 Incendiary";"กระสุนเพลิง M1";"M1 소이탄";"M1 燃\t烧\t弹";"M1 焼夷弾";"M1 燃\t燒\t彈";;
"i_ball_M1/name/short";"I";"I";"I";"I";"I";"З";"З";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";;
"i_ball_M23/name";"M23 Incendiary bullet";"Balle incendiaire M23";"Proiettile incendiario M23";"M23 Patrone, Brandmunition";"Bala incendiaria M23";"Зажигательная пуля М23";"Запальна куля М23";"Pocisk Zapalający M23";"Bala incendiária M23";"M23 Yanıcı mermi";"zápalná M23";"Εμπρηστική σφαίρα M23";"Peluru M23 Incendiary";"กระสุนเพลิง M23";"M23 소이탄";"M23 燃\t烧\t弹";"M23 焼夷弾";"M23 燃\t燒\t彈";;
"i_ball_M23/name/short";"I";"I";"I";"I";"I";"З";"З";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";;
"t_ball_M48A2/name";"M48A2 spotter-tracer bullet";"Balle marquante - traçante M48A2";"Proiettile illuminante-tracciante M48A2";"M48A2 Aufklärungs-/Tracer-Geschoss";"Bala M48A2 trazador señalador";"Пристрелочная пуля M48A2";"Пристрілювальна куля M48A2";"Pocisk smugowy-mierzący M48A2";"M48A2 spotter-tracer bullet";"M48A2 gözleme-izli mermi";"M48A2 zástřelná trasovací";"Τροχιοδεικτική σφαίρα spotter M48A2";"Peluru M48A2 Spotter-Tracer";"กระสุนส่องวิถีชี้เป้า M48A2";"M48A2 예광탄";"M48A2 测\t距\t曳\t光\t弹";"M48A2 スポッタートレーサー\t弾丸";"M48A2 測\t距\t曳\t光\t彈";;
"t_ball_M48A2/name/short";"S";"S";"S";"S";"S";"П";"П";"S";"S";"S";"S";"S";"S";"S";"S";"S";"S";"S";;
"t_ball_M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";"M48A2";;
"ap_ball_M2/name";"M2 Armor-piercing bullet";"Balle M2 Anti-blindage";"M2 Proiettile perforante";"M2 Patrone, Panzerbrechende Munition";"Bala perforante de armadura M2";"Бронебойная пуля М2";"Бронебійна куля М2";"Pocisk przeciwpancerny M2";"Bala perfurante M2";"M2 Zırh delici mermi";"průbojná M2";"Διατρητική σφαίρα M2";"Peluru M2 Armor-Piercing";"กระสุนเจาะเกราะ M2";"M2 철갑탄";"M2 穿\t甲\t弹";"M2 徹甲弾";"M2 穿\t甲\t彈";;
"ap_ball_M2/name/short";"AP";"AP";"AP";"AP";"AP";"Б";"Б";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";;
"ball_M2/name";"M2 Omni-purpose bullet";"Balle multi-usages M2";"M2 Proiettile per tutti gli usi";"M2 Patrone, Vollmantelgeschoss";"Bala multiuso M2";"Пуля общего назначения М2";"Куля загального призначення М2";"Pocisk uniwersalny M2";"Bala multiúso M2";"M2 Çok maksatlı mermi";"univerzální M2";"Σφαίρα για όλες τις χρήσεις M2";"Peluru M2 Omni-purpose";"กระสุนผสมผสาน M2";"M2 보통탄";"M2 通\t用\t弹";"M2 多目的弾";"M2 通\t用\t彈";;
"ball_M2/name/short";"Ball";"Balle";"Palla";"S";"Bola";"П";"П";"Ball";"Ball";"Top";"B";"Σφαίρα";"Peluru";"กระสุน";"Ball";"Ball";"Ball";"Ball";;
"ap_i_t_ball_M20/name";"M20 Armor-piercing incendiary tracer bullet";"Balle traçante incendiaire anti-blindage M20";"Proiettile perforante incendiario tracciante";"M20 Patrone, Panzerbrechende Brandmunition mit Leuchtspur";"Bala trazadora incendiaria perforante de armadura M20";"Бронебойно-зажигательная трассирующая пуля M20";"Бронебійно-запальна трасуюча куля M20";"Pocisk przeciwpancerno-zapalająco-smugowy M20";"Bala perfurante incendiária M20";"M20 Zırh delici yanıcı izli mermi";"průbojná zápalná trasovací M20";"Εμπρηστική τροχιοδεικτική διατρητική σφαίρα M20";"Peluru M20 Armor-Piercing Incendiary Tracer";"กระสุนเพลิงเจาะเกราะส่องวิถี M20";"M20 철갑소이예광탄";"M20 穿\t甲\t燃\t烧\t曳\t光\t弹";"M20 徹甲焼夷曳光弾";"M20 穿\t甲\t燃\t燒\t曳\t光\t彈";;
"ap_i_t_ball_M20/name/short";"API-T";"API-T";"API-T";"API-T";"API-T";"БЗТ";"БЗТ";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"ap_i_ball_M8/name";"M8 Armor-piercing incendiary bullet";"Balle incendiaire anti-blindage M8";"Proiettile incendiario perforante M8";"M8 Patrone, Panzerbrechende Brandmunition";"Bala perforante incendiaria M8";"Бронебойно-зажигательная пуля М8";"Бронебійно-запальна куля М8";"Pocisk przeciwpancerno-zapalający M8";"Bala perfurante incendiária M8";"M8 Zırh delici yanıcı mermi";"průbojná zápalná M8";"Εμπρηστική διατρητική σφαίρα M8";"Peluru M8 Armor-Piercing Incendiary";"กระสุนเพลิงเจาะเกราะ M8";"M8 철갑소이탄";"M8 穿\t甲\t燃\t烧\t弹";"M8 徹甲焼夷弾";"M8 穿\t甲\t燃\t燒\t彈";;
"ap_i_ball_M8/name/short";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"БЗ";"БЗ";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"AP-I";"API";"AP-I";"API";;
"t_ball_M1/name";"M1 Tracer bullet";"Balle traçante M1";"Proiettile tracciante M1";"M8 Patrone, Leuchtspurmunition";"Bala trazadora M1";"Трассирующая пуля М1";"Трасуюча куля М1";"Pocisk smugowy typu M1";"Bala tracejante M1";"M1 İzli mermi";"trasovací M1";"Τροχιοδεικτική σφαίρα M1";"Peluru M1 Tracer";"กระสุนส่องวิถี M1";"M1 예광탄";"M1 曳\t光\t弹";"M1 曳光弾";"M1 曳\t光\t彈";;
"t_ball_M1/name/short";"T";"T";"T";"T";"T";"Т";"Т";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";;
"ball_shell/name";"Practice shell";"Obus d'entrainement";"Proiettile d'esercitazione";"Übungsgranate";"Proyectil de práctica";"Практический снаряд";"Практичний снаряд";"Pocisk treningowy";"Munição de treino";"Eğitim mermisi";"terčová";"Βλήμα εξάσκησης";"Selongsong Practice";"ลูกปืนฝึกซ้อม";"연습탄";"训\t练\t弹";"演習弾";"訓\t練\t彈";;
"ball_shell/name/short";"P";"P";"P";"P";"P";"П";"П";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;
"ball_t_shell/name";"Practice tracer shell";"Obus traceur d'entrainement";"Proiettile d'esercitazione tracciante";"Übungsgranate mit Leuchtspur";"Proyectil de práctica trazador";"Практический трассирующий снаряд";"Практичний трасуючий снаряд";"Pocisk treningowo-smugowy";"Munição tracejante de treino";"İzli eğitim mermisi";"terčová trasovací";"Τροχιοδεικτικό βλήμα εξάσκησης";"Selongsong Practice Tracer";"ลูกปืนฝึกซ้อมส่องวิถี";"연습예광탄";"训\t练\t曳\t光\t弹";"演習曳光弾";"訓\t練\t用\t曳\t光\t彈";;
"ball_t_shell/name/short";"PT";"PT";"PT";"PT";"PT";"ПТ";"ПТ";"PT";"PT";"PT";"PT";"PT";"PT";"PT";"PT";"P-T";"PT";"P-T";;
"t_shell/name";"Tracer shell";"Obus traceur";"Proiettile tracciante";"Leuchtspurgranate";"Proyectil trazador";"Трассирующий снаряд";"Трасуючий снаряд";"Pocisk smugowy";"Munição tracejante";"İzli mermi";"trasovací";"Τροχιοδεικτικό βλήμα";"Selongsong Tracer";"ลูกปืนส่องวิถี";"예광탄";"曳\t光\t弹";"曳光弾";"曳\t光\t彈";;
"t_shell/name/short";"T";"T";"T";"T";"T";"Т";"Т";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";"T";;
"frag_i/name";"Fragmentation incendiary shell";"Obus incendiaires à fragmentation";"Proiettile a frammentazione incendiario";"Splittergranate mit Brandsatz";"Proyectil de fragmentación incendiario";"Осколочно-зажигательный снаряд";"Осколково-запальний снаряд";"Pocisk odłamkowo-zapalający";"Bala de fragmentação incendiária";"Parça tesirli yanıcı mermi";"tříštivá zápalná";"Εμπρηστικό βλήμα θραυσματοποίησης";"Selongsong Fragmentation Incendiary";"ลูกปืนเพลิงระเบิดสะเก็ด";"파편소이탄";"破\t片\t燃\t烧\t弹";"破砕焼夷弾";"破\t片\t燃\t燒\t彈";;
"frag_i/name/short";"FI";"FI";"FI";"FI";"FI";"ОЗ";"ОЗ";"FI";"FI";"FI";"FI";"FI";"FI";"FI";"FI";"FI";"FI";"FI";;
"frag_i_t/name";"Fragmentation incendiary tracer shell";"Obus incendiaire traçant à fragmentation";"Proiettile a frammentazione tracciante incendiario";"Splittergranate mit Brandsatz und Leuchtspur";"Proyectil de fragmentación incendiario trazador";"Осколочно-зажигательный трассирующий снаряд";"Осколково-запальний трасуючий снаряд";"Pocisk odłamkowo-zapalająco-smugowy";"Bala tracejante de fragmentação incendiária";"Parça tesirli yanıcı izli mermi";"tříštivá zápalná trasovací";"Εμπρηστικό τροχιοδεικτικό βλήμα θραυσματοποίησης";"Selongsong Fragmentation Incendiary Tracer";"ลูกปืนเพลิงระเบิดสะเก็ดแบบส่องวิถี";"파편소이예광탄";"破\t片\t燃\t烧\t曳\t光\t弹";"曳光焼夷弾";"破\t片\t燃\t燒\t曳\t光\t彈";;
"frag_i_t/name/short";"FI-T";"FI-T";"FI-T";"FI-T";"FI-T";"ОЗТ";"ОЗТ";"FI-T";"FI-T";"FI-T";"FIT";"FI-T";"FI-T";"FI-T";"FI-T";"FI-T";"FI-T";"FI-T";;
"i/name";"Incendiary shell";"Obus incendiaire";"Proiettile incendiario";"Brandgranate";"Proyectil incendiario";"Зажигательный снаряд";"Запальний снаряд";"Pocisk zapalający";"Bala incendiária";"Yanıcı mermi";"zápalná";"Εμπρηστικό βλήμα";"Selongsong Incendiary";"ลูกปืนเพลิง";"소이탄";"燃\t烧\t弹";"焼夷弾";"燃\t燒\t彈";;
"i/name/short";"I";"I";"I";"I";"I";"З";"З";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";"I";;
"i_t/name";"Incendiary tracer shell";"Obus traçant incendiaire";"Proiettile incendiario tracciante";"Brandgranate mit Leuchtspur";"Proyectil incendiario trazador";"Зажигательный трассирующий снаряд";"Запальний трасуючий снаряд";"Pocisk zapalająco-smugowy";"Bala tracejante incendiária";"Yanıcı izli mermi";"zápalná trasovací";"Εμπρηστικό τροχιοδεικτικό βλήμα";"Selongsong Incendiary Tracer";"ลูกปืนเพลิงส่องวิถี";"소이예광탄";"燃\t烧\t曳\t光\t弹";"曳光焼夷弾";"燃\t燒\t曳\t光\t彈";;
"i_t/name/short";"IT";"IT";"IT";"IT";"IT";"ЗТ";"ЗТ";"IT";"IT";"IT";"IT";"IT";"IT";"IT";"IT";"I-T";"IT";"I-T";;
"he_i/name";"High-explosive incendiary shell";"Obus explosif incendiaire";"Proiettile incendiario altamente esplosivo";"Hochexplosive Brandgranate";"Proyectil alto-explosivo incendiario";"Фугасный зажигательный снаряд";"Фугасний запальний снаряд";"Pocisk burząco-zapalający";"Bala explosiva incendiária";"Yüksek patlayıcı yanıcı mermi";"výbušný zápalný náboj";"Εμπρηστικό βλήμα υψηλής εκρηκτικότητας";"Selongsong High-Explosive Incendiary";"ลูกปืนเพลิงหัวระเบิดแรงสูง";"고폭소이탄";"高\t爆\t燃\t烧\t弹";"焼夷榴弾";"高\t爆\t燃\t燒\t彈";;
"he_i/name/short";"HEI";"HEI";"HEI";"HEI";"HEI";"ФЗ";"ФЗ";"HEI";"HEI";"HEI";"HEI";"HEI";"HEI";"HEI";"HEI";"HEI";"HEI";"HEI";;
