"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"msg/bigRankDiff/toBattle";"Players in your squad have selected vehicle with a large rank difference ({rankMin} and {rankMax}).
This may result in poor game quality for players with lower ranked vehicle.
Going into battle anyway?";"Les joueurs de votre équipe ont sélectionné un véhicule avec une grande différence de classement ({rankMin} et {rankMax}).
Cela peut entraîner une mauvaise qualité de jeu pour les joueurs avec un véhicule de rang inférieur.
Partir au combat malgré tout?";"I giocatori nel tuo plotone hanno scelto mezzi con una grossa differenza di ere ({rankMin} e {rankMax}).
Questo può risultare in una brutta esperienza di gioco per chi ha mezzi di era più bassa.
Vuoi entrare in battaglia lo stesso?";"Spieler in Deiner Staffel haben Fahrzeuge mit sehr unterschiedlichem Rang gewählt ({rankMin} und {rankMax}).
Dies kann zu einer schlechten Spielqualität für Spieler mit einem niedrigeren Fahrzeugrang führen.
Ziehst Du trotzdem in die Schlacht?";"Los jugadores de tu escuadrón han seleccionado vehículos con una gran diferencia de rango ({rankMin} y {rankMax}).
Esto puede resultar en una mala calidad de juego para los jugadores con vehículos de menor rango.
¿Ir a la batalla de todos modos?";"У игроков в вашем отряде выбрана техника с большой разницой рангов ({rankMin} и {rankMax}).
Это может привести к ухудшению качества игры для игроков с техникой меньшего ранга.
Все равно идем в бой?";"Гравці вашої ланки вибрали техніку зі значною різницею в ранзі (від {rankMin} до {rankMax}).
Це може призвести до погіршення ігрового досвіду для гравців із технікою нижчого рангу.
Все одно перейти до битви?";"Gracze w twoim oddziale wybrali maszyny z dużą różnicą rang ({rankMin} i {rankMax}).
Może to skutkować niską jakością rozgrywki dla graczy z maszynami o niższej randze.
Czy chcecie ruszyć w bój?";"Jogadores no seu pelotão selecionaram um veículo com uma grande diferença de classificação ({rankMin} e {rankMax}).
Isto pode resultar numa qualidade de jogo mais baixa para jogadores com veículos de classificação inferior.
Pretende entrar em combate mesmo assim?";"Ekibinizdeki oyuncular büyük seviye farkına sahip araçları seçti: ({rankMin} ve {rankMax}).
Bunun bir sonucu olarak düşük seviyeli araç sahibi oyuncu için oyunun kalitesi düşebilir.
Yine de devam etmek istiyor musunuz?";"Hráči ve tvé skupině si vybrali vozidlo s velkým rozdílem úrovní ({rankMin} a {rankMax}).
To může mít za následek špatnou kvalitu hry pro hráče s technikou nižší úrovně.
Chceš i přesto do bitvy?";"Οι παίκτες της ομάδας σας έχουν επιλέξει οχήματα με μεγάλη διαφορά κλάσης ({rankMin} και {rankMax}).
Αυτό μπορεί να οδηγήσει σε κακή ποιότητα παιχνιδιού για τους παίκτες με οχήματα χαμηλότερης κλάσης.
Θα πάτε στη μάχη ανεξάρτητα από αυτό;";"Pemain dalam skuadmu memilih kendaraan dengan rank yang jauh berbeda ({rankMin} dan {rankMax}).
Hal ini bisa mengurangi kualitas permainan bagi pemain yang rank kendaraannya lebih rendah.
Tetap masuk ke pertempuran?";"ผู้เล่นในหมู่ของคุณเลือกพาหนะที่มีความแตกต่างของระดับ ({rankMin} และ {rankMax}) สูง
การทำเช่นนี้อาจส่งผลให้ผู้เล่นที่มีพาหนะระดับต่ำอาจได้รับประสบการณ์การเล่นเกมที่ไม่ดี
ยืนยันจะต่อสู้ด้วยตัวเลือกนี้หรือไม่?";"편대원이 구성한 라인업의 랭크 차이가 너무 큽니다 ({rankMin}, {rankMax}).
이대로 진행할 경우, 낮은 랭크의 장비를 가진 플레이어가 게임을 제대로 즐기지 못할 수 있습니다.
무시하고 진행하시겠습니까?";"小\t队\t成\t员\t选\t择\t载\t具\t等\t级\t与\t当\t前\t匹\t配\t等\t级\t差\t距\t过\t大 ({rankMin} 级\t与 {rankMax} 级)。
等\t级\t差\t距\t可\t能\t降\t低\t使\t用\t低\t等\t级\t载\t具\t玩\t家\t的\t游\t戏\t体\t验。
确\t定\t要\t开\t始\t战\t斗\t吗？";"あなたの\t分隊の\tプレイヤーが、\tランク\t差の\t大きい\t車両を\t選択しました（{rankMin}と{rankMax}）。\t
これにより、\tランクの\t低い\t車両を\t使用している\tプレイヤーは、\tゲームの\t質が\t低下する\t可能性があります。\t
このまま\t戦闘を\t開始しますか？";"小\t隊\t成\t員\t選\t擇\t載\t具\t階\t級\t與\t當\t前\t匹\t配\t階\t級\t差\t距\t過\t大 ({rankMin} 階\t與 {rankMax} 階)。
階\t級\t差\t距\t可\t能\t降\t低\t使\t用\t低\t階\t載\t具\t玩\t家\t的\t遊\t戲\t體\t驗。
確\t定\t要\t開\t始\t戰\t鬥\t嗎？";;
"msg/bigRankDiff/askChange";"The leader asks you to select a vehicle of the same rank as his:
{rankText}";"Le chef vous demande de sélectionner un véhicule du même rang que le sien:
{rankText}";"Il capo plotone ti chiede di scegliere un mezzo della stessa era dei suoi:
{rankText}";"Der Staffelführer fordert Dich auf, ein Fahrzeug des gleichen Ranges wie sein eigenes zu wählen:
{rankText}";"El líder te pide que elijas un vehículo del mismo rango que el suyo:
{rankText}";"Лидер просит вас выставить технику такого же ранга как и у него:
{rankText}";"Лідер просить вибрати техніку того ж рангу, що й у нього:
{rankText}";"Lider prosi o wybranie maszyny tej samej rangi co jego:
{rankText}";"O líder pediu para selecionar um veículo de classificação igual ao dele: 
{rankText}";"Lider, sizin de onunla aynı seviyede araç seçmenizi istiyor:
{rankText}";"Velitel tě požádá, abys vybral stroj stejné úrovně jako on:
{rankText}";"Ο αρχηγός σάς ζητά να επιλέξετε ένα όχημα της ίδιας κλάσης με το δικό του:
{rankText}";"Pemimpin memintamu untuk memilih kendaraan dengan rank yang sama seperti miliknya:
{rankText}";"หัวหน้าหมู่ขอให้คุณเลือกพาหนะระดับเดียวกับเขา:
{rankText}";"편대장이 자신과 같은 랭크({rankText})의 장비를 투입할 것을 지시했습니다.";"队\t长\t建\t议\t选\t择\t同\t等\t级\t载\t具\t参\t加\t战\t斗：
{rankText} 级";"隊長より、\t同じ\tランクの\t車両を\t選択するよう\t求められています：\t
{rankText}";"隊\t長\t建\t議\t選\t擇\t同\t階\t級\t載\t具\t參\t加\t戰\t鬥：
{rankText} 階";;
"msg/bigRankDiff/checkInCooldown";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"Вы только что проверяли ранги отряда.
Попробуйте позднее.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";"You were just checking the squad's Rank.
Try again later.";;
"squad/invite/desc";"Invites you to join his squad";"Vous invite à rejoindre son escouade";"Ti invita ad unirti al suo plotone";"Lädt Dich ein, seiner Staffel beizutreten";"Te invita a unirte a su escuadrón";"Приглашает вас в свой отряд";"Запрошує вас до своєї ланки";"Zaprasza cię do swojego oddziału";"Convite para você entrar no seu pelotão";"Sizi takımına katılmaya davet ediyor";"Tě zve k připojení do jeho skupiny";"Σας προσκαλεί να γίνετε μέλος της ομάδας του";"Mengundangmu untuk bergabung dengan skuadnya";"เชิญคุณเข้าร่วมหมู่ของเขา";"님이 편대에 초대하였습니다";"邀\t请\t加\t入\t对\t方\t小\t队";"あなたを\t分隊に\t招待しています";"邀\t請\t加\t入\t對\t方\t小\t隊";;
"squad/invite/reject";"Rejected the invitation to the squad.";"A rejeté l'invitation à l'escouade.";"Invito al plotone rifiutato.";"Einladung zum Beitritt in die Staffel abgelehnt.";"Rechazó la invitación al escuadrón.";"Отказался вступить в отряд.";"Відхилено запрошення в ланку.";"Odrzucił zaproszenie do drużyny.";"Rejeitou o convite para o pelotão.";"Takıma katılma davetini reddetti.";"Odmítl pozvání do skupiny.";"Απέρριψε την πρόσκληση στην ομάδα.";"Menolak undangan untuk masuk ke dalam skuad.";"ปฏิเสธคำเชิญเข้าร่วมหมู่";"님이 편대 초대를 거절했습니다.";"拒\t绝\t了\t组\t队\t邀\t请。";"分隊への\t招待を\t拒否しました。";"拒\t絕\t了\t組\t隊\t邀\t請。";;
"squad/only_leader_can_queue";"Only the squad leader can queue for a battle.";"Seul le chef d'escouade peut mettre une bataille en file d'attente.";"Solo il comandante del plotone può entrare in coda per la battaglia.";"Nur der Staffelführer kann die Staffel in die Warteschlange für eine Zufallsschlacht einreihen.";"Solo el líder del escuadrón puede ponerse a la cola de una batalla.";"Только лидер отряда может записать в очередь на бой.";"Тільки лідер загону може записати в чергу на бій.";"Tylko dowódca oddziału może kolejkować bitwę.";"Apenas o líder da esquadrilha pode selecionar batalha na fila de espera.";"Sadece takım lideri savaş için sıraya girebilir.";"Pouze velitel skupiny ji může zařadit do fronty na bitvu";"Μόνο ο αρχηγός της ομάδας μπορεί να μπει στην ουρά για μια μάχη.";"Hanya pemimpin skuad yang bisa mengantre untuk bertempur.";"หัวหน้าหมู่เท่านั้นที่สามารถเริ่มคิวร่วมการต่อสู้ได้";"편대장만이 편대 전체를 대기열에 입장시킬 수 있습니다.";"只\t有\t小\t队\t长\t能\t决\t定\t何\t时\t“加\t入\t战\t斗”";"出撃命令は\t分隊長のみが\t下せます。";"只\t有\t小\t隊\t長\t能\t決\t定\t何\t時\t“加\t入\t戰\t鬥”。";;
"squad/only_leader_can_cancel";"Only the squad leader can cancel a queued battle.";"Seul le chef d'escouade peut annuler une bataille en file d'attente.";"Solo il comandante del plotone può annullare una battaglia in coda.";"Nur der Staffelführer kann die Staffel aus der Warteschlange entfernen.";"Solo el líder del escuadrón puede dejar de estar a la cola de una batalla.";"Только лидер отряда может отменить запись в очередь на бой.";"Тільки лідер загону може скасувати запис в чергу на бій.";"Tylko dowódca oddziału może anulować bitwę znajdującą się w kolejce.";"Apenas o líder da esquadrilha pode cancelar uma batalha na fila de espera.";"Savaş için girilmiş sıradan yalnızca takım lideri çıkabilir.";"Frontu na bitvu může zrušit pouze velitel skupiny";"Μόνο ο αρχηγός της ομάδας μπορεί να ακυρώσει μια μάχη σε ουρά.";"Hanya pemimpin skuad yang bisa membatalkan antrean pertempuran.";"หัวหน้าหมู่เท่านั้นที่สามารถยกเลิกคิวร่วมการต่อสู้ได้";"편대장만이 편대 전체를 대기열에서 퇴장시킬 수 있습니다.";"只\t有\t小\t队\t长\t能\t取\t消\t排\t队";"出撃取消命令は\t分隊長のみが\t下せます。";"只\t有\t小\t隊\t隊\t長\t才\t能\t取\t消\t戰\t鬥\t序\t列\t排\t隊";;
"squad/gamemode_not_available_for_squad";"This mode is not available to the squad.";"Ce mode n'est pas disponible pour l'escouade.";"Questa modalità non è disponibile per il plotone.";"Dieser Modus ist für die Staffel nicht verfügbar.";"Este modo no está disponible para el escuadrón.";"Данный режим не доступен для отряда.";"Цей режим недоступний для ланки.";"Ten tryb nie jest dostępny dla oddziału.";"Modo indisponível para o pelotão.";"Bu mod ekip için uygun değil.";"Tento režim není pro skupinu k dispozici.";"Αυτή η λειτουργία δεν είναι διαθέσιμη στην ομάδα.";"Mode ini tidak tersedia untuk skuad.";"โหมดนี้ไม่สามารถใช้งานได้ในหมู่ปัจจุบัน";"편대에서 진행할 수 없는 모드입니다.";"该\t模\t式\t无\t法\t组\t队。";"この\tモードは、\tこの\t分隊は\t利用できません。";"該\t模\t式\t無\t法\t組\t隊。";;
"squad/minimumSquadSizeWarning";"You need a squad with at least {count} members to play this mode";"Vous avez besoin d'une escouade avec au moins {count} membres pour jouer à ce mode";"Devi avere un plotone con almeno {count} membri per giocare in questa modalità";"Um diesen Modus zu spielen, benötigst Du eine Staffel mit mindestens {count} Mitgliedern";"Necesitas un escuadrón con al menos {count} miembros para jugar a este modo";"Для игры в этот режим нужен отряд с минимум {count} участниками";"Для гри в цьому режимі вам потрібна ланка, у якій членів щонайменше {count}";"Do gry w tym trybie potrzebny jest oddział składający się z co najmniej {count} członków";"Para jogar este modo é necessário um pelotão com pelo menos {count} membros";"Bu modu oynamak için en az {count} üyeli bir ekibe ihtiyacınız var";"Pro hraní tohoto režimu potřebuješ skupinu s alespoň {count} členy";"Χρειάζεστε μια ομάδα με τουλάχιστον {count} μέλη για να παίξετε αυτή τη λειτουργία";"Kamu membutuhkan skuad dengan setidaknya {count} anggota untuk memainkan mode ini";"คุณต้องการหมู่ที่มีสมาชิกอย่างน้อย {count} คนเพื่อเล่นโหมดนี้";"이 모드로 플레이하려면 최소 {count}명으로 구성된 편대가 있어야 합니다";"参\t加\t该\t模\t式\t战\t斗\t小\t队\t至\t少\t需\t要\t包\t括 {count} 名\t队\t员";"この\tモードを\tプレイするには、\t分隊に{count}人以上の\tメンバーが\t必要です";"參\t加\t該\t模\t式\t戰\t鬥\t小\t隊\t至\t少\t需\t要\t包\t括 {count} 名\t隊\t員";;
"squad/modeNotAvailableForSquad";"This mode is not available for squad play";"Ce mode n'est pas disponible pour le jeu en escouade";"Questa modalità non è disponibile per i plotoni";"Dieser Modus ist für Staffeln nicht verfügbar";"Este modo no está disponible para jugar en escuadrón";"Данный режим не доступен для игры в отряде";"Цей режим недоступний для гри в ланці";"Ten tryb nie jest dostępny dla oddziału";"Modo indisponível para jogar em pelotão";"Bu mod ekip olarak oynamaya uygun değil";"Tento režim není k dispozici pro hru ve skupině";"Αυτή η λειτουργία δεν είναι διαθέσιμη για παιχνίδι ομάδας";"Mode ini tidak tersedia untuk permainan skuad";"โหมดนี้ไม่สามารถใช้งานได้ในการเล่นเป็นหมู่";"편대에서 진행할 수 없는 모드입니다.";"小\t队\t无\t法\t加\t入\t该\t模\t式\t进\t行\t战\t斗";"この\tモードは、\tこの\t分隊では\tプレイできません";"小\t隊\t無\t法\t加\t入\t該\t模\t式\t進\t行\t戰\t鬥";;
"squad/inviteError";"Error joining group";"Erreur pour rejoindre l'escouade";"Errore durante l'accesso al gruppo";"Fehler beim Beitritt zur Gruppe";"Error al unirse al grupo";"Ошибка присоединения к группе";"Помилка приєднання до групи";"Błąd dołączania do oddziału";"Erro ao entrar para o grupo";"Gruba katılma hatası";"Chyba při připojování do skupiny";"Σφάλμα ένταξης στην ομάδα";"Terjadi kesalahan saat bergabung dengan kelompok";"ข้อผิดพลาดในการเข้าร่วมกลุ่ม";"편대 참여 중 오류가 발생했습니다.";"加\t入\t小\t队\t时\t出\t错";"グループ\t参加\tエラー";"加\t入\t小\t隊\t時\t出\t錯";;
"squad/member_info";"Squad member information";"Information sur les membres de l'escouade";"Informazioni membri plotone";"Informationen über Staffelmitglied";"Información de los miembros del escuadrón";"Информация о члене отряда";"Інформація про члена ланки";"Informacje o członkach oddziału";"Informações sobre membros do pelotão";"Ekip üyesi bilgisi";"Informace o členech skupiny";"Πληροφορίες για τα μέλη της ομάδας";"Informasi anggota skuad";"ข้อมูลสมาชิกหมู่";"편대원 정보";"小\t队\t成\t员\t信\t息";"分隊\tメンバー\t情報";"小\t隊\t成\t員\t信\t息";;
"squad/cant_ready/leader_campaign_invalid";"You can't turn on readiness while the leader has an unavailable campaign selected.";"Vous ne pouvez pas activer la préparation tant que le leader a sélectionné une campagne indisponible.";"Non puoi cambiare lo stato di prontezza mentre il capo plotone ha selezionato una campagna non disponibile.";"Du kannst die Bereitschaft nicht aktivieren, wenn der Anführer eine nicht verfügbare Kampagne ausgewählt hat.";"No puedes activar la preparación mientras el líder tenga seleccionada una campaña no disponible.";"Нельзя включить готовность пока у лидера выбрана не доступная кампания.";"Ви не можете ввімкнути готовність, якщо лідер вибрав недоступну кампанію.";"Nie można włączyć gotowości, gdy przywódca ma wybraną niedostępną kampanię.";"Não pode ativar a prontidão enquanto o líder tem uma campanha indisponível selecionada.";"Lider uygun olmayan bir harekat seçtiğinden hazır duruma geçemezsiniz.";"Připravenost nelze zapnout, pokud má velitel vybranou nedostupné tažení.";"Δεν μπορείτε να ενεργοποιήσετε την ετοιμότητα όταν ο αρχηγός έχει επιλέξει μια μη διαθέσιμη εκστρατεία.";"Kamu tidak bisa mengaktifkan kesiapan saat pemimpin memilih kampanye yang tidak tersedia.";"คุณไม่สามารถกดพร้อมในขณะที่หัวหน้าเลือกแคมเปญที่เข้าเล่นไม่ได้";"편대장이 플레이 불가능한 캠페인을 선택했을 경우, 준비할 수 없습니다.";"小\t队\t无\t法\t加\t入\t队\t长\t当\t前\t选\t择\t的\t游\t戏\t模\t式，\t无\t法\t切\t换\t准\t备\t状\t态。";"分隊長が\tプレイ\t不可能な\tキャンペーンを\t選択している\t間、\t準備状態を\tオンにすることはできません。";"小\t隊\t無\t法\t加\t入\t隊\t長\t當\t前\t選\t擇\t的\t遊\t戲\t模\t式，\t無\t法\t切\t換\t準\t備\t狀\t態。";;
