"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"key/Tab";"Tab";"Tab";"TAB";"Tab";"TAB";"Tab";"Tab";"Tab";"Tab";"Tab";"Tab";"Tab";"Tab";"Tab";;
"key/Enter";"Enter";"Entrer";"INVIO";"Enter";"Intro";"Enter";"Enter";"Enter";"Enter";"Enter";"Enter";"回\t车";"Enter";"Enter";;
"key/Ctrl";"Left Ctrl";"Ctrl gauche";"Ctrl Sin";"Strg-Links";"Ctrl";"Left Ctrl";"Лівий Ctrl";"Lewy Ctrl";"Ctrl Esquerdo";"Sol Ctrl";"Ctrl";"左 Ctrl";"Ctrl";"左 Ctrl";;
"key/Shift";"Left Shift";"Maj gauche";"Maiusc Sin";"Umschalt-Links";"Mayús";"Left Shift";"Лівий Shift";"Lewy Shift";"Shift Esquerdo";"Sol Shift";"좌 Shift";"左 Shift";"Shift";"左 Shift";;
"key/Right_Shift";"Right Shift";"Maj droite";"Maiusc Des";"Umschalt-R.";"Mayúscula Derecha";"Right Shift";"Правий Shift";"Prawy Shift";"Shift direito";"Sağ Shift";"우 Shift";"右 Shift";"右 Shift";"右 Shift";;
"key/Right Shift";"Right Shift";"Maj Droit";"Maiusc Des";"Umschalt-R.";"Mayúscula Derecha";"Right Shift";"Правий Shift";"Prawy Shift";"Shift Direito";"Sağ Shift";"우 shift";"右 Shift";"右 Shift";"右 Shift";;
"key/Num_star";"Num *";"Num. *";"Num *";"Num *";"Num *";"Num *";"Num *";"Num *";"Num*";"Num *";"숫자패드 *";"小\t键\t盘 *";"Num *";"小\t鍵\t盤 *";;
"key/Alt";"Alt";"Alt";"ALT";"Alt";"Alt";"Alt";"Alt";"Alt";"Alt";"Alt";"Alt";"Alt";"Alt";"Alt";;
"key/Space";"Space";"Espace";"Spazio";"Leertaste";"Barra espaciadora";"Пробел";"Пробіл";"Spacja";"Space";"Space";"스페이스 바";"空\t格";"Space";"空\t格";;
"key/Caps_Lock";"Caps Lock";"Verr. Maj";"Bloc Maiusc";"Feststelltaste";"Bloq Mayús";"Caps Lock";"Caps Lock";"Caps Lock";"Caps Lock";"Caps Lock";"Caps Lock";"Caps Lock";"Caps Lock";"Caps Lock";;
"key/Caps_Lock/short";"CpLk";"Verr. Maj";"CpLk";"Fststl";"BqMy";"CpLk";"CpLk";"CpLk";"CpLk";"CpLk";"CpLk";"CpLk";"CpLk";"Caps Lock";;
"key/Num_Lock";"Num Lock";"Verrouillage Pavé Numérique";"BLOC NUM";"Num-Taste";"Bloq Num";"Num Lock";"Num Lock";"Num Lock";"Num Lock";"Num Lock";"Num Lock";"小\t键\t盘 Num Lock";"Num Lock";"小\t鍵\t盤 Num Lock";;
"key/Num_Lock/short";"NmLk";"Verr. num";"NmLk";"Num";"BlNm";"NmLk";"NmLk";"NmLk";"NmLk";"NmLk";"NmLk";"NmLk";"NmLk";"Num Lock\t鍵";;
"key/Scroll_Lock";"Scroll Lock";"Arrêt défilement";"BLOC SCORR";"Rollen-Taste";"Bloq Despl";"Scroll Lock";"Scroll Lock";"Scroll Lock";"Scroll Lock";"Scroll Lock";"Scroll Lock";"Scroll Lock";"Scroll Lock";"Scroll Lock";;
"key/Scroll_Lock/short";"ScLk";"Arrêtdéf";"ScLk";"Rollen";"BlDs";"ScLk";"ScLk";"ScLk";"ScLk";"ScLk";"ScLk";"ScLk";"ScLk";"Scroll Lock";;
"key/Num_7";"Num7";"Num. 7";"Num7";"Num7";"Num7";"Num7";"Num7";"Num7";"Num7";"Num7";"숫자패드 7";"小\t键\t盘 7";"Num 7";"小\t鍵\t盤 7";;
"key/Num_8";"Num8";"Num. 8";"Num8";"Num8";"Num8";"Num8";"Num8";"Num8";"Num8";"Num8";"숫자패드 8";"小\t键\t盘 8";"Num 8";"小\t鍵\t盤 8";;
"key/Num_9";"Num9";"Num. 9";"Num9";"Num9";"Num9";"Num9";"Num9";"Num9";"Num9";"Num9";"숫자패드 9";"小\t键\t盘 9";"Num 9";"小\t鍵\t盤 9";;
"key/Num_minus";"Num-";"Num. -";"Num-";"Num-";"Num-";"Num-";"Num-";"Num-";"Num-";"Num-";"숫자패드 -";"小\t键\t盘 -";"Num -";"小\t鍵\t盤 -";;
"key/Num_4";"Num4";"Num. 4";"Num4";"Num4";"Num4";"Num4";"Num4";"Num4";"Num4";"Num4";"숫자패드 4";"小\t键\t盘 4";"Num 4";"小\t鍵\t盤 4";;
"key/Num_5";"Num5";"Num. 5";"Num5";"Num5";"Num5";"Num5";"Num5";"Num5";"Num5";"Num5";"숫자패드 5";"小\t键\t盘 5";"Num 5";"小\t鍵\t盤 5";;
"key/Num_6";"Num6";"Num. 6";"Num6";"Num6";"Num6";"Num6";"Num6";"Num6";"Num6";"Num6";"숫자패드 6";"小\t键\t盘 6";"Num 6";"小\t鍵\t盤 6";;
"key/Num_plus";"Num+";"Num. +";"Num +";"Num+";"Num+";"Num+";"Num+";"Num+";"Num+";"Num+";"숫자패드 +";"小\t键\t盘 +";"Num +";"小\t鍵\t盤 +";;
"key/Num_1";"Num1";"Num. 1";"Num1";"Num1";"Num1";"Num1";"Num1";"Num1";"Num1";"Num1";"숫자패드 1";"小\t键\t盘 1";"Num 1";"小\t鍵\t盤 1";;
"key/Num_2";"Num2";"Num. 2";"Num2";"Num2";"Num2";"Num2";"Num2";"Num2";"Num2";"Num2";"숫자패드 2";"小\t键\t盘 2";"Num 2";"小\t鍵\t盤 2";;
"key/Num_3";"Num3";"Num. 3";"Num3";"Num3";"Num3";"Num3";"Num3";"Num3";"Num3";"Num3";"숫자패드 3";"小\t键\t盘 3";"Num 3";"小\t鍵\t盤 3";;
"key/Num_0";"Num0";"Num. 0";"Num0";"Num0";"Num0";"Num0";"Num0";"Num0";"Num0";"Num0";"숫자패드 0";"小\t键\t盘 0";"Num 0";"小\t鍵\t盤 0";;
"key/Num_Del";"Num Del";"Num. Supp";"Num Canc";"Num Entf";"Num Supr";"Num Del";"Num Del";"Num Del";"Num Delete";"Num Del";"숫자패드 Del";"小\t键\t盘 Del";"Num Del";"小\t鍵\t盤 Del";;
"key/Sys_Req";"Sys Req";"Sys Req";"Requisiti di Sistema";"SysReq";"Pet Sis";"Sys Req";"Sys Req";"Sys Req";"Sys Req";"Sys Req";"Sys Rq";"SysRq";"Sys Req";"Sys Req";;
"key/Num_Enter";"Num Enter";"Num. entrer";"Inserisci un numero";"Num Enter";"Num Intro";"Num Enter";"Num Enter";"Num Enter";"Num Enter";"Num Enter";"숫자패드 Enter";"小\t键\t盘\t回\t车";"Num Enter";"小\t鍵\t盤 Enter 鍵";;
"key/Right_Ctrl";"Right Ctrl";"Ctrl droite";"Ctrl Des";"Strg-R.";"Ctrl Derecha";"Right Ctrl";"Правий Ctrl";"Prawy Ctrl";"Ctrl direito";"Sağ Ctrl";"우 Ctrl";"右 Ctrl";"右 Ctrl";"右 Ctrl";;
"key/Right_Control";"Right Ctrl";"Ctrl droite";"Ctrl Des";"Strg-R.";"Ctrl Derecha";"Right Ctrl";"Правий Ctrl";"Prawy Ctrl";"Ctrl direito";"Sağ Ctrl";"우 Ctrl";"右 Ctrl";"右 Ctrl";"右 Ctrl";;
"key/Num_bar";"Num /";"Num. /";"Num /";"Num /";"Num /";"Num /";"Num /";"Num /";"Num /";"Num /";"숫자패드 /";"小\t键\t盘 /";"Num /";"小\t鍵\t盤 /";;
"key/Prnt_Scrn";"Prnt Scrn";"Impr. Ecr";"Stamp";"Druck S-Abf";"Impr Pant";"Prnt Scrn";"Prnt Scrn";"Print Screen";"Prnt Scrn";"Prnt Scrn";"Print Screen";"Print Screen";"Prnt Scrn";"Print Screen";;
"key/Prnt_Scrn/short";"PrScr";"Impr.Ecr";"Stamp";"Druck";"ImprPant";"PrScr";"PrScr";"PrScr";"PrScr";"PrScr";"Prt Sc";"PrScr";"PrScr";"Print Screen";;
"key/Right_Alt";"Right Alt";"Alt droite";"Alt Des";"Alt Gr";"Alt Derecha";"Right Alt";"Правий Alt";"Prawy Alt";"Alt direito";"Sağ Alt";"우 Alt";"右 Alt";"右 Alt";"右 Alt";;
"key/Pause";"Pause";"Pause";"Pausa";"Pause";"Pausa";"Pause";"Пауза";"Pauza";"Pausa";"Pause";"Pause";"Pause";"Pause";"暫\t停";;
"key/Break";"Break";"Attn";"Interr";"Untbr";"Inter";"Break";"Break";"Break";"Break";"Break";"Break";"Break";"Break";"Break";;
"key/Home";"Home";"Début";"HOME";"Pos1";"Inicio";"Home";"Home";"Home";"Home";"Home";"Home";"Home";"Home";"Home\t鍵";;
"key/Up";"Up";"Haut";"Su";"Pf.auf";"Arriba";"Up";"Вгору";"Góra";"Up";"Yukarı";"위";"上\t方\t向\t键";"上矢印";"上\t方\t向\t鍵";;
"key/Page_Up";"Page Up";"Page précédente";"Pagina su";"B.auf";"Re pág";"Page Up";"Page Up";"Page Up";"Página acima";"Page Up";"Page Up";"Page Up";"Page Up";"Page Up";;
"key/Page_Up/short";"PgUp";"PG. préc";"PgSu";"Bild rauf";"RePág";"PgUp";"PgUp";"PgUp";"PgUp";"PgUp";"PgUp";"PgUp";"PgUp";"Page Up";;
"key/Left";"Left";"Gche";"Sinistra";"Pf.L.";"Izq";"Left";"Ліворуч";"Lewo";"Left";"Sol";"왼쪽";"左\t方\t向\t键";"Left";"左\t方\t向\t鍵";;
"key/Right";"Right";"Droit";"Destra";"Pfeil Rechts";"Der";"Right";"Праворуч";"Prawo";"Right";"Sağ";"오른쪽";"右\t方\t向\t键";"Right";"右\t方\t向\t鍵";;
"key/End";"End";"Fin";"Fine";"Ende";"Fin";"End";"Кінець";"End";"End";"End";"End";"End";"End";"End";;
"key/Down";"Down";"Bas";"Giù";"Pf.ab";"Abajo";"Down";"Вниз";"Dół";"Down";"Aşağı";"아래";"下\t方\t向\t键";"Down";"下\t方\t向\t鍵";;
"key/Page_Down";"Page Down";"page suivante";"Pagina giù";"B.ab";"Av Pág";"Page Down";"Page Down";"Page Down";"Página abaixo";"Page Down";"Page Down";"PageDown";"Page Down";"Page Down";;
"key/Page_Down/short";"PgDn";"PgSuiv";"PgGiù";"B.ab";"AvPág";"PgDn";"PgDn";"PgDn";"PgDn";"PgDn";"PgDn";"PgDn";"PgDn";"Page Down";;
"key/Insert";"Insert";"Insert";"Ins";"Einfügen";"Insert";"Insert";"Insert";"Insert";"Insert";"Insert";"Insert";"Insert";"Insert";"Insert";;
"key/Insert/short";"Ins";"Ins";"INS";"Einfg";"Ins";"Ins";"Ins";"Ins";"Ins";"Ins";"Ins";"Ins";"Ins";"Insert";;
"key/Delete";"Delete";"Suppr";"Canc";"Entfernen";"Supr";"Delete";"Видалити";"Delete";"Delete";"Delete";"Delete";"Delete";"Delete";"Delete";;
"key/Delete/short";"Del";"Supp.";"CANC";"Entf";"Supr";"Del";"Del";"Del";"Del";"Sil";"Del";"Del";"Del";"Delete";;
"key/Left_Windows";"Left Windows";"Windows gauche";"Windows sinistro";"Windows Links";"Windows Izquierda";"Left Windows";"Лівий Windows";"Lewy klawisz Windows";"Janela Esquerda";"Sol Windows";"좌 Windows";"左 Win 键";"左\tWindows\tキー";"左 Win 鍵";;
"key/Right_Windows";"Right Windows";"Windows droite";"Windows destro";"Windows Rechts";"Windows Derecha";"Right Windows";"Правий Windows";"Prawy klawisz Windows";"Janela Direita";"Sağ Windows";"우 Windows";"右 Win 键";"右\tWindows\tキー";"右 Win 鍵";;
"key/Application";"Application";"Application";"Applicazione";"Anwendung";"Aplicación";"Application";"Application";"Aplikacja";"Aplicação";"Uygulama";"메뉴 키";"菜\t单\t键\t（位\t于\t右 Win 键\t右\t侧）";"アプリケーション";"選\t單\t鍵\t（位\t於\t右 Win 鍵\t右\t側）";;
"key/Button";"Button";"touche";"tasto";"Taste";"botón";"Кнопка";"Кнопка";"Klawisz";"Botão";"Düğme";"버튼";"键";"ボタン";"按\t鍵";;
"key/UMLAUT";"Umlaut";"Tréma";"Umlaut";"Umlaut";"Diéresis";"Умлаут";"Умляут";"Umlaut";"Umlaut";"Umlaut";"움라우트";"德\t语\t变\t音\t符";"ウムラウト";"德\t語\t變\t音\t符";;
"key/Wheel";"Mouse Wheel";"Molette";"Rotellina del mouse";"Mausrad";"Rueda Ratón";"Колесо мыши";"Колесико мишки";"Kółko myszy";"Mouse Wheel";"Fare Tekerleği";"휠";"鼠\t标\t滚\t轮";"マウス ホイール";"滑\t鼠\t滾\t輪";;
"keysPlus";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";;
"keysScrollToBottom";"┘";"┘";"┘";"┘";"┘";"┘";"┘";"┘";"┘";"┘";"┘";"┘";"┘";"┘";;
